Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,2277001631.000000,-1770337543.000000,506664088.000000,-211644900.000000,-115258215.000000,-96386685.000000,-211644900.000000,295019188.000000,-97443609.000000,988835.000000,-1970688.000000,,-85745918.000000,-10715838.000000,-97443609.000000,197575579.000000,4880269.000000,202455848.000000,-16840.000000,202439008.000000,,,202439008.000000,202455848.000000,-16840.000000,202439008.000000,,,,
12M 2009,1773400007.000000,-1597895456.000000,175504551.000000,-179856001.000000,-91850060.000000,-88005941.000000,-179856001.000000,-4351450.000000,-118996246.000000,955163.000000,-43314063.000000,,-66970741.000000,-9666605.000000,-118996246.000000,-123347696.000000,-35185571.000000,-158533267.000000,54427.000000,-158478840.000000,,,-158478840.000000,-158533267.000000,54427.000000,-158478840.000000,,,,
12M 2010,2509631000.000000,-2070391000.000000,439240000.000000,-248487000.000000,-115482000.000000,-133005000.000000,-248487000.000000,190753000.000000,-117372000.000000,966000.000000,-45122000.000000,,-85728000.000000,12512000.000000,-117372000.000000,73381000.000000,-60382000.000000,12999000.000000,31000.000000,13030000.000000,,,13030000.000000,12999000.000000,31000.000000,13030000.000000,,,,
12M 2011,2559942000.000000,-2232099000.000000,327843000.000000,-249386000.000000,-123758000.000000,-125628000.000000,-249386000.000000,78457000.000000,-55517000.000000,2079000.000000,5107000.000000,,-74675000.000000,11972000.000000,-55517000.000000,22940000.000000,-6884000.000000,16056000.000000,,16056000.000000,,16056000.000000,16056000.000000,16046000.000000,10000.000000,16056000.000000,16056000.000000,16046000.000000,10000.000000,16056000.000000
12M 2012,2518091000.000000,-2190321000.000000,327770000.000000,-258182000.000000,-131412000.000000,-126770000.000000,-258182000.000000,69588000.000000,-37459000.000000,4104000.000000,49308000.000000,,-94859000.000000,3988000.000000,-37459000.000000,32129000.000000,17564000.000000,49693000.000000,,49693000.000000,,49693000.000000,49693000.000000,49608000.000000,85000.000000,49693000.000000,49693000.000000,49608000.000000,85000.000000,49693000.000000
12M 2013,2651473000.000000,-2200863000.000000,450610000.000000,-277119000.000000,-161432000.000000,-115687000.000000,-277119000.000000,173491000.000000,33415000.000000,4757000.000000,170834000.000000,95000.000000,-143546000.000000,1275000.000000,33415000.000000,206906000.000000,14296000.000000,221202000.000000,,221202000.000000,,221202000.000000,221202000.000000,221067000.000000,135000.000000,221202000.000000,221202000.000000,221067000.000000,135000.000000,221202000.000000
12M 2014,2635037000.000000,-2181252000.000000,453785000.000000,-261608000.000000,-162817000.000000,-98791000.000000,-261608000.000000,192177000.000000,-65869000.000000,5046000.000000,27515000.000000,276000.000000,-114341000.000000,15635000.000000,-65869000.000000,126308000.000000,-154000.000000,126154000.000000,,126154000.000000,,126154000.000000,126154000.000000,126143000.000000,11000.000000,126154000.000000,126154000.000000,126143000.000000,11000.000000,126154000.000000
12M 2015,2834278000.000000,-2224290000.000000,609988000.000000,-282847000.000000,-174623000.000000,-108224000.000000,-282847000.000000,327141000.000000,-97270000.000000,5636000.000000,14779000.000000,253000.000000,-108466000.000000,-9472000.000000,-97270000.000000,229871000.000000,-7124000.000000,222747000.000000,,222747000.000000,10188000.000000,232935000.000000,222747000.000000,222780000.000000,-33000.000000,222747000.000000,232935000.000000,232968000.000000,-33000.000000,232935000.000000
12M 2016,2720473000.000000,-2139207000.000000,581266000.000000,-294300000.000000,-134883000.000000,-159417000.000000,-294300000.000000,286966000.000000,-141656000.000000,3876000.000000,-19877000.000000,460000.000000,-117241000.000000,-8874000.000000,-141656000.000000,145310000.000000,57445000.000000,202755000.000000,,202755000.000000,3507000.000000,206262000.000000,202755000.000000,202705000.000000,50000.000000,202755000.000000,206262000.000000,206212000.000000,50000.000000,206262000.000000
12M 2017,3127928000.000000,-2224399000.000000,903529000.000000,-300842000.000000,-169926000.000000,-130916000.000000,-300842000.000000,602687000.000000,-145600000.000000,4661000.000000,-29300000.000000,439000.000000,-123680000.000000,2280000.000000,-145600000.000000,457087000.000000,-43805000.000000,413282000.000000,,413282000.000000,-2700000.000000,410582000.000000,413282000.000000,413209000.000000,73000.000000,413282000.000000,410582000.000000,410515000.000000,67000.000000,410582000.000000
12M 2018,3335441000.000000,-2131711000.000000,1203730000.000000,-309683000.000000,-153051000.000000,-156632000.000000,-309683000.000000,894047000.000000,-158292000.000000,5303000.000000,21846000.000000,753000.000000,-176983000.000000,-9211000.000000,-158292000.000000,735755000.000000,-147549000.000000,588206000.000000,,588206000.000000,4895000.000000,593101000.000000,588206000.000000,588127000.000000,79000.000000,588206000.000000,593101000.000000,593019000.000000,82000.000000,593101000.000000
12M 2019,3223153000.000000,-2346850000.000000,876303000.000000,-315935000.000000,-173275000.000000,-142660000.000000,-315935000.000000,560368000.000000,-162471000.000000,15120000.000000,-19706000.000000,609000.000000,-190292000.000000,31798000.000000,-162471000.000000,397897000.000000,-123507000.000000,274390000.000000,,274390000.000000,-2212000.000000,272178000.000000,274390000.000000,274370000.000000,20000.000000,274390000.000000,272178000.000000,272159000.000000,19000.000000,272178000.000000
12M 2020,2986033000.000000,-2123326000.000000,862707000.000000,-331381000.000000,-183023000.000000,-148358000.000000,-331381000.000000,531326000.000000,-147889000.000000,13641000.000000,-3171000.000000,632000.000000,-197235000.000000,38244000.000000,-147889000.000000,383437000.000000,-89396000.000000,294041000.000000,,294041000.000000,-1443000.000000,292598000.000000,294041000.000000,294053000.000000,-12000.000000,294041000.000000,292598000.000000,292610000.000000,-12000.000000,292598000.000000
12M 2021,3516586000.000000,-2288190000.000000,1228396000.000000,-370152000.000000,-252173000.000000,-117979000.000000,-370152000.000000,858244000.000000,-197497000.000000,11919000.000000,11571000.000000,1171000.000000,-241297000.000000,19139000.000000,-197497000.000000,660747000.000000,-134388000.000000,526359000.000000,,526359000.000000,796000.000000,527155000.000000,526359000.000000,526362000.000000,-3000.000000,526359000.000000,527155000.000000,527158000.000000,-3000.000000,527155000.000000
