Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pihak Ketiga,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Obligasi Pemerintah,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Adjustment,Others,Total Pinjaman Yang Diberikan,Piutang Nasabah,Aset Tetap,Others,Total Aset Tetap,Aset Tak Berwujud,Aset Tak Berwujud,Others,Total Aset Tak Berwujud,Aset Pajak Tangguhan,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Deposito Berjangka,Pihak Berelasi,Pihak Ketiga,Total Deposito Berjangka,Others,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Liabilitas Derivatif,Liabilitas Akseptasi,Pinjaman Yang Diterima,Utang Pajak,Obligasi Subordinasi,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,259885013509.000000,473054174935.000000,240450479873.000000,,,240450479873.000000,,,106900000000.000000,9714979290274.000000,,-180206019626.000000,9641673270648.000000,,148970386376.000000,,148970386376.000000,,,,,30064507715.000000,,2051350964010.000000,12845448797066.000000,,,15037528310.000000,10497650288339.000000,292692847395.000000,10204957440944.000000,,,,,,10497650288339.000000,131218506532.000000,,52764852544.000000,13322349300.000000,23038376310.000000,1034172540600.000000,158709791252.000000,11925914233187.000000,,950804452050.000000,418787232350.000000,-448055516883.000000,2584796807.000000,-450640313690.000000,-448055516883.000000,88922346.000000,-2090525984.000000,919534563879.000000,,12845448797066.000000,8575076227.000000
12M 2009,,313386157483.000000,583861252715.000000,559877021444.000000,,,559877021444.000000,,,163500000000.000000,10822822474167.000000,,-198485489327.000000,10787836984840.000000,,153448618952.000000,,153448618952.000000,,,,,30216582470.000000,,3003746961743.000000,15432373579647.000000,,,13118839782.000000,13071296311940.000000,375858360930.000000,12695437951010.000000,,,,,,13071296311940.000000,57835572502.000000,9000000.000000,84649418623.000000,11027069880.000000,17720447452.000000,1026862394600.000000,186785775067.000000,14469304829846.000000,,950804452050.000000,418787232350.000000,-406197934599.000000,2584796807.000000,-408782731406.000000,-406197934599.000000,,-325000000.000000,963068749801.000000,,15432373579647.000000,8575076227.000000
12M 2010,,207578401651.000000,989938155500.000000,2026531741917.000000,,,2026531741917.000000,,,500000000.000000,11178351228648.000000,,-193661435179.000000,10985189793469.000000,,,162601099932.000000,162601099932.000000,,,,,25192791909.000000,,2666062191904.000000,17063094176282.000000,,,26938665017.000000,14681980044282.000000,429234371656.000000,14252745672626.000000,,,,,,14681980044282.000000,71923958051.000000,,98738164057.000000,8819840000.000000,13833525058.000000,917597030940.000000,188805390780.000000,16008636618185.000000,,950804452050.000000,418787232350.000000,-315681086411.000000,2584796807.000000,-318265883218.000000,-315681086411.000000,,546960108.000000,1054457558097.000000,,17063094176282.000000,8575076227.000000
12M 2011,,214633042992.000000,1318786907840.000000,2051448432704.000000,,,2051448432704.000000,,,497995610878.000000,12901449730609.000000,,-288125589678.000000,13111319751809.000000,,161154436594.000000,,161154436594.000000,,,,,33041071819.000000,,2295052664608.000000,19185436308366.000000,,,20372201680.000000,16296638311924.000000,685872319999.000000,15610765991925.000000,,,,,,16296638311924.000000,120261888708.000000,,92432719733.000000,6614880000.000000,15395269235.000000,815641805280.000000,663738137082.000000,18031095213642.000000,,950804452050.000000,418787232350.000000,-215250589676.000000,2584796807.000000,-217835386483.000000,-215250589676.000000,,,1154341094724.000000,,19185436308366.000000,8575076227.000000
12M 2012,,232428000000.000000,1448689000000.000000,437722000000.000000,,,437722000000.000000,,,39983000000.000000,15172152000000.000000,,-10201000000.000000,15201934000000.000000,,,726714000000.000000,726714000000.000000,,,,,29620000000.000000,,2481663000000.000000,20558770000000.000000,,,67753000000.000000,17399114000000.000000,733019000000.000000,16666095000000.000000,,,,,,17399114000000.000000,52309000000.000000,,115945000000.000000,4410000000.000000,10632000000.000000,713687000000.000000,257593000000.000000,18621443000000.000000,,950804000000.000000,418787000000.000000,63116000000.000000,,,63116000000.000000,,504620000000.000000,1937327000000.000000,,20558770000000.000000,8575076227.000000
12M 2013,,315001000000.000000,1444552000000.000000,1069837000000.000000,,,1069837000000.000000,,,83252000000.000000,15348018000000.000000,,-78796000000.000000,15352474000000.000000,,,712468000000.000000,712468000000.000000,,,,,35719000000.000000,,2258531000000.000000,21188582000000.000000,,,46236000000.000000,17363406000000.000000,1291798000000.000000,16071608000000.000000,,,,,,17363406000000.000000,145608000000.000000,580000000.000000,108633000000.000000,2205000000.000000,21810000000.000000,611731000000.000000,276550000000.000000,18576759000000.000000,,1451228000000.000000,416922000000.000000,289053000000.000000,,,289053000000.000000,,454620000000.000000,2611823000000.000000,,21188582000000.000000,13088274241.000000
12M 2014,,335614000000.000000,1698821000000.000000,596905000000.000000,,,596905000000.000000,,,89792000000.000000,17060297000000.000000,,-132027000000.000000,17018062000000.000000,,,701884000000.000000,701884000000.000000,,,,,48295000000.000000,,3053766000000.000000,23453347000000.000000,,,31928000000.000000,19573542000000.000000,1100546000000.000000,18472996000000.000000,,,,,,19573542000000.000000,156209000000.000000,634000000.000000,120023000000.000000,,23751000000.000000,509776000000.000000,318208000000.000000,20734071000000.000000,,1451228000000.000000,416922000000.000000,851126000000.000000,,,851126000000.000000,,,2719276000000.000000,,23453347000000.000000,13088274241.000000
12M 2015,,343445000000.000000,1788412000000.000000,1282338000000.000000,,,1282338000000.000000,,,128369000000.000000,17210856000000.000000,,-226597000000.000000,17112628000000.000000,,,708875000000.000000,708875000000.000000,,,,,61434000000.000000,,3822117000000.000000,25119249000000.000000,,,46914000000.000000,21471965000000.000000,1107219000000.000000,20364746000000.000000,,,,,,21471965000000.000000,29903000000.000000,324000000.000000,33340000000.000000,,21499000000.000000,407821000000.000000,341713000000.000000,22353479000000.000000,,1451228000000.000000,416922000000.000000,897620000000.000000,,,897620000000.000000,,,2765770000000.000000,,25119249000000.000000,13088274241.000000
12M 2016,,337042000000.000000,1511645000000.000000,912552000000.000000,,,912552000000.000000,,,285898000000.000000,17725132000000.000000,,-266857000000.000000,17744173000000.000000,,,2099631000000.000000,2099631000000.000000,,73211000000.000000,-7252000000.000000,65959000000.000000,57907000000.000000,,3491029000000.000000,26219938000000.000000,,,72289000000.000000,20848803000000.000000,964199000000.000000,19884604000000.000000,,,,,,20848803000000.000000,131035000000.000000,181000000.000000,47613000000.000000,,17200000000.000000,305866000000.000000,372562000000.000000,21795549000000.000000,,1751482000000.000000,414167000000.000000,954915000000.000000,,,954915000000.000000,,1303825000000.000000,4424389000000.000000,,26219938000000.000000,15796193049.000000
12M 2017,,427341000000.000000,1577060000000.000000,553497000000.000000,,,553497000000.000000,,18067674000000.000000,,,,,18067674000000.000000,,2066084000000.000000,,2066084000000.000000,58638000000.000000,,,58638000000.000000,57255000000.000000,,4919459000000.000000,27727008000000.000000,,,79178000000.000000,22276236000000.000000,,,,,,,,22276236000000.000000,181728000000.000000,415000000.000000,30183000000.000000,,15752000000.000000,203910000000.000000,431694000000.000000,23219096000000.000000,,1751482000000.000000,414753000000.000000,1037836000000.000000,,,1037836000000.000000,,1303841000000.000000,4507912000000.000000,,27727008000000.000000,15796193049.000000
