Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,8.41,,0.1,,,0.0
12M 2009,,,,,,,,,10.66,10.7,0.11,0.11,,,0.0
12M 2010,,,,,,,,,9.52,9.19,0.09,0.09,,,0.0
12M 2011,,,,,,,,,9.54,9.56,0.09,0.08,,,0.0
12M 2012,,,,,,,,,4.19,4.2,0.09,0.09,,,0.0
12M 2013,,,,,,,,,2.7,2.71,0.09,0.09,,,0.0
12M 2014,,,,,,,,,3.18,3.22,0.1,0.09,,,0.0
12M 2015,,,,,,,,,3.42,3.42,0.1,0.09,,,0.0
12M 2016,,,,,,,,,1.62,1.09,0.09,0.09,,,0.0
12M 2017,,,,,,,,,1.15,1.16,0.09,0.09,,,0.0
12M 2018,,,,,,,,,1.1,1.1,0.08,0.09,,,0.0
12M 2019,,,,,,,,,0.97,0.97,0.08,0.08,,,0.0
12M 2020,,,,,,,,,0.82,0.83,0.06,0.06,,,0.0
12M 2021,,,,,,,,,0.74,0.73,0.05,0.06,,,0.0
12M 2022,,,,,,,,,0.69,0.69,0.06,0.06,,,0.0
12M 2023,,,,,,,,,0.71,0.71,0.06,0.06,,,0.0
12M 2024,,,,,,,,,0.77,0.78,0.06,0.06,,,0.0
