Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pemasok Dan Beban Operasi,Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Untuk Pajak Penghasilan Badan,Penerimaan Pengembalian Pajak,Penerimaan Bunga,Pendapatan Keuangan,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Peningkatan Properti Investasi,Peningkatan Investasi Saham,Penerimaan Dividen Dari Entitas Asosiasi,Penerimaan Dividen Tunai,Perolehan Aset Lancar Lainnya,Pencairan Aset Keuangan Lancar Lainnya,"Pencairan Investasi Keuangan Lancar Lainnya, Neto",Akuisisi Entitas Anak Baru Setelah Dikurangi Dengan Kas Yang Diperoleh,Penjualan Investasi Saham,Penjualan Investasi Entitas Anak Setelah Dikurangi Kas Yang Dikeluarkan,Peningkatan Investasi,Entitas Asosiasi,Entitas Anak,Total Peningkatan Investasi,Penurunan Investasi,Entitas Asosiasi,Entitas Anak,Total Penurunan Investasi,Dana Yang Dijaminkan,Peningkatan Hak Sewa Tanah Jangka Panjang,Peningkatan Penyertaan Saham Dan Uang Muka Penyertaan,Peningkatan Uang Muka Perolehan Aset Tetap,Uang Muka Hak Atas Tanah,Peningkatan Persediaan Real Estat,Peningkatan Uang Muka Proyek,Peningkatan Proyek Dalam Pelaksanaan,Peningkatan Biaya Ditangguhkan,Peningkatan Aset Tidak Lancar Lainnya,Penurunan Aset Tidak Lancar Lainnya,Penambahan Aset Hak Guna,Penjualan Entitas Asosiasi,Penjualan Aset Tetap,Penambahan (Pengurangan) Kas Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pihak Ketiga,Pembayaran Ke Pihak Ketiga,"Penerimaan Utang Bank, Neto",Pembayaran Utang Bank,Penerimaan Bunga,"Penurunan Uang Muka Setoran Modal, Bersih",Pembayaran Uang Muka Dividen Interim,Pembayaran Utang Sewa Pembiayaan,Pembayaran Utang Pembelian Aset Tetap,Pembayaran Ke Pihak Berelasi,Penerimaan Setoran Modal,Pengembalian Setoran Modal Entitas Anak Dari Kepentingan Nopengendali,Penerimaan Dari Pihak Berelasi,"Penerimaan Dari (Pembayaran Ke) Utang Bank, Bersih",Penerimaan Dari Penawaran Umum Terbatas,Pembayaran Beban Keuangan,Pembayaran Dividen,Pembayaran Dividen Kepada Kepentingan Nonpengendali,Pembayaran Dividen Interim,Kepentingan Non Pengendali,Total Pembayaran Dividen Interim,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Entitas Anak Yang Baru Diakuisisi,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2015,62130885734.000000,486008707582.000000,,-358648064134.000000,,-358648064134.000000,-10008022070.000000,,,12805363023.000000,-68027098667.000000,62130885734.000000,-2783194434224.000000,-272685131454.000000,-2188580596.000000,,,,,,445430636.000000,,,,,-2522027924145.000000,,-2522027924145.000000,,,,,,769206372.000000,,,,,,,,,12492564963.000000,,,,,-2783194434224.000000,2794954894239.000000,45626286255.000000,,,-30425684508.000000,,,,-102092750.000000,,-2841743498.000000,,,,,2798418128740.000000,,,,,-15720000000.000000,-15720000000.000000,2794954894239.000000,73891345749.000000,10627295033.000000,202966284303.000000,,287484925085.000000
12M 2016,100067311679.000000,557423005043.000000,,-398813626387.000000,,-398813626387.000000,,,,7826109764.000000,-66368176741.000000,100067311679.000000,-253876095128.000000,-55023783997.000000,-233017252404.000000,,,39560000000.000000,,,84820000.000000,,,14799998119.000000,,-15041876850.000000,-4850000000.000000,-19891876850.000000,,,,,,-399999996.000000,,,,,,,,,,,,12000000.000000,,-253876095128.000000,114227673653.000000,,-62442715378.000000,438384201203.000000,-235571913885.000000,,,,-125525983.000000,,-38414706.000000,5000000.000000,,,,,,-16772957598.000000,,,-9210000000.000000,-9210000000.000000,114227673653.000000,-39581109796.000000,,287484925085.000000,,247903815289.000000
12M 2017,211480891922.000000,707681880549.000000,,-424640466668.000000,,-424640466668.000000,,,,19652718778.000000,-91213240737.000000,211480891922.000000,-579350891053.000000,-43212104208.000000,-21047925185.000000,,,271430257140.000000,,,400000000.000000,,,,,-767102317265.000000,,-767102317265.000000,,,20000000.000000,20000000.000000,,,,,,,,,,-24342801535.000000,,,,4504000000.000000,,-579350891053.000000,567906561863.000000,,2691774486.000000,823193006448.000000,-259464261740.000000,,,,-233499829.000000,,-28309502.000000,6547852000.000000,,,,,,,,,-4800000000.000000,-4800000000.000000,567906561863.000000,200036562732.000000,,247903815289.000000,-7714812829.000000,440225565192.000000
12M 2018,193103048142.000000,810126918106.000000,,-498604531822.000000,,-498604531822.000000,-107725.000000,,,13318448196.000000,-131737678613.000000,193103048142.000000,-26487629039.000000,-94222759092.000000,-26535049186.000000,,,,,,3784337032.000000,-6997260570.000000,,,,,,,,100000000000.000000,,100000000000.000000,,-20697720000.000000,,,,,,,,,4660092955.000000,,,161549968.000000,13359179854.000000,-26487629039.000000,55533819484.000000,,-121160369489.000000,586016864938.000000,-382702369896.000000,,,,-408316149.000000,,-1969032322.000000,-1470000000.000000,,,,,,-16772957598.000000,-6000000000.000000,,,,55533819484.000000,222149238587.000000,,418711401227.000000,-57883942697.000000,582976697117.000000
12M 2019,131347984386.000000,925421290844.000000,,-681661896267.000000,,-681661896267.000000,-306874.000000,,,24418958095.000000,-136830061412.000000,131347984386.000000,891510315216.000000,-199950224294.000000,-7494270263.000000,-1665646184413.000000,,785336675792.000000,,,,-693000000.000000,,,,,-67549610000.000000,-67549610000.000000,,2082857918680.000000,,2082857918680.000000,,-3000000000.000000,,,,-37812929707.000000,,,,,,,,190300000.000000,5271639421.000000,891510315216.000000,-1003877742129.000000,,-429359640858.000000,242762271785.000000,-782130112866.000000,,,,-262027722.000000,,-30260736.000000,-2450000000.000000,,,,,,-11181971732.000000,-21226000000.000000,,,,-1003877742129.000000,18980557473.000000,,582976697117.000000,25682961435.000000,627640216025.000000
12M 2020,-11463193894.000000,455215432183.000000,,-395122999944.000000,,-395122999944.000000,-9835780.000000,,,17597304785.000000,-89143095138.000000,-11463193894.000000,-286994413209.000000,-299729577575.000000,-3058525193.000000,,,93999401972.000000,,,,,,,,,-3900993706.000000,-3900993706.000000,,4625000000.000000,,4625000000.000000,,,,,,-77366575473.000000,,,,-3743500000.000000,,,,,2180356766.000000,-286994413209.000000,128295704645.000000,,1752048759.000000,587720668360.000000,-382959897777.000000,,,,-2755205476.000000,,-623036427.000000,-3920000000.000000,,,,,,-50318872794.000000,-20600000000.000000,,,,128295704645.000000,-170161902458.000000,,627640216025.000000,-19847103205.000000,437631210362.000000
12M 2021,113619058252.000000,522905880400.000000,,-319219660212.000000,,-319219660212.000000,-17317037.000000,,,8465178791.000000,-98515023690.000000,113619058252.000000,-276193184918.000000,-177748339651.000000,-1952729999.000000,,,66106232835.000000,,,,361833750.000000,,,,,,,,,,,,,,,,-102954342001.000000,,,,-2247232201.000000,,-9237948649.000000,,,-48520659002.000000,-276193184918.000000,255828819721.000000,,46423421357.000000,273045313876.000000,-32324335641.000000,,,,-3317334560.000000,,-61403223.000000,-2600000000.000000,,,,,,,-25336842088.000000,,,,255828819721.000000,93254693055.000000,,437631210362.000000,-12132734806.000000,518753168611.000000
12M 2022,337513573583.000000,987508308923.000000,,-529881825748.000000,,-529881825748.000000,-107027953.000000,,,7579599665.000000,-127585481304.000000,337513573583.000000,-232385123230.000000,-110402241496.000000,-7694705063.000000,,,74374159378.000000,,,,,,,,,,,,,,,,,,,,-196350010374.000000,,,,-4025721082.000000,,-631427195.000000,,,12344822602.000000,-232385123230.000000,14726535433.000000,,-51833666785.000000,302189820790.000000,-210697438905.000000,,,,-3506845052.000000,,11507473.000000,,,,,,,,-21436842088.000000,,,,14726535433.000000,119854985786.000000,,518753168611.000000,-31519824332.000000,607088330065.000000
12M 2023,274300933052.000000,1250888526998.000000,,-820368681608.000000,,-820368681608.000000,-1240373907.000000,,,9208361111.000000,-164186899542.000000,274300933052.000000,-282915356700.000000,-169507130539.000000,-87883529587.000000,,,114077606181.000000,,,,-52000000.000000,,2269843267.000000,,-8581000000.000000,,-8581000000.000000,,,,,,,,-8149365504.000000,,-123209248780.000000,,,,-4672250000.000000,,-251214525.000000,,149460000.000000,2893472787.000000,-282915356700.000000,-180835087450.000000,,-69000000000.000000,633159866438.000000,-665925997416.000000,,,,-7816415282.000000,,18911808.000000,,-3430000000.000000,,,,,,-67841452998.000000,,,,-180835087450.000000,-189449511098.000000,,607088330065.000000,2094958207.000000,419733777174.000000
12M 2024,347452583647.000000,1404062927102.000000,,-916121667307.000000,,-916121667307.000000,-1335803432.000000,,,9224518101.000000,-148377390817.000000,347452583647.000000,-424264747745.000000,-85009540588.000000,-187091493731.000000,-4421053000.000000,,70961653370.000000,,,,,,,,,,,,,,,,,,,,-226652816598.000000,,,,,,-320771930.000000,,190400000.000000,8078874732.000000,-424264747745.000000,20089277260.000000,250487500000.000000,-481987500000.000000,1344885576442.000000,-1031357583867.000000,,,,-9693076515.000000,,45334827.000000,,,,,,,,-52290973627.000000,,,,20089277260.000000,-56722886838.000000,,419733777174.000000,-1321641030.000000,361689249306.000000
