Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Dari Aktivitas Operasional Lain,Pengembalian Kas Pendapatan Diterima Dimuka Kepada Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak Atas Revaluasi Aset Tetap,Penerimaan Restitusi Pajak Penghasilan,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penurunan (Kenaikan) Aset Tidak Lancar Lainnya,Penurunan (Kenaikan) Deposito Dijaminkan,Penerimaan Investasi Jangka Pendek,Penerimaan Dari Penjualan Aset Tetap,Penanaman Eucalyptus,Perolehan Aset Tetap,Penambahan Sumber Daya Kehutanan,Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Jangka Pendek,Penerimaan Utang Jangka Pendek,Pembayaran Utang Pihak Berelasi,Tambahan Modal Disetor,Pembayaran Pinjaman Jangka Panjang Pihak Berelasi,Penerimaan Pinjaman Jangka Panjang Pihak Berelasi,Pembayaran Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2013,39226000.000000,115782000.000000,,,-76488000.000000,45000.000000,,,,-113000.000000,39226000.000000,-26278000.000000,2630000.000000,,,,,-13984000.000000,-14924000.000000,,-26278000.000000,-13091000.000000,-13067000.000000,,-24000.000000,,,,,-13091000.000000,-143000.000000,7104000.000000,,6961000.000000
12M 2014,-2776000.000000,113540000.000000,,-30000000.000000,-86338000.000000,40000.000000,,,532000.000000,-550000.000000,-2776000.000000,-28114000.000000,306000.000000,,,,,-13510000.000000,-14910000.000000,,-28114000.000000,30000000.000000,,,,,,30000000.000000,,30000000.000000,-890000.000000,6961000.000000,,6071000.000000
12M 2015,25403000.000000,106451000.000000,,,-73911000.000000,26000.000000,,-5826000.000000,,-1337000.000000,25403000.000000,-25547000.000000,650000.000000,,,,,-10317000.000000,-15880000.000000,,-25547000.000000,,,,,,,,,,-144000.000000,6071000.000000,,5927000.000000
12M 2016,26687000.000000,93823000.000000,,,-66655000.000000,27000.000000,,,,-508000.000000,26687000.000000,-26358000.000000,-43000.000000,,,,,-8390000.000000,-17925000.000000,,-26358000.000000,-4900000.000000,,,,,-4900000.000000,,,-4900000.000000,-4571000.000000,5927000.000000,,1356000.000000
12M 2017,-9540000.000000,125784000.000000,,-40000000.000000,-95299000.000000,23000.000000,-1000.000000,,,-47000.000000,-9540000.000000,-31297000.000000,-581000.000000,,,,,-10638000.000000,-20078000.000000,,-31297000.000000,40367000.000000,-366000.000000,366000.000000,,367000.000000,,40000000.000000,,40367000.000000,-470000.000000,1356000.000000,,886000.000000
12M 2018,7492000.000000,125000000.000000,,,-117892000.000000,22000.000000,,,418000.000000,-56000.000000,7492000.000000,-47216000.000000,-588000.000000,,,16000.000000,,-21986000.000000,-24658000.000000,,-47216000.000000,39200000.000000,,,,,,39200000.000000,,39200000.000000,-524000.000000,886000.000000,,362000.000000
12M 2019,54820000.000000,130411000.000000,,,-74484000.000000,28000.000000,,,,-1135000.000000,54820000.000000,-91533000.000000,417000.000000,,,,,-63645000.000000,-28305000.000000,,-91533000.000000,36730000.000000,,,,,,36730000.000000,,36730000.000000,17000.000000,362000.000000,,379000.000000
12M 2020,-7695000.000000,119185000.000000,790000.000000,-7939000.000000,-120841000.000000,12000.000000,,,1130000.000000,-32000.000000,-7695000.000000,-34165000.000000,-51000.000000,,,,,-4033000.000000,-30081000.000000,,-34165000.000000,41573000.000000,,,,,,41970000.000000,-397000.000000,41573000.000000,-287000.000000,379000.000000,,92000.000000
12M 2021,11889000.000000,122793000.000000,945000.000000,,-111859000.000000,11000.000000,,,47000.000000,-48000.000000,11889000.000000,-34716000.000000,-431000.000000,,3000.000000,,,-6814000.000000,-27474000.000000,,-34716000.000000,23047000.000000,,,,,,23533000.000000,-486000.000000,23047000.000000,220000.000000,92000.000000,,312000.000000
12M 2022,41588000.000000,161183000.000000,847000.000000,,-116427000.000000,10000.000000,-4000000.000000,,32000.000000,-57000.000000,41588000.000000,-41276000.000000,17000.000000,175000.000000,,,-17000.000000,-6234000.000000,-35217000.000000,,-41276000.000000,-259000.000000,,,,,,,-259000.000000,-259000.000000,53000.000000,312000.000000,,365000.000000
12M 2023,63573000.000000,123193000.000000,458000.000000,,-59853000.000000,10000.000000,,,159000.000000,-394000.000000,63573000.000000,-63117000.000000,-8000.000000,-293000.000000,2000.000000,,189000.000000,-26238000.000000,-36769000.000000,,-63117000.000000,-293000.000000,,,,,,,-293000.000000,-293000.000000,163000.000000,365000.000000,,528000.000000
12M 2024,29352000.000000,109579000.000000,395000.000000,,-80583000.000000,17000.000000,,,,-56000.000000,29352000.000000,-37694000.000000,6000.000000,330000.000000,,,80000.000000,-4467000.000000,-33643000.000000,,-37694000.000000,8230000.000000,,,,,,8567000.000000,-337000.000000,8230000.000000,-112000.000000,528000.000000,,416000.000000
