Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Others,Total Piutang Usaha,Piutang Pembiayaan Konsumen,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Piutang Pembiayaan Konsumen,Piutang Pihak Berelasi,Aset Tetap,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Others,Total Utang Usaha,Utang Pajak,Beban Akrual,Utang Trust Receipts,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembelian Kendaraan,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Medium Term Notes,Utang Lembaga Keuangan Lain,Liabilitas Keuangan Lainnya,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Dari Pihak Ketiga,Utang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembelian Kendaraan,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Medium Term Notes,Utang Lembaga Keuangan Lain,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,109179862655.000000,277876799811.000000,131513543969.000000,128500245340.000000,17863010502.000000,277876799811.000000,,5073458902.000000,308466418737.000000,308547334447.000000,1009143874552.000000,,,,5676424228.000000,52783058498.000000,8803514958.000000,,60811324288.000000,128074321972.000000,1137218196524.000000,,,469590963317.000000,,4185106404.000000,185532007967.000000,,189717114371.000000,33197618061.000000,9816169994.000000,,32634083635.000000,,926169974.000000,3235257037.000000,136106393150.000000,,,,,140267820161.000000,,,63958157095.000000,469590963317.000000,339003757394.000000,,613036560.000000,3557138502.000000,296219070987.000000,,,300389246049.000000,,,12126435150.000000,26488076195.000000,339003757394.000000,808594720711.000000,,108001461000.000000,99872499940.000000,120749514873.000000,,,328623475813.000000,1137218196524.000000,432005844.000000
12M 2009,,,58613871457.000000,297325852113.000000,149262599067.000000,129142409860.000000,18920843186.000000,297325852113.000000,,8024066638.000000,257204605741.000000,230457543710.000000,851625939659.000000,,,,5145615011.000000,63910054849.000000,8940061935.000000,,109889306966.000000,187885038761.000000,1039510978420.000000,,,487724266864.000000,,12439387002.000000,191260534794.000000,,203699921796.000000,36573166884.000000,13721313753.000000,,31469320000.000000,,1030575625.000000,3495663770.000000,172854495507.000000,,,,,177380734902.000000,,,24879809529.000000,487724266864.000000,194330100268.000000,,769604724.000000,2770152160.000000,162736441402.000000,,,166276198286.000000,,,383131216.000000,27670770766.000000,194330100268.000000,682054367132.000000,,108001461000.000000,99872499940.000000,149582650348.000000,,,357456611288.000000,1039510978420.000000,432005844.000000
12M 2010,,,64569702089.000000,222407587026.000000,2938585075.000000,210979274641.000000,8489727310.000000,222407587026.000000,5018977457.000000,6833621861.000000,407546350562.000000,359481701375.000000,1065857940370.000000,,,,5718238796.000000,156617926338.000000,42802768832.000000,,363906973883.000000,569045907849.000000,1634903848219.000000,,,869726064066.000000,,3528106211.000000,320838777096.000000,,324366883307.000000,12444757310.000000,3470606585.000000,,172127323499.000000,,2787706350.000000,31617850525.000000,231003860478.000000,,,,,265409417353.000000,,,91907076012.000000,869726064066.000000,328358142937.000000,,3389144227.000000,11513160486.000000,257194128183.000000,,,272096432896.000000,19449709714.000000,5459927243.000000,,31352073084.000000,328358142937.000000,1198084207003.000000,,108001461000.000000,99872499940.000000,219703858705.000000,24774070916.000000,-15532249345.000000,436819641216.000000,1634903848219.000000,432005844.000000
12M 2011,,,330568000000.000000,514678000000.000000,1995000000.000000,510976000000.000000,1707000000.000000,514678000000.000000,1820000000.000000,46397000000.000000,765344000000.000000,342353000000.000000,2001160000000.000000,,,3039000000.000000,7611000000.000000,364620000000.000000,50657000000.000000,,1310831000000.000000,1736758000000.000000,3737918000000.000000,,,2383059000000.000000,,2957000000.000000,1459406000000.000000,,1462363000000.000000,13182000000.000000,13881000000.000000,,158903000000.000000,,9064000000.000000,80701000000.000000,411304000000.000000,,,,,501069000000.000000,,12495000000.000000,221166000000.000000,2383059000000.000000,818092000000.000000,,9669000000.000000,113923000000.000000,433281000000.000000,218563000000.000000,,775436000000.000000,,6365000000.000000,,36291000000.000000,818092000000.000000,3201151000000.000000,,108001000000.000000,99873000000.000000,329069000000.000000,7746000000.000000,-7922000000.000000,536767000000.000000,3737918000000.000000,2160029220.000000
12M 2012,,,113486000000.000000,421212000000.000000,5710000000.000000,409912000000.000000,5590000000.000000,421212000000.000000,3127000000.000000,61358000000.000000,1185636000000.000000,551817000000.000000,2336636000000.000000,,,1054000000.000000,146000000.000000,320020000000.000000,57402000000.000000,,1553717000000.000000,1932339000000.000000,4268975000000.000000,,,2698291000000.000000,,1746000000.000000,830127000000.000000,,831873000000.000000,38629000000.000000,19789000000.000000,,195168000000.000000,,10296000000.000000,56157000000.000000,1073041000000.000000,204478000000.000000,,,,1343972000000.000000,,12656000000.000000,256204000000.000000,2698291000000.000000,1070088000000.000000,,7917000000.000000,87631000000.000000,911488000000.000000,14931000000.000000,,1021967000000.000000,,3237000000.000000,,44884000000.000000,1070088000000.000000,3768379000000.000000,,108001000000.000000,99873000000.000000,310059000000.000000,-9415000000.000000,-7922000000.000000,500596000000.000000,4268975000000.000000,2160029220.000000
12M 2013,,,194657000000.000000,546813000000.000000,5225000000.000000,529835000000.000000,11753000000.000000,546813000000.000000,922000000.000000,98956000000.000000,856918000000.000000,687958000000.000000,2386224000000.000000,,,1838000000.000000,66000000.000000,241578000000.000000,133186000000.000000,,1979957000000.000000,2356625000000.000000,4742849000000.000000,,,3239607000000.000000,,2006000000.000000,1293442000000.000000,,1295448000000.000000,35456000000.000000,22808000000.000000,,186875000000.000000,,6891000000.000000,42066000000.000000,1360678000000.000000,14973000000.000000,,,,1424608000000.000000,,11605000000.000000,262807000000.000000,3239607000000.000000,1194927000000.000000,,3309000000.000000,39222000000.000000,1101324000000.000000,,,1143855000000.000000,,,,51072000000.000000,1194927000000.000000,4434534000000.000000,,108001000000.000000,84341000000.000000,89691000000.000000,6119000000.000000,20163000000.000000,308315000000.000000,4742849000000.000000,2160029220.000000
12M 2014,,,275546000000.000000,609842000000.000000,4908000000.000000,543992000000.000000,60942000000.000000,609842000000.000000,686000000.000000,119670000000.000000,588810000000.000000,685122000000.000000,2279676000000.000000,,,876000000.000000,33000000.000000,786634000000.000000,166085000000.000000,,2541405000000.000000,3495033000000.000000,5774709000000.000000,,,2991109000000.000000,,422000000.000000,1309200000000.000000,,1309622000000.000000,45578000000.000000,26074000000.000000,,171311000000.000000,,2704000000.000000,30768000000.000000,1040549000000.000000,,,,,1074021000000.000000,,11605000000.000000,352898000000.000000,2991109000000.000000,1869084000000.000000,,924000000.000000,15166000000.000000,1484428000000.000000,295471000000.000000,,1795989000000.000000,,,17389000000.000000,55706000000.000000,1869084000000.000000,4860193000000.000000,,108001000000.000000,84341000000.000000,8590000000.000000,81356000000.000000,632228000000.000000,914516000000.000000,5774709000000.000000,2160029220.000000
12M 2015,,,142668000000.000000,582697000000.000000,2517000000.000000,524321000000.000000,55859000000.000000,582697000000.000000,537000000.000000,120303000000.000000,528165000000.000000,751570000000.000000,2125940000000.000000,,25631000000.000000,,18225000000.000000,818586000000.000000,155028000000.000000,,2658455000000.000000,3675925000000.000000,5801865000000.000000,,,2459065000000.000000,,468000000.000000,683910000000.000000,,684378000000.000000,21600000000.000000,39143000000.000000,,153650000000.000000,,873000000.000000,15909000000.000000,1227685000000.000000,,22073000000.000000,,,1266540000000.000000,,63275000000.000000,230479000000.000000,2459065000000.000000,2647456000000.000000,,51000000.000000,772000000.000000,2187280000000.000000,297144000000.000000,49381000000.000000,2534628000000.000000,,,58213000000.000000,54615000000.000000,2647456000000.000000,5106521000000.000000,,108001000000.000000,84341000000.000000,-292334000000.000000,91645000000.000000,703691000000.000000,695344000000.000000,5801865000000.000000,2160029220.000000
12M 2016,,,136643000000.000000,637181000000.000000,447000000.000000,619281000000.000000,17453000000.000000,637181000000.000000,,132887000000.000000,461955000000.000000,703018000000.000000,2071684000000.000000,,539000000.000000,,27420000000.000000,874120000000.000000,257246000000.000000,,1960577000000.000000,3119902000000.000000,5191586000000.000000,,,2366870000000.000000,,1977000000.000000,813004000000.000000,,814981000000.000000,21884000000.000000,36833000000.000000,,159850000000.000000,,278000000.000000,755000000.000000,708189000000.000000,299793000000.000000,57176000000.000000,,,1066191000000.000000,,14551000000.000000,252580000000.000000,2366870000000.000000,2325616000000.000000,,253000000.000000,,2264704000000.000000,,,2264957000000.000000,,,,60659000000.000000,2325616000000.000000,4692486000000.000000,,108001000000.000000,84341000000.000000,-485459000000.000000,22627000000.000000,769590000000.000000,499100000000.000000,5191586000000.000000,2160029220.000000
12M 2017,,,135533000000.000000,556353000000.000000,,531690000000.000000,24663000000.000000,556353000000.000000,,86237000000.000000,656654000000.000000,751228000000.000000,2186005000000.000000,,158505000000.000000,,6148000000.000000,879093000000.000000,351398000000.000000,380247000000.000000,1243023000000.000000,3018414000000.000000,5204419000000.000000,,,2896474000000.000000,961990000000.000000,,,,961990000000.000000,42365000000.000000,70547000000.000000,,187036000000.000000,,791000000.000000,,998774000000.000000,334892000000.000000,53064000000.000000,,,1387521000000.000000,,12839000000.000000,234176000000.000000,2896474000000.000000,1841540000000.000000,,907000000.000000,,1755747000000.000000,,,1756654000000.000000,,,,84886000000.000000,1841540000000.000000,4738014000000.000000,,166417000000.000000,253381000000.000000,-710777000000.000000,7023000000.000000,750361000000.000000,466405000000.000000,5204419000000.000000,3323121877.000000
