Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Dari (Pembayaran Kepada) Pihak Berelasi,"Pembayaran Kas Kepada Pemasok, Karyawan Dan Lainnya",Pembayaran Kas Kepada Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Pajak Penghasilan,Penerimaan Kas Dari Pengembalian Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembelian Anak Perusahaan,Perolehan Aset Ijarah Muntahiyah Bittamlik,Perolehan Aset Tetap,Penerimaan Dividen,Penempatan (Pencairan) Kas Dan Setara Kas Yang Dibatasi Pencairannya,Penurunan (Kenaikan) Piutang Dari Pihak Berelasi,Penerimaan Piutang Dari Pihak Berelasi,Pembayaran Uang Muka Ke Pihak Berelasi,Hasil Penjualan Aset Tetap,Penerimaan Bunga,Penerimaan Dari Penjualan Agunan Yang Diambil Alih,Uang Muka Untuk Perolehan Aset Tetap,Penurunan Aktiva Lain-Lain,Investasi Sosiasi,Penambahan Aset Tidak Berwujud,Akuisasi Entitas Anak,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Utang Bank - Bersih,Penerimaan Dari Utang Bank,Jangka Pendek,Jangka Panjang,Total Penerimaan Dari Utang Bank,Pembayaran Utang Bank,Jangka Pendek,Jangka Panjang,Total Pembayaran Utang Bank,Penerimaan Dari Medium Term Notes,Penerimaan Dari Penerbitan Saham,Penerimaan Dari Utang Lembaga Keuangan Lain,Penerimaan Utang Modal Kerja,Investasi,Penerimaan (Pembayaran) Utang Kepada Pihak Ketiga,Utang Pada Pemegang Saham,Penerimaan Dari Kewajiban Anjak Piutang - Bersih,Pembayaran:,Kewajiban Anjak Piutang,Dividen,Sewa Pembiayaan Dan Utang Pembelian Kendaraan,Bagi Hasil,Bunga Dan Beban Keuangan Lainnya,Utang Kepada Pihak Berelasi,Medium Term Notes,Lembaga Keuangan,Pinjaman Lainnya,Utang Modal Kerja,Total Pembayaran:,Penerbitan Saham,Penerimaan Dividen,Penerimaan Surat Utang,Penerimaan Dari Penjualan Saham Entitas Anak,Penerbitan Saham Melalui Eksekusi Warrant,Biaya Emisi Saham,Penerbitan Saham Melalui Hmetd,Kenaikan Utang Kepada Pihak Berelasi,Penerimaan Pinjaman Lainnya,Penurunan Utang Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,17236305172.000000,1256826157539.000000,,-1227335228218.000000,,,-12254624149.000000,,17236305172.000000,-10497415589.000000,,,-20951797106.000000,,-215643326.000000,,,,8207121400.000000,2462903443.000000,,,,,,,,-10497415589.000000,52225764788.000000,,112142025173.000000,,,112142025173.000000,,,,,,,,,,-6719109998.000000,,,,-5375858971.000000,,-3250275702.000000,-14978619054.000000,-29592396660.000000,,,,,,-53197150387.000000,,,,,,,,,,,52225764788.000000,58964654371.000000,36559364986.000000,13655843298.000000,109179862655.000000
12M 2009,107682723082.000000,1189666199607.000000,,-1057428879782.000000,,,-24554596743.000000,,107682723082.000000,-14772538236.000000,,,-16024570687.000000,,-3642151388.000000,,,,1918078478.000000,2976105361.000000,,,,,,,,-14772538236.000000,-135603866204.000000,,-78736931207.000000,,,-78736931207.000000,,,,,,,,,,,,,,-1344281458.000000,-3859836480.000000,-5302005794.000000,-16663921710.000000,-29696889555.000000,,,,,,-56866934997.000000,,,,,,,,,,,-135603866204.000000,-42693681358.000000,109179862655.000000,-7872309840.000000,58613871457.000000
12M 2010,70181186764.000000,2026293288396.000000,,-1919559368682.000000,,,-36552732950.000000,,70181186764.000000,-244646543132.000000,-4999875000.000000,-169824287650.000000,-73871718998.000000,,-5001358417.000000,-17187423.000000,,,6027025131.000000,3040859225.000000,,,,,,,,-244646543132.000000,171620614472.000000,,829144079832.000000,,,829144079832.000000,-529643924214.000000,,,-529643924214.000000,,,,,,,,,,,-7125714674.000000,-66455290312.000000,-20764764965.000000,-38179191354.000000,,,,,,-132524961305.000000,,,,,,,,4645420159.000000,,,171620614472.000000,-2844741896.000000,69602070149.000000,-2187626164.000000,64569702089.000000
12M 2011,925431000000.000000,2411359000000.000000,,-1432906000000.000000,,,-53022000000.000000,,925431000000.000000,-809248000000.000000,,-728307000000.000000,-67293000000.000000,,-24562000000.000000,-1893000000.000000,,,8745000000.000000,4062000000.000000,,,,,,,,-809248000000.000000,149723000000.000000,,642194000000.000000,,,642194000000.000000,-302837000000.000000,,,-302837000000.000000,218563000000.000000,,,,,,,,,,-24192000000.000000,-277362000000.000000,-39402000000.000000,-60286000000.000000,,,,,,-401242000000.000000,,,,,,,,,,-6955000000.000000,149723000000.000000,265906000000.000000,64570000000.000000,92000000.000000,330568000000.000000
12M 2012,-308034000000.000000,2746995000000.000000,,,-236106000000.000000,-2760109000000.000000,-58814000000.000000,,-308034000000.000000,-487962000000.000000,,-516073000000.000000,-93775000000.000000,,26962000000.000000,-459000000.000000,6288000000.000000,,75549000000.000000,13546000000.000000,,,,,,,,-487962000000.000000,562011000000.000000,,1796202000000.000000,,,1796202000000.000000,-843080000000.000000,,,-843080000000.000000,,,,,,1812000000.000000,,,,,-48601000000.000000,-167481000000.000000,-61300000000.000000,-113890000000.000000,,,,,,-391272000000.000000,,,,,,,,,,-1651000000.000000,562011000000.000000,-233985000000.000000,330568000000.000000,16903000000.000000,113486000000.000000
12M 2013,1348883000000.000000,2894300000000.000000,,,-122393000000.000000,-1368682000000.000000,-54342000000.000000,,1348883000000.000000,-1325235000000.000000,,-1366928000000.000000,-82785000000.000000,,4432000000.000000,,80000000.000000,,80761000000.000000,39205000000.000000,,,,,,,,-1325235000000.000000,37904000000.000000,,2260496000000.000000,,,2260496000000.000000,-1791316000000.000000,,,-1791316000000.000000,,,,,,60000000.000000,,,,,,-14944000000.000000,-85361000000.000000,-175270000000.000000,,-205000000000.000000,,,,-480575000000.000000,,,,50350000000.000000,,,,,,-1111000000.000000,37904000000.000000,61552000000.000000,113486000000.000000,19619000000.000000,194657000000.000000
12M 2014,1457631000000.000000,2629267000000.000000,,,-192451000000.000000,-984561000000.000000,-35518000000.000000,40894000000.000000,1457631000000.000000,-1393614000000.000000,,-1386372000000.000000,-62004000000.000000,,-8389000000.000000,33000000.000000,,,16034000000.000000,47084000000.000000,,,,,,,,-1393614000000.000000,13641000000.000000,,1841052000000.000000,,,1841052000000.000000,-1793641000000.000000,,,-1793641000000.000000,295471000000.000000,,,,,,,,,,,-16166000000.000000,-36002000000.000000,-262100000000.000000,,-14973000000.000000,,,,-329241000000.000000,,,,,,,,,,,13641000000.000000,77658000000.000000,194657000000.000000,3231000000.000000,275546000000.000000
12M 2015,-217867000000.000000,1970301000000.000000,,,-185994000000.000000,-1983282000000.000000,-47621000000.000000,28729000000.000000,-217867000000.000000,-412946000000.000000,,-362296000000.000000,-41682000000.000000,,4684000000.000000,-18192000000.000000,,,3902000000.000000,3638000000.000000,,,,-3000000000.000000,,,,-412946000000.000000,475716000000.000000,,1730037000000.000000,,,1730037000000.000000,-1010536000000.000000,,,-1010536000000.000000,,,71455000000.000000,,,,,,,,-668000000.000000,-28286000000.000000,-118765000000.000000,-172521000000.000000,,,,,,-320240000000.000000,,,,,,,,5000000000.000000,,,475716000000.000000,-155097000000.000000,275546000000.000000,22219000000.000000,142668000000.000000
12M 2016,859336000000.000000,1971971000000.000000,,,-181606000000.000000,-919678000000.000000,-30837000000.000000,19486000000.000000,859336000000.000000,-179910000000.000000,,-75550000000.000000,-87065000000.000000,,3241000000.000000,-27194000000.000000,,,783000000.000000,5875000000.000000,,,,,,,,-179910000000.000000,-703019000000.000000,,,47512000000.000000,,47512000000.000000,,-38795000000.000000,-389030000000.000000,-427825000000.000000,,,,,,-2055000000.000000,,,,,,-15759000000.000000,-79082000000.000000,-213008000000.000000,,,-12802000000.000000,,,-320651000000.000000,,,,,,,,,,,-703019000000.000000,-23593000000.000000,142668000000.000000,17568000000.000000,136643000000.000000
12M 2017,563853000000.000000,2509991000000.000000,,,-228340000000.000000,-1700275000000.000000,-36309000000.000000,18786000000.000000,563853000000.000000,-126717000000.000000,,-1377000000.000000,-20940000000.000000,,-3102000000.000000,-181000000.000000,,,4534000000.000000,16338000000.000000,,,,-121989000000.000000,,,,-126717000000.000000,-449718000000.000000,,,45467000000.000000,7000000000.000000,52467000000.000000,,-18787000000.000000,-250394000000.000000,-269181000000.000000,,,,,,-1712000000.000000,,,,,,-1329000000.000000,-70738000000.000000,-153057000000.000000,,-13250000000.000000,-4863000000.000000,,,-243237000000.000000,11945000000.000000,,,,,,,,,,-449718000000.000000,-12582000000.000000,136643000000.000000,11472000000.000000,135533000000.000000
