Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2015,,,,,,,,,,,,,2.41,2.41,9.67
12M 2016,56.82,134.01,12.06,178.77,6.42,5.87,2.72,4.04,19.75,21.22,1.57,1.59,1.93,1.93,42.34
12M 2017,92.14,164.12,13.87,242.39,3.96,4.57,2.22,2.31,15.78,17.28,1.1,1.1,1.32,1.32,16.34
12M 2018,50.75,116.58,12.46,154.87,7.19,7.16,3.13,2.56,27.37,26.05,1.62,1.5,1.95,1.95,14.56
12M 2019,50.48,128.32,9.77,169.03,7.23,6.79,2.84,2.7,32.07,36.63,1.67,1.66,2.08,2.08,16.0
12M 2020,62.98,165.99,6.37,222.6,5.8,8.76,2.2,2.48,25.88,28.68,1.12,1.2,1.37,1.37,32.21
12M 2021,31.82,92.08,1.18,122.72,11.47,12.58,3.96,4.02,39.34,45.03,1.37,1.31,1.47,1.47,29.11
12M 2022,33.12,119.27,7.06,145.33,11.02,11.71,3.06,2.88,39.34,45.71,0.98,0.99,1.05,1.05,29.28
12M 2023,21.35,154.7,5.24,170.81,17.1,19.89,2.36,2.07,53.67,59.03,1.01,1.02,1.1,1.1,105.77
12M 2024,25.4,207.74,0.38,232.76,14.37,11.0,1.76,1.91,50.47,56.49,0.75,0.76,0.83,0.83,91.71
