Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,85862318532.000000,-67052712687.000000,18809605845.000000,-19013474497.000000,-19013474497.000000,-19013474497.000000,-203868652.000000,3633794633.000000,126563939.000000,-482355291.000000,3989585985.000000,3633794633.000000,3429925981.000000,-911368134.000000,,,-911368134.000000,2518557847.000000,2518557847.000000,530902389.000000,3049460236.000000,2518557847.000000,2518557847.000000,,2518557847.000000,3049460236.000000,3049460236.000000,,3049460236.000000
12M 2016,73938540229.000000,-55537038330.000000,18401501899.000000,-19101786772.000000,-19101786772.000000,-19101786772.000000,-700284873.000000,2555265129.000000,71245422.000000,-40868176.000000,2524887883.000000,2555265129.000000,1854980256.000000,-628679989.000000,,,-628679989.000000,1226300267.000000,1226300267.000000,1403549159.000000,2629849426.000000,1226300267.000000,1226334757.000000,-34490.000000,1226300267.000000,2629849426.000000,2629883916.000000,-34490.000000,2629849426.000000
12M 2017,53215089941.000000,-34602543345.000000,18612546596.000000,-18456048665.000000,-18456048665.000000,-18456048665.000000,156497931.000000,2465850110.000000,411569799.000000,,2054280311.000000,2465850110.000000,2622348041.000000,-941759795.000000,,,-941759795.000000,1680588246.000000,1680588246.000000,369589756.000000,2050178002.000000,1680588246.000000,1680588246.000000,,1680588246.000000,2050178002.000000,2050178002.000000,,2050178002.000000
12M 2018,82434741654.000000,-63763709414.000000,18671032240.000000,-16897473721.000000,-16897473721.000000,-16897473721.000000,1773558519.000000,982306949.000000,296315802.000000,-30358655.000000,716349802.000000,982306949.000000,2755865468.000000,-1026230481.000000,,,-1026230481.000000,1729634987.000000,1729634987.000000,844032874.000000,2573667861.000000,1729634987.000000,1729634987.000000,,1729634987.000000,2573667861.000000,2573667861.000000,,2573667861.000000
12M 2019,84938903562.000000,-65153880383.000000,19785023179.000000,-17600096050.000000,-17600096050.000000,-17600096050.000000,2184927129.000000,-65711385.000000,258058298.000000,-31328525.000000,-292441158.000000,-65711385.000000,2119215744.000000,-1379493006.000000,,,-1379493006.000000,739722738.000000,739722738.000000,1763110942.000000,2502833680.000000,739722738.000000,739722738.000000,,739722738.000000,2502833680.000000,2502833680.000000,,2502833680.000000
12M 2020,51421794000.000000,-41810131519.000000,9611662481.000000,-13978542566.000000,-13978542566.000000,-13978542566.000000,-4366880085.000000,1091528809.000000,175698229.000000,-29943328.000000,945773908.000000,1091528809.000000,-3275351276.000000,-2307848155.000000,,,-2307848155.000000,-5583199431.000000,-5583199431.000000,-44729469.000000,-5627928900.000000,-5583199431.000000,-5583199431.000000,,-5583199431.000000,-5627928900.000000,-5627928900.000000,,-5627928900.000000
12M 2021,59273878447.000000,-45994319153.000000,13279559294.000000,-12703334478.000000,-12703334478.000000,-12703334478.000000,576224816.000000,2951469719.000000,312925880.000000,-28956931.000000,2667500770.000000,2951469719.000000,3527694535.000000,-526673041.000000,,,-526673041.000000,3001021494.000000,3001021494.000000,208536617.000000,3209558111.000000,3001021494.000000,3001021494.000000,,3001021494.000000,3209558111.000000,3209558111.000000,,3209558111.000000
12M 2022,43205200773.000000,-31824544684.000000,11380656089.000000,-12361438396.000000,-12361438396.000000,-12361438396.000000,-980782307.000000,2369899923.000000,303279044.000000,,2066620879.000000,2369899923.000000,1389117616.000000,-387065951.000000,,,-387065951.000000,1002051665.000000,1002051665.000000,370179100.000000,1372230765.000000,1002051665.000000,1002051665.000000,,1002051665.000000,1372230765.000000,1372230765.000000,,1372230765.000000
12M 2023,43826512604.000000,-34110442236.000000,9716070368.000000,-11871860767.000000,-11871860767.000000,-11871860767.000000,-2155790399.000000,1220591235.000000,535710538.000000,,684880697.000000,1220591235.000000,-935199164.000000,349173589.000000,,,349173589.000000,-586025575.000000,-586025575.000000,-22184627.000000,-608210202.000000,-586025575.000000,-586025575.000000,,-586025575.000000,-608210202.000000,-608210202.000000,,-608210202.000000
12M 2024,31266379007.000000,-25147615993.000000,6118763014.000000,-11496995015.000000,-11496995015.000000,-11496995015.000000,-5378232001.000000,2778256333.000000,1177219763.000000,,1601036570.000000,2778256333.000000,-2599975668.000000,900393249.000000,,,900393249.000000,-1699582419.000000,-1699582419.000000,186074556.000000,-1513507863.000000,-1699582419.000000,-1699582419.000000,,-1699582419.000000,-1513507863.000000,-1513507863.000000,,-1513507863.000000
