Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.79,1.01,0.12,1.33,0.0,0.0,0.03,0.09,0.33
12M 2009,3.01,2.29,0.03,1.24,0.0,0.0,-0.21,0.03,0.24
12M 2010,5.55,4.59,0.03,1.17,0.0,0.0,-0.33,0.02,0.17
12M 2011,6.99,6.09,0.01,1.16,0.0,0.0,-0.43,0.01,0.15
12M 2012,6.03,5.42,0.01,1.17,0.0,0.0,-0.53,0.01,0.17
12M 2013,6.15,5.61,0.01,1.16,0.0,0.0,-0.54,0.01,0.16
12M 2014,4.93,4.42,0.01,1.17,0.0,0.0,-0.45,0.0,0.17
12M 2015,4.89,4.32,0.01,1.16,0.0,0.0,-0.36,0.0,0.16
12M 2016,4.53,3.97,0.0,1.15,0.0,0.0,-0.37,0.0,0.15
12M 2017,3.7,3.19,0.0,1.18,0.0,0.0,-0.33,0.0,0.18
12M 2018,3.14,2.67,0.01,1.2,0.0,0.0,-0.31,0.0,0.2
12M 2019,3.31,2.82,0.0,1.2,0.0,0.0,-0.33,0.0,0.2
12M 2020,2.92,2.48,0.02,1.23,0.0,0.0,-0.32,0.02,0.23
12M 2021,2.44,1.95,0.01,1.27,0.0,0.0,-0.28,0.01,0.27
12M 2022,2.14,1.55,0.05,1.31,0.0,0.0,-0.18,0.04,0.31
12M 2023,1.25,0.86,0.13,1.41,0.0,0.0,-0.02,0.08,0.41
12M 2024,1.45,1.09,0.11,1.38,0.0,0.0,-0.09,0.08,0.38
