Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Total Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Final,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2009,1230221000000.000000,-964015000000.000000,266206000000.000000,-159248000000.000000,,-89589000000.000000,-69659000000.000000,-159248000000.000000,,-159248000000.000000,106958000000.000000,22906000000.000000,-58162000000.000000,77765000000.000000,1447000000.000000,-305000000.000000,2161000000.000000,22906000000.000000,129864000000.000000,-31085000000.000000,-25699000000.000000,,-5386000000.000000,,-31085000000.000000,98779000000.000000,-5339000000.000000,93440000000.000000,,,93440000000.000000,98779000000.000000,-5339000000.000000,93440000000.000000,,,,
12M 2010,1625149000000.000000,-1185546000000.000000,439603000000.000000,-161674000000.000000,,-90234000000.000000,-71440000000.000000,-161674000000.000000,,-161674000000.000000,277929000000.000000,-40861000000.000000,-60841000000.000000,25739000000.000000,3474000000.000000,160000000.000000,-9393000000.000000,-40861000000.000000,237068000000.000000,-61660000000.000000,-51774000000.000000,,-9886000000.000000,,-61660000000.000000,175408000000.000000,-5143000000.000000,170265000000.000000,,,170265000000.000000,175408000000.000000,-5143000000.000000,170265000000.000000,,,,
12M 2011,1818287000000.000000,-1508000000000.000000,310287000000.000000,-186679000000.000000,,-106900000000.000000,-79779000000.000000,-186679000000.000000,,-186679000000.000000,123608000000.000000,-49523000000.000000,-54172000000.000000,208000000.000000,747000000.000000,667000000.000000,3027000000.000000,-49523000000.000000,74085000000.000000,-21319000000.000000,-11565000000.000000,,-9754000000.000000,,-21319000000.000000,52766000000.000000,,52766000000.000000,19830000000.000000,72596000000.000000,52766000000.000000,50147000000.000000,2619000000.000000,52766000000.000000,72596000000.000000,67843000000.000000,4753000000.000000,72596000000.000000
12M 2012,227273096.000000,-188731789.000000,38541307.000000,-22012808.000000,-22190019.000000,,,-22190019.000000,177211.000000,-22012808.000000,16528499.000000,-7363086.000000,-7363086.000000,,,,,-7363086.000000,9165413.000000,-1675772.000000,-1675772.000000,,,,-1675772.000000,7489641.000000,,7489641.000000,55274.000000,7544915.000000,7489641.000000,7241709.000000,247932.000000,7489641.000000,7544915.000000,7291035.000000,253880.000000,7544915.000000
12M 2013,233483218.000000,-193045083.000000,40438135.000000,-23109164.000000,-23472785.000000,,,-23472785.000000,363621.000000,-23109164.000000,17328971.000000,-5815281.000000,-5815281.000000,,,,,-5815281.000000,11513690.000000,-2010246.000000,-2010246.000000,,,,-2010246.000000,9503444.000000,,9503444.000000,1390950.000000,10894394.000000,9503444.000000,9100686.000000,402758.000000,9503444.000000,10894394.000000,10341970.000000,552424.000000,10894394.000000
12M 2014,229688106.000000,-192543030.000000,37145076.000000,-23760591.000000,-23806977.000000,,,-23806977.000000,46386.000000,-23760591.000000,13384485.000000,-5094846.000000,-5094846.000000,,,,,-5094846.000000,8289639.000000,-4179749.000000,-2110087.000000,-365889.000000,-1703773.000000,,-4179749.000000,4109890.000000,,4109890.000000,-104350.000000,4005540.000000,4109890.000000,3712628.000000,397262.000000,4109890.000000,4005540.000000,3619506.000000,386034.000000,4005540.000000
12M 2015,200542395.000000,-162840161.000000,37702234.000000,-25536740.000000,-24728331.000000,,,-24728331.000000,-808409.000000,-25536740.000000,12165494.000000,-5387518.000000,-5387518.000000,,,,,-5387518.000000,6777976.000000,-4113196.000000,-2211747.000000,,-1901449.000000,,-4113196.000000,2664780.000000,,2664780.000000,-3382162.000000,-717382.000000,2664780.000000,2288748.000000,376032.000000,2664780.000000,-717382.000000,-759178.000000,41796.000000,-717382.000000
12M 2016,195626757.000000,-151913282.000000,43713475.000000,-28041080.000000,-27811593.000000,,,-27811593.000000,-229487.000000,-28041080.000000,15672395.000000,-5346037.000000,-5346037.000000,,,,,-5346037.000000,10326358.000000,-3828991.000000,-1985822.000000,,-1726446.000000,-116723.000000,-3828991.000000,6497367.000000,,6497367.000000,-3697386.000000,2799981.000000,6497367.000000,6021796.000000,475571.000000,6497367.000000,2799981.000000,2690191.000000,109790.000000,2799981.000000
12M 2017,198934982.000000,-160834920.000000,38100062.000000,-29080170.000000,-29926173.000000,,,-29926173.000000,846003.000000,-29080170.000000,9019892.000000,-5516534.000000,-5516534.000000,,,,,-5516534.000000,3503358.000000,-1023932.000000,-983535.000000,,199651.000000,-240048.000000,-1023932.000000,2479426.000000,,2479426.000000,2706547.000000,5185973.000000,2479426.000000,2104067.000000,375359.000000,2479426.000000,5185973.000000,4455665.000000,730308.000000,5185973.000000
12M 2018,211572897.000000,-170410316.000000,41162581.000000,-27836775.000000,-28163980.000000,,,-28163980.000000,327205.000000,-27836775.000000,13325806.000000,-5687096.000000,-5687096.000000,,,,,-5687096.000000,7638710.000000,-2564781.000000,-980483.000000,,-907767.000000,-676531.000000,-2564781.000000,5073929.000000,,5073929.000000,-2835337.000000,2238592.000000,5073929.000000,4854391.000000,219538.000000,5073929.000000,2238592.000000,2326990.000000,-88398.000000,2238592.000000
