Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2009,0.08 B,1219.49,0.00,0.00,,5.84%,35.16%,27.72%,1.84
12M 2010,6.44 B,27.24,9.54,1.03,,7.90%,16.52%,24.29%,4.57
12M 2011,6.44 B,7.79,17.07,0.47,,1.91%,4.52%,7.81%,2.28
12M 2012,6.44 B,10.87,9.75,0.31,,2.56%,5.31%,9.28%,2.24
12M 2013,6.44 B,17.23,6.21,0.24,,3.28%,6.22%,10.54%,2.98
12M 2014,6.44 B,7.17,16.18,0.26,,1.30%,2.49%,7.48%,2.63
12M 2015,6.44 B,4.76,15.13,0.17,,0.79%,1.50%,6.76%,2.26
12M 2016,6.44 B,12.44,10.93,0.34,,2.11%,3.97%,8.17%,2.93
12M 2017,6.44 B,4.37,29.06,0.31,,0.72%,1.36%,4.77%,1.64
12M 2018,6.44 B,10.74,8.29,0.19,358.13 B,1.64%,3.07%,7.26%,2.34
12M 2019,6.44 B,9.27,10.03,0.21,338.07 B,1.55%,2.74%,6.64%,2.15
12M 2020,6.44 B,17.84,8.97,0.36,419.38 B,2.91%,4.84%,9.19%,3.90
12M 2021,6.44 B,19.61,8.67,0.32,410.90 B,2.96%,5.03%,8.84%,4.39
12M 2022,6.44 B,7.34,23.43,0.33,304.08 B,1.08%,1.78%,4.60%,2.18
12M 2023,6.44 B,0.68,230.88,0.34,267.62 B,0.10%,0.17%,2.95%,1.19
12M 2024,6.44 B,2.61,49.81,0.25,318.63 B,0.28%,0.61%,3.31%,1.37
