Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.79,3203.87,2.01,2866.47,945 B,"21,128 B","22,073 B","16,335 B",(983 B)
12M 2009,1.43,3304.73,1.57,3013.95,"4,481 B","21,193 B","25,675 B","22,839 B","(5,928 B)"
12M 2010,1.64,3285.03,1.78,3032.17,"4,521 B","19,781 B","24,302 B","22,226 B","(5,788 B)"
12M 2011,1.67,3379.22,1.81,3127.68,"4,996 B","18,564 B","23,560 B","21,336 B","(5,373 B)"
12M 2012,1.86,3471.03,2.00,3218.23,"4,668 B","20,862 B","25,530 B","21,613 B","(2,707 B)"
12M 2013,1.42,2928.66,1.55,2677.91,"6,699 B","21,307 B","28,006 B","25,773 B","(6,325 B)"
12M 2014,1.63,2486.12,1.81,2236.48,"12,251 B","14,998 B","27,250 B","23,770 B","(12,556 B)"
12M 2015,2.39,2297.20,2.68,2048.50,"7,878 B","20,057 B","27,935 B","24,312 B","(10,134 B)"
12M 2016,2.63,2456.82,2.94,2191.78,"8,387 B","15,309 B","23,696 B","21,845 B","(11,013 B)"
12M 2017,1.86,2575.85,2.10,2281.98,"5,184 B","17,458 B","22,642 B","20,967 B","(6,721 B)"
12M 2018,0.82,2056.36,0.95,1767.25,"7,084 B","17,886 B","24,970 B","23,925 B","(13,134 B)"
12M 2019,1.24,2341.45,1.43,2034.71,"7,553 B","22,580 B","30,133 B","24,252 B","(9,685 B)"
12M 2020,2.31,2184.51,2.70,1868.03,"4,774 B","23,167 B","27,941 B","26,158 B","(13,063 B)"
12M 2021,3.67,1689.47,4.46,1390.22,"10,760 B","23,116 B","33,876 B","30,087 B","(17,159 B)"
12M 2022,1.76,3515.32,5.88,1049.32,"11,375 B","44,609 B","55,984 B","46,476 B","(17,191 B)"
12M 2023,2.46,3813.35,7.38,1270.26,"9,457 B","44,414 B","53,871 B","48,681 B","(18,655 B)"
12M 2024,2.39,1038.68,5.98,414.92,"10,378 B","44,488 B","54,866 B","50,412 B","(16,131 B)"
