Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,14.46,,,,0.51,,0.37,-19.0,-19.0,0.91
12M 2009,26.76,,,,13.64,13.53,,,0.44,0.41,0.34,0.33,-3.1,-3.1,0.55
12M 2010,26.78,,,,13.63,12.74,,,0.45,0.46,0.37,0.36,-3.42,-3.42,0.52
12M 2011,26.51,,,,13.77,14.26,,,0.48,0.49,0.39,0.4,-3.83,-3.83,0.55
12M 2012,28.33,,,,12.89,11.26,,,0.53,0.55,0.42,0.42,-8.28,-8.28,0.75
12M 2013,32.95,,,,11.08,9.56,,,0.57,0.56,0.43,0.44,-3.77,-3.77,0.53
12M 2014,33.04,,,,11.05,10.97,,,0.58,0.58,0.45,0.46,-1.92,-1.92,0.41
12M 2015,32.88,,,,11.1,9.44,,,0.65,0.65,0.49,0.5,-2.64,-2.64,0.49
12M 2016,34.0,,,,10.73,10.34,,,0.72,0.76,0.55,0.59,-2.65,-2.65,0.42
12M 2017,39.96,,,,9.13,7.22,,,0.8,0.85,0.59,0.61,-4.45,-4.45,0.59
12M 2018,53.41,,,,6.83,7.07,,,0.64,0.65,0.45,0.44,-1.76,-1.76,0.38
12M 2019,41.37,,,,8.82,8.21,,,0.66,0.63,0.45,0.43,-2.7,-2.7,0.56
12M 2020,36.27,,,,10.06,10.1,,,0.63,0.61,0.44,0.45,-2.14,-2.14,0.42
12M 2021,26.65,,,,13.69,13.69,,,0.68,0.69,0.5,0.47,-1.83,-1.83,0.4
12M 2022,17.02,,,,21.45,19.49,,,0.82,0.68,0.53,0.43,-2.72,-2.72,0.52
12M 2023,19.49,,,,18.72,16.01,,,0.72,0.71,0.45,0.45,-2.75,-2.75,0.45
12M 2024,20.92,,,,17.45,16.55,,,0.76,0.75,0.49,0.49,-3.46,-3.46,0.48
