Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(3 B),(0 B),(3 B),-93.81
12M 2009,10 B,(0 B),10 B,306.87
12M 2010,(1 B),(0 B),(1 B),-38.12
12M 2011,(1 B),,(1 B),-40.18
12M 2012,13 B,(0 B),12 B,362.58
12M 2013,(15 B),(0 B),(15 B),-449.79
12M 2014,(2 B),(0 B),(2 B),-59.57
12M 2015,(2 B),,(2 B),-47.14
12M 2016,(1 B),(0 B),(1 B),-1.17
12M 2017,(2 B),,(2 B),-2.56
12M 2018,(2 B),(0 B),(3 B),-3.68
12M 2019,(2 B),,(2 B),-2.82
12M 2021,(3 B),,(3 B),-4.01
12M 2022,(8 B),,(8 B),-7.70
12M 2023,(6 B),,(6 B),-6.49
12M 2024,0 B,,0 B,0.35
