Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.13 B,2276.64,4.61,0.82,,23.99%,38.49%,104.11%,
12M 2009,1.13 B,2791.49,11.39,2.53,,28.00%,42.61%,53.83%,
12M 2010,1.13 B,1624.46,31.24,3.82,,18.73%,28.31%,43.84%,
12M 2011,1.13 B,4382.83,8.82,2.02,,34.60%,50.53%,75.23%,
12M 2012,1.13 B,3697.46,11.24,1.99,,28.97%,43.10%,52.89%,
12M 2013,1.13 B,2488.17,11.45,1.21,,16.56%,23.91%,36.42%,
12M 2014,1.13 B,2204.49,6.97,0.72,,15.31%,22.28%,24.31%,
12M 2015,1.13 B,747.95,7.65,0.30,,5.20%,7.34%,21.54%,
12M 2016,1.13 B,1539.39,10.96,1.05,,10.70%,14.27%,21.87%,
12M 2017,1.13 B,2992.17,6.92,1.03,,18.37%,26.05%,38.45%,
12M 2018,1.13 B,3303.51,6.13,0.80,"6,868.39 B",17.87%,26.50%,42.14%,
12M 2019,1.13 B,1620.38,7.08,0.53,"3,281.69 B",10.89%,14.80%,17.73%,
12M 2020,1.13 B,509.18,27.20,0.91,"2,525.84 B",3.52%,4.78%,11.23%,
12M 2021,1.13 B,6023.56,3.39,0.78,"12,247.59 B",28.61%,39.42%,70.77%,
12M 2022,1.13 B,15799.45,2.47,0.82,"27,517.82 B",43.37%,58.56%,98.91%,
12M 2023,1.13 B,6754.66,3.80,0.80,"10,501.24 B",22.60%,27.65%,30.15%,
12M 2024,1.13 B,5247.92,5.09,0.83,"8,738.93 B",15.25%,19.04%,24.31%,
