Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Atas Pajak Lebih Bayar Dari Kantor Pajak,Pembayaran Liabilitas Imbalan Pasca Kerja,Pembayaran Beban Bunga,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Bagian Non-Pengendali,Setoran Modal Dan Uang Muka Ke Perusahaan Asosiasi,Penerimaan Bunga,Perolehan Pembibitan,Penambahan Tanaman Perkebunan Belum Menghasilkan,Perolehan Aset Tetap,Perolehan Hak Guna Usaha,Uang Muka Untuk Perolehan Aset Tetap,Penjualan Investasi Jangka Panjang Lainnya,Hasil Penjualan Aset Tetap,Pembayaran Kepada Plasma,Penambahan Beban Ditangguhkan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Penerimaan Dari Pihak Ketiga,Penerimaan Dari (Pembayaran Kepada) Plasma,Perolehan Utang Bank,Pembayaran Utang Bank,Perolehan Utang Jangka Panjang Non-Bank,Perolehan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Lain-Lain,Penerimaan Utang Lain-Lain,Pembayaran Dividen,Penerimaan Dividen,Akuisisi Bagian Non-Pengendali Pada Entitas Anak Yang Dikonsolidasi,Pembelian Saham Dari Non Pengendali Pada Entitas Anak,Pembayaran Liabilitas Sewa,Pembayaran Utang Sewa Pembiayaan,Tambahan Setoran Modal,Penyetoran Modal Oleh Pemegang Saham Non-Pengendali Entitas Anak Yang Dikonsolidasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2009,87141578709.000000,381587587261.000000,-244394322620.000000,,,,-27246483823.000000,-22805202109.000000,87141578709.000000,-175117141446.000000,,,395876533.000000,-10834185062.000000,-129338859182.000000,-35809973735.000000,,,,470000000.000000,,,-175117141446.000000,86180478213.000000,1831297920.000000,-914952115.000000,,-1844551696.000000,,,,99651693832.000000,-20951752500.000000,,,-9557000000.000000,,,,,-937958338.000000,12300000000.000000,6603701110.000000,86180478213.000000,-1795084524.000000,25851129313.000000,24056044789.000000
12M 2010,113992395786.000000,403465513133.000000,-237709747564.000000,,,,-34076250846.000000,-17687118937.000000,113992395786.000000,-186436111253.000000,,-7420080000.000000,388413426.000000,-7941874248.000000,-118246964598.000000,-38090073333.000000,,-14816111500.000000,,95480000.000000,,-404901000.000000,-186436111253.000000,86398761676.000000,2445038658.000000,-2838104190.000000,,8172330536.000000,16500000000.000000,-19500000000.000000,,105177965655.000000,-14101000000.000000,,,-12072000000.000000,,,,,-1560443369.000000,78000000.000000,4096974386.000000,86398761676.000000,13955046209.000000,24056044789.000000,38011090998.000000
12M 2011,203266651737.000000,619996984516.000000,-340517211077.000000,,3380770473.000000,,-46718709724.000000,-32875182451.000000,203266651737.000000,-416427835199.000000,-134552941120.000000,,16921447879.000000,-21398977396.000000,-159974413719.000000,-111462069244.000000,,-6096236599.000000,,135355000.000000,,,-416427835199.000000,670844856254.000000,16847984225.000000,-307678034.000000,,-4461001378.000000,39000000000.000000,-36000000000.000000,,219295516721.000000,-106664574655.000000,,,,,,,,-4062613640.000000,547158223015.000000,39000000.000000,670844856254.000000,457683672792.000000,38011090998.000000,495694763790.000000
12M 2012,246305683059.000000,713719561784.000000,-359224058309.000000,,,,-60578365251.000000,-47611455165.000000,246305683059.000000,-532368677757.000000,,,19674303645.000000,-37499109626.000000,-278368698835.000000,-260741922828.000000,,-853611113.000000,,26438260000.000000,,-1017899000.000000,-532368677757.000000,11594631797.000000,,,,,146000000000.000000,-60500000000.000000,,38419721876.000000,-71704754000.000000,,,-36236980800.000000,,,,,-4383355279.000000,,,11594631797.000000,-274468362901.000000,495694763790.000000,221226400889.000000
12M 2013,55193901699.000000,637249715529.000000,-475896777729.000000,,,,-75764856404.000000,-30394179697.000000,55193901699.000000,-509911068867.000000,,,6586007961.000000,-12308493262.000000,-238093004156.000000,-259743814910.000000,,-2425000000.000000,,853350000.000000,,-4780114500.000000,-509911068867.000000,319466874760.000000,,,,,22000000000.000000,-57500000000.000000,,489683041377.000000,-89187840818.000000,,,-45146748524.000000,,,,,-381577275.000000,,,319466874760.000000,-135250292408.000000,221226400871.000000,85976108463.000000
12M 2014,95385632781.000000,791610706070.000000,-524728280814.000000,,6440129850.000000,,-131073043768.000000,-46863878557.000000,95385632781.000000,-426585814194.000000,,,2360993825.000000,-10378028134.000000,-202354276378.000000,-170624706534.000000,,-44627859714.000000,,115000000.000000,,-1076937259.000000,-426585814194.000000,317687902017.000000,,,,-19441630648.000000,,,,483196236427.000000,-171335221834.000000,,37320000000.000000,-6794433900.000000,,-5127000000.000000,,,-130048028.000000,,,317687902017.000000,-13512279396.000000,85976108463.000000,72463829067.000000
12M 2015,8953136449.000000,660235086919.000000,-487907668124.000000,,160429836.000000,,-147756372616.000000,-15778339566.000000,8953136449.000000,-332885884721.000000,,,326118034.000000,-7710636154.000000,-167748867145.000000,-172095773360.000000,,,2000000000.000000,13502000000.000000,,-1158726096.000000,-332885884721.000000,273471927016.000000,,,,-23126944118.000000,49000000000.000000,,,399069000000.000000,-148498362000.000000,,,-5049801620.000000,2184915326.000000,,,,-106880572.000000,,,273471927016.000000,-50460821256.000000,72463829067.000000,22003007811.000000
12M 2016,46028007037.000000,610475033540.000000,-415510784322.000000,,1297225764.000000,,-149989161455.000000,-244306490.000000,46028007037.000000,-65988182840.000000,,,83921287.000000,,-38914984631.000000,-29887916301.000000,,,,2730796805.000000,,,-65988182840.000000,3945650397.000000,,,,-14987681259.000000,55227000000.000000,,,26409000000.000000,-62702668344.000000,,,,,,,,,,,3945650397.000000,-16014525406.000000,22003007811.000000,5988482405.000000
12M 2017,-156231590180.000000,561049265180.000000,-527060391656.000000,,3222022293.000000,,-191053295844.000000,-2389190153.000000,-156231590180.000000,-85019171458.000000,,,114894244.000000,,-52475274844.000000,-31528790858.000000,,-1130000000.000000,,,,,-85019171458.000000,242051630533.000000,,,,-20207489459.000000,,-79227000000.000000,,40816802387.000000,-259618229423.000000,,560287547028.000000,,,,,,,,,242051630533.000000,800868895.000000,5988482405.000000,6789351300.000000
12M 2018,-310519374330.000000,714070236030.000000,-817256683906.000000,,,,-207182364176.000000,-150562278.000000,-310519374330.000000,-73395676649.000000,-8231602751.000000,,1204470842.000000,-4048819190.000000,-43836265258.000000,-17149150292.000000,,-1334310000.000000,,,,,-73395676649.000000,389895212893.000000,245826634252.000000,,,-59356011645.000000,90000000000.000000,-131500000000.000000,,,-1508679861412.000000,,-554283772738.000000,,2307888224436.000000,,,,,,,389895212893.000000,5980161914.000000,6789351300.000000,12769513214.000000
