Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Tanah Untuk Dikembangkan,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,14667387501.000000,,35047510596.000000,35047510596.000000,,35047510596.000000,1229558668007.000000,205545720445.000000,8774085282.000000,1493593371831.000000,,118528010140.000000,118528010140.000000,118528010140.000000,125191482400.000000,283969184906.000000,2240861565413.000000,,552107940.000000,55017434337.000000,2824119785136.000000,4317713156967.000000,,,1427149580715.000000,206578749999.000000,,89625280288.000000,5830759607.000000,95456039895.000000,,365043069420.000000,13752440680.000000,378795510100.000000,422602762212.000000,72133035526.000000,,72912403989.000000,516377071.000000,,73428781060.000000,178154701923.000000,1427149580715.000000,958431330225.000000,,72833333333.000000,,72833333333.000000,265116997201.000000,,583017342630.000000,278001572.000000,,583295344202.000000,25231145776.000000,11954509713.000000,958431330225.000000,2385580910940.000000,,1928190940500.000000,-447306677313.000000,448516694238.000000,-9717162.000000,2741005764.000000,1932132246027.000000,4317713156967.000000,19281904405.000000
12M 2016,,,13990565036.000000,290190582657.000000,32123007516.000000,17012132516.000000,15110875000.000000,32123007516.000000,877634011374.000000,178486505084.000000,142623210050.000000,1535047881717.000000,,,,,3204828874.000000,248383994097.000000,2166305676750.000000,,384364933.000000,47159396006.000000,2465438260660.000000,4000486142377.000000,,,627068491568.000000,9988218344.000000,,51714975305.000000,3823804819.000000,55538780124.000000,,102134397495.000000,4270200000.000000,106404597495.000000,161367198970.000000,82786085874.000000,,62499374067.000000,233690473.000000,,62733064540.000000,148250546221.000000,627068491568.000000,1079804858305.000000,,,,,256213583297.000000,,783492769388.000000,53611723.000000,,783546381111.000000,25231145776.000000,14813748121.000000,1079804858305.000000,1706873349873.000000,,2258190940500.000000,-369016027727.000000,391452017881.000000,-15107190.000000,13000969040.000000,2293612792504.000000,4000486142377.000000,22581909405.000000
12M 2017,,,17683436980.000000,,26545070868.000000,16294195868.000000,10250875000.000000,26545070868.000000,826323039278.000000,139979232994.000000,484390250406.000000,1494921030526.000000,,,,,3862928621.000000,255383994097.000000,2144796309961.000000,,170985884.000000,28552584167.000000,2432766802730.000000,3927687833256.000000,,,728227670714.000000,347725649.000000,,82052479480.000000,2828104631.000000,84880584111.000000,,77409204762.000000,4270200000.000000,81679404762.000000,125125039578.000000,68967959191.000000,,259584161950.000000,88059274.000000,,259672221224.000000,107554736199.000000,728227670714.000000,913193130819.000000,,12000000000.000000,,12000000000.000000,361683740567.000000,,494650257381.000000,84732159.000000,,494734989540.000000,25231145776.000000,19543254936.000000,913193130819.000000,1641420801533.000000,,2258190940500.000000,-368994027727.000000,399997693518.000000,-17421816.000000,-2910152752.000000,2286267031723.000000,3927687833256.000000,22581909405.000000
12M 2018,,,19797579925.000000,,29884139108.000000,17280730774.000000,12603408334.000000,29884139108.000000,810313992599.000000,129365363313.000000,481980656225.000000,1471341731170.000000,,,,,574472621.000000,256574631392.000000,2090622155811.000000,,110316667.000000,24663810604.000000,2372545387095.000000,3843887118265.000000,,,358422568492.000000,,,59979092273.000000,2345079658.000000,62324171931.000000,,17058461129.000000,3670200000.000000,20728661129.000000,108821730804.000000,70913077743.000000,,3135305336.000000,36686848.000000,,3171992184.000000,92462934701.000000,358422568492.000000,1212962050207.000000,,,,,628758389448.000000,,541006333502.000000,51067305.000000,,541057400807.000000,25231145776.000000,17915114176.000000,1212962050207.000000,1571384618699.000000,,2258190940500.000000,-368994027727.000000,383850722423.000000,-17755961.000000,-527379669.000000,2272502499566.000000,3843887118265.000000,22581909405.000000
12M 2019,,,15513177279.000000,,14217539560.000000,14083139560.000000,134400000.000000,14217539560.000000,800413115733.000000,128185436449.000000,124294739435.000000,1082624008456.000000,,,,,697861763.000000,266284631392.000000,2034976129229.000000,,81683334.000000,23398251465.000000,2325438557183.000000,3408062565639.000000,,,358269793997.000000,,,46951399863.000000,1947380027.000000,48898779890.000000,,16658344171.000000,7281825455.000000,23940169626.000000,113316719201.000000,69640914274.000000,,17188838430.000000,40360741.000000,,17229199171.000000,85244011835.000000,358269793997.000000,888481487359.000000,,4000000000.000000,3670200000.000000,7670200000.000000,310978978705.000000,,523956556574.000000,10706563.000000,,523967263137.000000,25231145776.000000,20633899741.000000,888481487359.000000,1246751281356.000000,,2258190940500.000000,-368994027727.000000,272844355160.000000,-20101240.000000,-709882410.000000,2161311284283.000000,3408062565639.000000,22581909405.000000
12M 2020,,,11122000000.000000,,4441000000.000000,4130000000.000000,311000000.000000,4441000000.000000,800271000000.000000,128010000000.000000,5620000000.000000,949464000000.000000,,,,,2642000000.000000,266285000000.000000,1978540000000.000000,,53000000.000000,123868000000.000000,2371388000000.000000,3320852000000.000000,,,367884000000.000000,,,43793000000.000000,2056000000.000000,45849000000.000000,,13608000000.000000,,13608000000.000000,122725000000.000000,67592000000.000000,,6068000000.000000,,,6068000000.000000,112042000000.000000,367884000000.000000,905969000000.000000,,4000000000.000000,,4000000000.000000,324453000000.000000,,534777000000.000000,,,534777000000.000000,20185000000.000000,22554000000.000000,905969000000.000000,1273853000000.000000,,2258191000000.000000,-368994000000.000000,159091000000.000000,-28000000.000000,-1261000000.000000,2046999000000.000000,3320852000000.000000,22581909405.000000
12M 2021,,,64016000000.000000,,4886000000.000000,4483000000.000000,403000000.000000,4886000000.000000,820315000000.000000,124959000000.000000,2615000000.000000,1016791000000.000000,,,,,3581000000.000000,81424000000.000000,1892070000000.000000,,24000000.000000,56245000000.000000,2033344000000.000000,3050135000000.000000,,,471375000000.000000,,,37044000000.000000,1660000000.000000,38704000000.000000,,83389000000.000000,1665000000.000000,85054000000.000000,129213000000.000000,64217000000.000000,,23112000000.000000,,,23112000000.000000,131075000000.000000,471375000000.000000,630970000000.000000,,4000000000.000000,,4000000000.000000,81685000000.000000,,507437000000.000000,,,507437000000.000000,22203000000.000000,15645000000.000000,630970000000.000000,1102345000000.000000,,2258191000000.000000,-368994000000.000000,57601000000.000000,51000000.000000,941000000.000000,1947790000000.000000,3050135000000.000000,22581909405.000000
12M 2022,,,85443000000.000000,,2775000000.000000,2400000000.000000,375000000.000000,2775000000.000000,799986000000.000000,126365000000.000000,2643000000.000000,1017212000000.000000,,,,,3961000000.000000,55653000000.000000,480444000000.000000,,,153177000000.000000,693235000000.000000,1710447000000.000000,,,292398000000.000000,,,14907000000.000000,,14907000000.000000,,122088000000.000000,,122088000000.000000,51650000000.000000,48373000000.000000,,4692000000.000000,,2010000000.000000,6702000000.000000,48678000000.000000,292398000000.000000,228950000000.000000,,,,,46946000000.000000,,101287000000.000000,,66829000000.000000,168116000000.000000,,13888000000.000000,228950000000.000000,521348000000.000000,,2258191000000.000000,-370532000000.000000,-700596000000.000000,,2036000000.000000,1189099000000.000000,1710447000000.000000,22581909405.000000
12M 2023,,,48990000000.000000,,6399000000.000000,5814000000.000000,585000000.000000,6399000000.000000,795286000000.000000,126903000000.000000,10099000000.000000,987677000000.000000,,,,,3997000000.000000,173023000000.000000,397446000000.000000,,,58794000000.000000,633260000000.000000,1620937000000.000000,,,272753000000.000000,,,13199000000.000000,,13199000000.000000,,102048000000.000000,,102048000000.000000,57719000000.000000,40958000000.000000,,10992000000.000000,36000000.000000,4423000000.000000,15451000000.000000,43378000000.000000,272753000000.000000,209697000000.000000,,,,,48071000000.000000,,90295000000.000000,145000000.000000,59609000000.000000,150049000000.000000,,11577000000.000000,209697000000.000000,482450000000.000000,,2258191000000.000000,-370532000000.000000,-742135000000.000000,,-7037000000.000000,1138487000000.000000,1620937000000.000000,22581909405.000000
12M 2024,,,20367000000.000000,,8274000000.000000,7592000000.000000,682000000.000000,8274000000.000000,9947000000.000000,144851000000.000000,3003000000.000000,186442000000.000000,,771846000000.000000,771846000000.000000,771846000000.000000,3335000000.000000,160164000000.000000,389966000000.000000,,133000000.000000,27536000000.000000,1352980000000.000000,1539422000000.000000,,,167048000000.000000,,,11765000000.000000,10000000.000000,11775000000.000000,,13998000000.000000,,13998000000.000000,52124000000.000000,37734000000.000000,,11024000000.000000,,4380000000.000000,15404000000.000000,36013000000.000000,167048000000.000000,260126000000.000000,,69700000000.000000,,69700000000.000000,43465000000.000000,,80375000000.000000,,55229000000.000000,135604000000.000000,,11357000000.000000,260126000000.000000,427174000000.000000,,2258191000000.000000,-370532000000.000000,-768786000000.000000,,-6625000000.000000,1112248000000.000000,1539422000000.000000,22581909405.000000
