Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,366434131789.000000,-195263318016.000000,171170813773.000000,-178549374775.000000,-35755771675.000000,-142793603100.000000,-178549374775.000000,-7378561002.000000,-241860520873.000000,6861736562.000000,-130723493216.000000,-20961607970.000000,-1273163061.000000,-10894007697.000000,-84869985491.000000,-241860520873.000000,-249239081875.000000,-5548221145.000000,-62009000.000000,,-5486212145.000000,-5548221145.000000,-254787303020.000000,9072754070.000000,-245714548950.000000,-254787303020.000000,-254777485858.000000,-9817162.000000,-254787303020.000000,-245714548950.000000,-245704731788.000000,-9817162.000000,-245714548950.000000
12M 2016,355161572861.000000,-199125524045.000000,156036048816.000000,-151187693570.000000,-29379421581.000000,-121808271989.000000,-151187693570.000000,4848355246.000000,-43814020229.000000,267679945.000000,-101595817147.000000,8386716424.000000,-1190355482.000000,-15282780.000000,50333038811.000000,-43814020229.000000,-38965664983.000000,-18104401402.000000,-13371044750.000000,,-4733356652.000000,-18104401402.000000,-57070066385.000000,10259963276.000000,-46810103109.000000,-57070066385.000000,-57064676357.000000,-5390028.000000,-57070066385.000000,-46810103109.000000,-46804713081.000000,-5390028.000000,-46810103109.000000
12M 2017,330824301711.000000,-160219148709.000000,170605153002.000000,-138733689044.000000,-24039812516.000000,-114693876528.000000,-138733689044.000000,31871463958.000000,-18446844547.000000,298977193.000000,-61478410709.000000,-200096459.000000,-17098461926.000000,-8730583.000000,60039877937.000000,-18446844547.000000,13424619411.000000,-4881258400.000000,-4881258400.000000,,,-4881258400.000000,8543361011.000000,-15911121792.000000,-7367760781.000000,8543361011.000000,8545675637.000000,-2314626.000000,8543361011.000000,-7367760781.000000,-7365446155.000000,-2314626.000000,-7367760781.000000
12M 2018,288471478784.000000,-131408282106.000000,157063196678.000000,-117460008110.000000,-21483321004.000000,-95976687106.000000,-117460008110.000000,39603188568.000000,-55750493808.000000,2543650903.000000,-55182592400.000000,2096948.000000,-1173472386.000000,-15670333.000000,-1924506540.000000,-55750493808.000000,-16147305240.000000,,,,,,-16147305240.000000,2382773083.000000,-13764532157.000000,-16147305240.000000,-16146971095.000000,-334145.000000,-16147305240.000000,-13764532157.000000,-13764198012.000000,-334145.000000,-13764532157.000000
12M 2019,284464051745.000000,-125738225092.000000,158725826653.000000,-147799713290.000000,-32729635433.000000,-115070077857.000000,-147799713290.000000,10926113363.000000,-121934825905.000000,516617740.000000,-51264852558.000000,5778884.000000,-1299279423.000000,34232270.000000,-69927322818.000000,-121934825905.000000,-111008712542.000000,,,,,,-111008712542.000000,-182502741.000000,-111191215283.000000,-111008712542.000000,-111006367263.000000,-2345279.000000,-111008712542.000000,-111191215283.000000,-111188870004.000000,-2345279.000000,-111191215283.000000
12M 2020,88207000000.000000,-72825000000.000000,15382000000.000000,-82402000000.000000,-7914000000.000000,-74488000000.000000,-82402000000.000000,-67020000000.000000,-49326000000.000000,463000000.000000,-30811000000.000000,-5000000.000000,,153000000.000000,-19126000000.000000,-49326000000.000000,-116346000000.000000,5046000000.000000,,,,5046000000.000000,-111300000000.000000,-551000000.000000,-111851000000.000000,-111300000000.000000,-111292000000.000000,-8000000.000000,-111300000000.000000,-111851000000.000000,-111843000000.000000,-8000000.000000,-111851000000.000000
12M 2021,86780000000.000000,-73872000000.000000,12908000000.000000,-74373000000.000000,-2519000000.000000,-71854000000.000000,-74373000000.000000,-61465000000.000000,-38022000000.000000,301000000.000000,-20045000000.000000,,,1000000000.000000,-19278000000.000000,-38022000000.000000,-99487000000.000000,-2018000000.000000,,,,-2018000000.000000,-101505000000.000000,2202000000.000000,-99303000000.000000,-101505000000.000000,-101490000000.000000,-15000000.000000,-101505000000.000000,-99303000000.000000,-99288000000.000000,-15000000.000000,-99303000000.000000
12M 2022,191996000000.000000,-100120000000.000000,91876000000.000000,-109896000000.000000,-3971000000.000000,-105925000000.000000,-109896000000.000000,-18020000000.000000,-740271000000.000000,,-26173000000.000000,,,,-714098000000.000000,-740271000000.000000,-758291000000.000000,,,,,,-758291000000.000000,1095000000.000000,-757196000000.000000,-758291000000.000000,-758197000000.000000,-94000000.000000,-758291000000.000000,-757196000000.000000,-757102000000.000000,-94000000.000000,-757196000000.000000
12M 2023,154753000000.000000,-40251000000.000000,114502000000.000000,-81228000000.000000,-3259000000.000000,-77969000000.000000,-81228000000.000000,33274000000.000000,-74813000000.000000,,-15700000000.000000,,,,-59113000000.000000,-74813000000.000000,-41539000000.000000,,,,,,-41539000000.000000,-9073000000.000000,-50612000000.000000,-41539000000.000000,-41539000000.000000,,-41539000000.000000,-50612000000.000000,-50612000000.000000,,-50612000000.000000
12M 2024,165623000000.000000,-47650000000.000000,117973000000.000000,-95126000000.000000,-5446000000.000000,-89680000000.000000,-95126000000.000000,22847000000.000000,-49498000000.000000,,-15538000000.000000,,,,-33960000000.000000,-49498000000.000000,-26651000000.000000,,,,,,-26651000000.000000,412000000.000000,-26239000000.000000,-26651000000.000000,-26651000000.000000,,-26651000000.000000,-26239000000.000000,-26239000000.000000,,-26239000000.000000
