Period,Total Pendapatan,Total Beban Pokok Penjualan,Adjustment,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Final,Adjustment,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Pos Luar Biasa,Hak Minoritas,Adjustment,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Pos Luar Biasa,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,970093852000.000000,-464786754000.000000,,505307098000.000000,-457308351000.000000,-41295657000.000000,-416012694000.000000,,,-457308351000.000000,47998747000.000000,-223119514000.000000,3668172000.000000,-8267000.000000,-270597307000.000000,-98503011000.000000,142320899000.000000,-223119514000.000000,-175120767000.000000,-53966522000.000000,-34480929000.000000,-19485593000.000000,-53966522000.000000,-229087289000.000000,7894714000.000000,177334878000.000000,,-43857697000.000000,,,-43857697000.000000,-229087289000.000000,177334878000.000000,7894714000.000000,,-43857697000.000000,,,,
12M 2009,2124875298000.000000,-988691638000.000000,,1136183660000.000000,-488881406000.000000,-31062766000.000000,-457818640000.000000,,,-488881406000.000000,647302254000.000000,253227861000.000000,5459826000.000000,-113702000.000000,236734434000.000000,-59063392000.000000,70210695000.000000,253227861000.000000,900530115000.000000,-138256730000.000000,-111453688000.000000,-26803042000.000000,-138256730000.000000,762273385000.000000,,-447107358000.000000,,315166027000.000000,,,315166027000.000000,762273385000.000000,-447107358000.000000,,,315166027000.000000,,,,
12M 2010,1352104734000.000000,-610992561000.000000,,741112173000.000000,-529458425000.000000,-24958932000.000000,-504499493000.000000,,,-529458425000.000000,211653748000.000000,71420473000.000000,4265692000.000000,-121000.000000,55035816000.000000,-18595463000.000000,30714549000.000000,71420473000.000000,283074221000.000000,-69611216000.000000,-73489559000.000000,3878343000.000000,-69611216000.000000,213463005000.000000,,-152045841000.000000,,61417164000.000000,,,61417164000.000000,213463005000.000000,-152045841000.000000,,,61417164000.000000,,,,
12M 2011,955254685000.000000,-308555484000.000000,,646699201000.000000,-558588597000.000000,-26518718000.000000,-532069879000.000000,,,-558588597000.000000,88110604000.000000,35995981000.000000,6629550000.000000,48000.000000,26526615000.000000,-47189716000.000000,50029484000.000000,35995981000.000000,124106585000.000000,-54199265000.000000,-60125758000.000000,5926493000.000000,-54199265000.000000,69907320000.000000,,,,69907320000.000000,,69907320000.000000,69907320000.000000,19257698000.000000,50649622000.000000,,,69907320000.000000,69907320000.000000,19257698000.000000,50649622000.000000,69907320000.000000
12M 2012,1001519247000.000000,-308860451000.000000,,692658796000.000000,-564257662000.000000,-34682840000.000000,-529574822000.000000,,,-564257662000.000000,128401134000.000000,-2212933000.000000,8038919000.000000,,-20431842000.000000,-38887636000.000000,49067626000.000000,-2212933000.000000,126188201000.000000,-40825051000.000000,-46281167000.000000,5456116000.000000,-40825051000.000000,85363150000.000000,,,,85363150000.000000,,85363150000.000000,85363150000.000000,33761649000.000000,51601501000.000000,,,85363150000.000000,85363150000.000000,33761649000.000000,51601501000.000000,85363150000.000000
12M 2013,3109196019000.000000,-528023263000.000000,,2581172756000.000000,-958022635000.000000,-41522011000.000000,-916500624000.000000,,,-958022635000.000000,1623150121000.000000,296371773000.000000,17193456000.000000,,257693432000.000000,-20324186000.000000,41809071000.000000,296371773000.000000,1919521894000.000000,-153044178000.000000,-156646433000.000000,3602255000.000000,-153044178000.000000,1766477716000.000000,,,,1766477716000.000000,2000.000000,1766477718000.000000,1766477716000.000000,1420824794000.000000,345652922000.000000,,,1766477716000.000000,1766477718000.000000,1420824796000.000000,345652922000.000000,1766477718000.000000
12M 2014,1338968441000.000000,-426240639000.000000,,912727802000.000000,-738093755000.000000,-45769291000.000000,-692324464000.000000,,,-738093755000.000000,174634047000.000000,61309228000.000000,18123537000.000000,,-40392587000.000000,-14540486000.000000,98118764000.000000,61309228000.000000,235943275000.000000,-98647511000.000000,-101248288000.000000,2600777000.000000,-98647511000.000000,137295764000.000000,,,,137295764000.000000,,137295764000.000000,137295764000.000000,37894655000.000000,99401109000.000000,,,137295764000.000000,137295764000.000000,37894655000.000000,99401109000.000000,137295764000.000000
12M 2015,1377511704000.000000,-416466395000.000000,,961045309000.000000,-929316944000.000000,-36291382000.000000,-830552620000.000000,-62472942000.000000,,-929316944000.000000,31728365000.000000,103555202000.000000,14927224000.000000,,12856477000.000000,-47743631000.000000,123515132000.000000,103555202000.000000,135283567000.000000,-43454064000.000000,-45863249000.000000,2409185000.000000,-43454064000.000000,91829503000.000000,,,,91829503000.000000,958496000.000000,92787999000.000000,91829503000.000000,3075753000.000000,88753750000.000000,,,91829503000.000000,92787999000.000000,3956009000.000000,88831990000.000000,92787999000.000000
12M 2016,1383786187000.000000,-366411551000.000000,,1017374636000.000000,-970758118000.000000,-33168378000.000000,-873165731000.000000,-64424009000.000000,,-970758118000.000000,46616518000.000000,106214867000.000000,12656627000.000000,,-6633637000.000000,-37927780000.000000,138119657000.000000,106214867000.000000,152831385000.000000,163571910000.000000,-24362761000.000000,187934671000.000000,163571910000.000000,316403295000.000000,,,,316403295000.000000,6387479000.000000,322790774000.000000,316403295000.000000,19571166000.000000,296832129000.000000,,,316403295000.000000,322790774000.000000,26134706000.000000,296656068000.000000,322790774000.000000
12M 2017,1371672386000.000000,-353846536000.000000,,1017825850000.000000,-910414109000.000000,-29792678000.000000,-815349645000.000000,-65271786000.000000,,-910414109000.000000,107411741000.000000,122412525000.000000,14308393000.000000,-283061000.000000,-1919986000.000000,-37808249000.000000,148115428000.000000,122412525000.000000,229824266000.000000,-37306880000.000000,-24824038000.000000,-12482842000.000000,-37306880000.000000,192517386000.000000,,,,192517386000.000000,7748521000.000000,200265907000.000000,192517386000.000000,13951940000.000000,178565446000.000000,,,192517386000.000000,200265907000.000000,25060349000.000000,175205558000.000000,200265907000.000000
