Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,3.97,197.78,4.17,188.16,87 B,12 B,98 B,(76 B),371 B
12M 2009,3.16,226.16,3.29,217.07,120 B,9 B,129 B,(253 B),420 B
12M 2010,3.10,253.09,3.21,244.53,333 B,9 B,342 B,(261 B),404 B
12M 2011,4.81,286.06,4.96,277.49,379 B,13 B,392 B,(377 B),451 B
12M 2012,4.43,332.83,4.55,324.27,423 B,18 B,440 B,62 B,505 B
12M 2013,5.70,96.50,5.79,94.96,616 B,20 B,636 B,(99 B),"1,036 B"
12M 2014,8.07,105.33,8.19,103.79,624 B,131 B,756 B,302 B,"1,034 B"
12M 2015,7.23,116.14,7.33,114.60,459 B,141 B,599 B,21 B,"1,235 B"
12M 2016,4.71,131.52,4.77,129.98,344 B,266 B,609 B,(131 B),"1,022 B"
12M 2017,3.76,143.62,3.80,142.08,420 B,298 B,718 B,294 B,997 B
12M 2018,2.36,154.49,2.38,152.95,832 B,222 B,"1,054 B",951 B,577 B
12M 2019,3.07,163.09,3.10,161.55,823 B,184 B,"1,007 B",653 B,706 B
12M 2020,2.47,162.26,2.49,160.72,805 B,177 B,983 B,426 B,"1,018 B"
12M 2021,0.77,160.22,0.78,158.68,161 B,304 B,465 B,(98 B),"1,294 B"
12M 2022,0.69,173.13,0.69,171.59,182 B,172 B,354 B,(87 B),"1,157 B"
12M 2023,0.48,184.67,0.49,183.13,250 B,101 B,352 B,(120 B),"1,134 B"
12M 2024,0.43,192.09,0.43,190.54,162 B,59 B,221 B,(362 B),"1,162 B"
