Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pemegang Saham,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,1026930594.000000,3000000000.000000,77603599920.000000,1995695166.000000,75607904754.000000,77603599920.000000,,,,24906867402.000000,1322510338.000000,107859908254.000000,,67926604492.000000,39023600747.000000,39281888575.000000,8294017403.000000,154526111217.000000,262386019471.000000,,,9385313775.000000,,256559062.000000,7557379074.000000,7813938136.000000,1083924925.000000,148252001.000000,339198713.000000,,9385313775.000000,660805075590.000000,14783076300.000000,646021999290.000000,660805075590.000000,670190389365.000000,,75000000000.000000,4845774544.000000,-487650144438.000000,-407804369894.000000,262386019471.000000,150000000.000000
12M 2014,,,6827389188.000000,,87584299829.000000,8447601727.000000,79136698102.000000,87584299829.000000,,,,53348540284.000000,2283971373.000000,150044200674.000000,,62867431832.000000,39023600747.000000,42718884569.000000,8296883903.000000,152906801051.000000,302951001725.000000,,,59595673194.000000,,1486124844.000000,42017542399.000000,43503667243.000000,1806130195.000000,107765620.000000,615066954.000000,13563043182.000000,59595673194.000000,660791589046.000000,14783076300.000000,646008512746.000000,660791589046.000000,720387262240.000000,,75000000000.000000,4845774544.000000,-497282035059.000000,-417436260515.000000,302951001725.000000,150000000.000000
12M 2015,,,14536513948.000000,,76216472316.000000,3363921912.000000,72852550404.000000,76216472316.000000,,,,20260381020.000000,665066230.000000,111678433514.000000,,62932234611.000000,39023600747.000000,43304134814.000000,8342054903.000000,153602025075.000000,265280458589.000000,,,45808922184.000000,,4986001992.000000,23434737195.000000,28420739187.000000,16080999425.000000,159549547.000000,1147634025.000000,,45808922184.000000,660004454700.000000,14783076300.000000,645221378400.000000,660004454700.000000,705813376884.000000,,75000000000.000000,4845774544.000000,-520378692839.000000,-440532918295.000000,265280458589.000000,150000000.000000
12M 2016,,,9317571509.000000,,81001930127.000000,9519880919.000000,71482049208.000000,81001930127.000000,5911400.000000,,5911400.000000,20403235728.000000,6391549434.000000,117120198198.000000,,63260957500.000000,39023600747.000000,45206083161.000000,8570746403.000000,156061387811.000000,273181586009.000000,,,61304422851.000000,,12457691833.000000,22302764591.000000,34760456424.000000,22481048386.000000,2539822828.000000,1523095213.000000,,61304422851.000000,653630991711.000000,14783076300.000000,638847915411.000000,653630991711.000000,714935414562.000000,,75000000000.000000,6514524544.000000,-523268353097.000000,-441753828553.000000,273181586009.000000,150000000.000000
12M 2017,,,10365225614.000000,,70762856218.000000,307096480.000000,70455759738.000000,70762856218.000000,15000000.000000,,15000000.000000,14302051053.000000,4917635344.000000,100362768229.000000,,59797246970.000000,39023600747.000000,44776691643.000000,8334274403.000000,151931813763.000000,252294581992.000000,,,44364841180.000000,,1096870267.000000,22034437241.000000,23131307508.000000,10276035000.000000,17934103.000000,326237625.000000,10613326944.000000,44364841180.000000,653701436005.000000,14783076300.000000,638918359705.000000,653701436005.000000,698066277185.000000,,75000000000.000000,6514524544.000000,-527286219737.000000,-445771695193.000000,252294581992.000000,150000000.000000
12M 2018,,,10218895207.000000,,60861866370.000000,286106632.000000,60575759738.000000,60861866370.000000,,,,14204015698.000000,627017781.000000,85911795056.000000,,59797246970.000000,,29125696494.000000,15796267994.000000,104719211458.000000,190631006514.000000,,,31292282225.000000,,15105288.000000,21555549576.000000,21570654864.000000,6452480000.000000,37737217.000000,312769469.000000,2918640675.000000,31292282225.000000,653698566502.000000,14783076300.000000,638915490202.000000,653698566502.000000,684990848727.000000,,75000000000.000000,6514524544.000000,-575874366757.000000,-494359842213.000000,190631006514.000000,150000000.000000
12M 2019,,,12104691705.000000,,46995759130.000000,286106632.000000,46709652498.000000,46995759130.000000,,,,14163508468.000000,728304856.000000,73992264159.000000,,61861145293.000000,,28996413605.000000,15777998309.000000,106635557207.000000,180627821366.000000,,,30549419674.000000,,2118200.000000,20905549576.000000,20907667776.000000,6452480000.000000,27847036.000000,197896867.000000,2963527995.000000,30549419674.000000,645807372960.000000,6873076300.000000,638934296660.000000,645807372960.000000,676356792634.000000,,75000000000.000000,6514524544.000000,-577243495812.000000,-495728971268.000000,180627821366.000000,150000000.000000
12M 2020,,,8820607179.000000,,40363588130.000000,286106632.000000,40077481498.000000,40363588130.000000,,,,9588422227.000000,706397965.000000,59479015501.000000,,63692832579.000000,,30337826913.000000,15784424309.000000,109815083801.000000,169294099302.000000,,,20237355497.000000,,2118200.000000,10165226727.000000,10167344927.000000,6452480000.000000,33516026.000000,303577633.000000,3280436911.000000,20237355497.000000,645918298559.000000,6873076300.000000,639045222259.000000,645918298559.000000,666155654056.000000,,75000000000.000000,6514524544.000000,-578376079298.000000,-496861554754.000000,169294099302.000000,150000000.000000
12M 2021,,,13814336202.000000,,32477269621.000000,286106632.000000,32191162989.000000,32477269621.000000,5000000.000000,5000000.000000,5000000.000000,9093323213.000000,674128395.000000,56064057431.000000,,65715140747.000000,,30630724141.000000,15791590309.000000,112137455197.000000,168201512628.000000,,,19152542487.000000,,2118200.000000,9192498317.000000,9194616517.000000,6482777998.000000,39384842.000000,164774964.000000,3270988166.000000,19152542487.000000,645977686869.000000,6873076300.000000,639104610569.000000,645977686869.000000,665130229356.000000,,75000000000.000000,6514524544.000000,-578443241272.000000,-496928716728.000000,168201512628.000000,150000000.000000
12M 2022,,,10142003008.000000,,29330530107.000000,286106632.000000,29044423475.000000,29330530107.000000,5000000.000000,5000000.000000,5000000.000000,7841705276.000000,663371262.000000,47982609653.000000,,65146590989.000000,,30376092627.000000,15837642994.000000,111360326610.000000,159342936263.000000,,,13928481174.000000,,2118200.000000,3873494823.000000,3875613023.000000,6482777998.000000,36549526.000000,125537004.000000,3408003623.000000,13928481174.000000,639186520251.000000,,639186520251.000000,639186520251.000000,653115001425.000000,,75000000000.000000,6514524544.000000,-575286589706.000000,-493772065162.000000,159342936263.000000,150000000.000000
