Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.42,878.96,0.42,877.57,"1,096 B","1,867 B","2,963 B","2,535 B","1,573 B"
12M 2009,1.42,985.66,1.42,983.99,953 B,"1,526 B","2,479 B","1,955 B","2,170 B"
12M 2010,2.18,1441.90,2.19,1440.13,897 B,"1,360 B","2,258 B","1,496 B","2,748 B"
12M 2011,2.46,1556.18,2.51,1523.34,"2,585 B",919 B,"3,504 B","2,677 B","1,832 B"
12M 2012,3.02,2039.61,3.06,2006.77,"2,628 B","2,106 B","4,733 B","3,861 B","2,906 B"
12M 2013,2.74,445.77,2.78,439.20,"2,963 B","4,650 B","7,613 B","5,867 B","4,643 B"
12M 2014,2.08,456.29,2.11,449.71,"2,495 B","4,746 B","7,240 B","6,472 B","3,793 B"
12M 2015,1.21,526.42,1.22,519.84,"2,067 B","4,761 B","6,828 B","5,927 B","4,251 B"
12M 2016,1.88,775.03,1.89,768.88,"2,260 B","3,609 B","5,869 B","3,168 B","5,867 B"
12M 2017,1.61,807.08,1.63,798.54,798 B,"5,272 B","6,071 B","4,429 B","6,420 B"
12M 2018,2.48,866.26,2.52,854.29,"2,446 B","5,163 B","7,609 B","6,449 B","5,645 B"
12M 2019,1.60,956.88,1.63,939.74,"3,523 B","5,674 B","9,197 B","8,193 B","5,131 B"
12M 2020,1.61,910.57,1.64,894.96,"1,071 B","6,786 B","7,856 B","6,520 B","5,737 B"
12M 2021,1.65,1043.22,1.67,1026.92,"3,001 B","7,150 B","10,151 B","9,066 B","7,097 B"
12M 2022,1.19,1087.11,1.21,1070.72,"4,426 B","8,429 B","12,855 B","11,044 B","7,589 B"
12M 2023,1.05,1127.89,1.06,1112.49,"4,911 B","7,918 B","12,829 B","11,326 B","6,534 B"
12M 2024,1.47,1319.81,1.48,1308.14,"3,216 B","7,384 B","10,601 B","9,247 B","7,874 B"
