Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Kas Dari Jasa Giro Dan Bunga Deposito,"Pembayaran Kas Untuk Pemborong, Pemasok Dan Karyawan",Pembayaran Kas Untuk Pemborong Dan Pemasok,Pembayaran Kas Untuk Karyawan,"Total Pembayaran Kas Untuk Pemborong, Pemasok Dan Karyawan",Pembayaran Pajak Penghasilan,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Properti Investasi,Perolehan Aset Tetap,Total Perolehan Aset Tetap,Penjualan Aset Tetap & Properti Investasi,Penyertaan Saham Tersedia Untuk Dijual,Penambahan Investasi Srbi,Penambahan Investasi Saham,Penambahan Investasi Pada Entitas Asosiasi,Pembayaran Dividen Dan Pembagian Keuntungan,Penambahan Uang Muka Investasi Pada Entitas Asosiasi,Pengurangan Investasi Saham,Pelepasan Saham Di Entitas Asosiasi,Penerimaan Dividen,Perolehan Kembali Saham,Penyertaan (Pembatalan) Uang Muka Investasi,Penyertaan Investasi Pada Pengendalian Bersama Entitas,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pinjaman,Pembayaran Utang Bank Jangka Panjang,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Pembayaran Dividen,Pembayaran Liabilitas Sewa,Pembayaran Kepada Kepentingan Non Pengendali Di Entitas Anak,Pembayaran (Penerimaan) Kepada Pihak Berelasi - Bersih,Perolehan Pinjaman,Perolehan Kembali Modal Saham,Pembelian Saham Treasuri,Pembayaran Dividen Kepada Kepentingan Nonpengendali Di Entitas Anak,Pengembalian Setoran Modal Kepada Kepentingan Nonpengendali Di Entitas Anak,Piutang Lain-Lain,Penjualan Saham Treasuri,Penerimaan Setoran Modal Dan Uang Muka Dari Kepentingan Non Pengendali Di Entitas Anak,Penerimaan Setoran Modal Dari Kepentingan Non Pengendali Di Entitas Anak,Kepentingan Non Pengendali Di Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,45760685000.000000,764626162000.000000,,-650539615000.000000,,,-650539615000.000000,-54050901000.000000,-14274961000.000000,45760685000.000000,-59738196000.000000,,-1488508000.000000,-58249688000.000000,-59738196000.000000,,,,,,,,,,,,,,-59738196000.000000,32147372000.000000,-29089510000.000000,,,,-38493393000.000000,,,-206425000.000000,110574200000.000000,-10637500000.000000,,,,,,,,,32147372000.000000,18169861000.000000,51000.000000,54293599000.000000,72463511000.000000
12M 2009,377493848000.000000,1011361201000.000000,,-563570294000.000000,,,-563570294000.000000,-51717084000.000000,-18579975000.000000,377493848000.000000,-93424176000.000000,,-8955942000.000000,-84543234000.000000,-93499176000.000000,675000000.000000,,,,,,,,,,,-600000000.000000,,-93424176000.000000,-98472550000.000000,-51539350000.000000,,,,-45783676000.000000,,,-2236524000.000000,23310500000.000000,-29223500000.000000,,,,,,7000000000.000000,,,-98472550000.000000,185597122000.000000,-96000.000000,72463511000.000000,258060537000.000000
12M 2010,658108015000.000000,1385012261000.000000,,-678744947000.000000,,,-678744947000.000000,-41597571000.000000,-6561728000.000000,658108015000.000000,-23644863000.000000,,-14371120000.000000,-10254886000.000000,-24626006000.000000,124000000.000000,,,,,,,,,,,857143000.000000,,-23644863000.000000,-134469282000.000000,-97988480000.000000,,,,-63349873000.000000,,,15666171000.000000,1741400000.000000,-28888500000.000000,,,,,,38350000000.000000,,,-134469282000.000000,499993870000.000000,-10000.000000,258060538000.000000,758054398000.000000
12M 2011,311723404000.000000,1458777292000.000000,,-1087172917000.000000,,,-1087172917000.000000,-59699141000.000000,-181830000.000000,311723404000.000000,-102528975000.000000,,-13191387000.000000,-33404323000.000000,-46595710000.000000,141235000.000000,,,,,,,,,,,-56074500000.000000,,-102528975000.000000,-99961488000.000000,-33346710000.000000,,,,-87112886000.000000,,,4134108000.000000,,,,,,,,,,16364000000.000000,-99961488000.000000,109232941000.000000,9000.000000,758054399000.000000,867287349000.000000
12M 2012,283290266000.000000,1677024313000.000000,,-1320255893000.000000,,,-1320255893000.000000,-70670989000.000000,-2807165000.000000,283290266000.000000,-213374253000.000000,,-51952130000.000000,-77585717000.000000,-129537847000.000000,304275000.000000,-84140681000.000000,,,,,,,,,,,,-213374253000.000000,-62868908000.000000,-928970000.000000,,,,-113504005000.000000,,,43164067000.000000,,,,,,,,8400000000.000000,,,-62868908000.000000,7047105000.000000,47000.000000,867287349000.000000,874334501000.000000
12M 2013,352184686000.000000,2046420529000.000000,40329868000.000000,-1521266521000.000000,,,-1521266521000.000000,-213299190000.000000,,352184686000.000000,-487077918000.000000,,-401997774000.000000,-7211476000.000000,-409209250000.000000,,,,,,,,,,,,,-77868668000.000000,-487077918000.000000,-151614461000.000000,,,,,-139920000000.000000,,,-26466761000.000000,,-6627700000.000000,,,,,,21400000000.000000,,,-151614461000.000000,-286507693000.000000,176243000.000000,874334501000.000000,588003051000.000000
12M 2014,113990308000.000000,1827905228000.000000,32695832000.000000,-1637014370000.000000,,,-1637014370000.000000,-109596382000.000000,,113990308000.000000,-335512161000.000000,,-114385013000.000000,-12675189000.000000,-127060202000.000000,,,,-232977100000.000000,,,,24525141000.000000,,,,,,-335512161000.000000,-163204091000.000000,,,,,-177748218000.000000,,,-6956820000.000000,,-18499053000.000000,,,,,,40000000000.000000,,,-163204091000.000000,-384725944000.000000,94162000.000000,588003052000.000000,203371270000.000000
12M 2015,101804634000.000000,1953850547000.000000,27056511000.000000,-1749031188000.000000,,,-1749031188000.000000,-129310175000.000000,-761061000.000000,101804634000.000000,-169740479000.000000,,-71469328000.000000,-50845374000.000000,-122314702000.000000,74223000.000000,,,-47500000000.000000,,,,,,,,,,-169740479000.000000,85194914000.000000,,,,,-235361067000.000000,,,-4012135000.000000,27888199000.000000,,,,,,287157917000.000000,9522000000.000000,,,85194914000.000000,17259069000.000000,374019000.000000,203371270000.000000,221004358000.000000
12M 2016,474994595000.000000,2384125344000.000000,18586236000.000000,-1802414858000.000000,,,-1802414858000.000000,-120903819000.000000,-4398308000.000000,474994595000.000000,-165067909000.000000,,-50871644000.000000,-12215820000.000000,-63087464000.000000,,,,-103495870000.000000,,,,,750000000.000000,765425000.000000,,,,-165067909000.000000,-188191200000.000000,-1097715000.000000,,,,-282853280000.000000,,,8511376000.000000,56044419000.000000,,,,,,16700000000.000000,14504000000.000000,,,-188191200000.000000,121735486000.000000,-35381000.000000,221004359000.000000,342704464000.000000
12M 2017,587559175000.000000,2650158333000.000000,20250741000.000000,-1968486498000.000000,,,-1968486498000.000000,-103980575000.000000,-10382826000.000000,587559175000.000000,-180674925000.000000,,-45090550000.000000,-43484922000.000000,-88575472000.000000,,,,-18515000.000000,-93706522000.000000,,,,,1625584000.000000,,,,-180674925000.000000,-25433111000.000000,-2667587000.000000,,,,-323260891000.000000,,,-28842995000.000000,50000000000.000000,,,,,,239238362000.000000,40100000000.000000,,,-25433111000.000000,381451139000.000000,1360000.000000,342704464000.000000,724156963000.000000
