Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Investasi Jangka Pendek,Persediaan,Aset Real Estat,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Real Estat,Aset Tetap,Properti Investasi,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Derivatif,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,348879373777.000000,88989385080.000000,,,88989385080.000000,11005777403.000000,,12921802424.000000,,52381723542.000000,514178062226.000000,,4600000000.000000,20769326680.000000,2946965304.000000,538549190000.000000,1487489782127.000000,,5901887081.000000,113974638327.000000,2174231789519.000000,2688409851745.000000,,,573356622597.000000,,41902685299.000000,45361572423.000000,38570868293.000000,118759427342.000000,,240621375701.000000,88140693539.000000,328762069240.000000,,573356622597.000000,856397556408.000000,18940457000.000000,22458874941.000000,,,730996060745.000000,25919160752.000000,756915221497.000000,58083002970.000000,856397556408.000000,1429754179005.000000,,1159368000000.000000,14316365733.000000,134716406776.000000,600000000.000000,134116406776.000000,134716406776.000000,280618489072.000000,-330363588841.000000,1258655672740.000000,2688409851745.000000,2318736000.000000
12M 2009,,,389088419459.000000,102546627714.000000,,,102546627714.000000,10477883956.000000,,13301853816.000000,,72924662354.000000,588339447299.000000,,1954413400.000000,8720920074.000000,3366090289.000000,478767660161.000000,1408923710875.000000,,1107986824.000000,107030262469.000000,2009871044092.000000,2598210491391.000000,,,693266657654.000000,46060000000.000000,30486686185.000000,29780043006.000000,46328172544.000000,82650213329.000000,,343027638271.000000,114933904319.000000,457961542590.000000,,693266657654.000000,519975446252.000000,17860107000.000000,19112939402.000000,,,398869263469.000000,24276647111.000000,423145910580.000000,59856489270.000000,519975446252.000000,1213242103906.000000,,1159368000000.000000,14316365733.000000,214023540084.000000,600000000.000000,213423540084.000000,214023540084.000000,327624070509.000000,-330363588841.000000,1384968387485.000000,2598210491391.000000,2318736000.000000
12M 2010,,,402396599863.000000,129856221768.000000,,,129856221768.000000,9108822030.000000,,14798596741.000000,,63679126066.000000,619839366468.000000,,,974672072.000000,2910873840.000000,438534081009.000000,1320106254868.000000,,615548235.000000,97152074028.000000,1860293504052.000000,2480132870520.000000,,,633253141514.000000,70129800000.000000,24352704931.000000,50431698231.000000,22900965562.000000,57324430430.000000,,307576622364.000000,100536919996.000000,408113542360.000000,,633253141514.000000,394564462259.000000,17575034000.000000,15161233892.000000,,,272758669933.000000,27642048362.000000,300400718295.000000,61427476072.000000,394564462259.000000,1027817603773.000000,,1159368000000.000000,14316365733.000000,311648034748.000000,1600000000.000000,310048034748.000000,311648034748.000000,326777442900.000000,-359794576634.000000,1452315266747.000000,2480132870520.000000,2318736000.000000
12M 2011,,,753987679286.000000,196928811609.000000,,,196928811609.000000,5319765722.000000,,16197334816.000000,,67042212285.000000,1039475803718.000000,,,4521529372.000000,3889994360.000000,534648365525.000000,1273301998772.000000,,,17654186398.000000,1834016074427.000000,2873491878145.000000,,,671603347276.000000,70730400000.000000,31017839404.000000,237283297052.000000,27744219009.000000,79434922112.000000,,75026445181.000000,150366224518.000000,225392669699.000000,,671603347276.000000,584149688738.000000,17628703000.000000,8114218584.000000,,,464332455724.000000,30307010268.000000,494639465992.000000,63767301162.000000,584149688738.000000,1255753036014.000000,,1159368000000.000000,14316365733.000000,434814200905.000000,2600000000.000000,432214200905.000000,434814200905.000000,369034852127.000000,-359794576634.000000,1617738842131.000000,2873491878145.000000,2318736000.000000
12M 2012,,,904292886069.000000,178014021398.000000,,,178014021398.000000,19407586012.000000,,14489353216.000000,227561544795.000000,58119613095.000000,1401885004585.000000,,,14614643334.000000,3517855695.000000,457721962515.000000,638897559622.000000,644485132538.000000,,147823120469.000000,1907060274173.000000,3308945278758.000000,,,841430356378.000000,47383000000.000000,45961290891.000000,229188097839.000000,40244923999.000000,84592125493.000000,,73880918275.000000,320179999881.000000,394060918156.000000,,841430356378.000000,658588389547.000000,15071429758.000000,6708515193.000000,,,536930367683.000000,28591300467.000000,565521668150.000000,71286776446.000000,658588389547.000000,1500018745925.000000,,1159368000000.000000,14316365733.000000,585943297086.000000,3600000000.000000,582343297086.000000,585943297086.000000,405020758064.000000,-355721888050.000000,1808926532833.000000,3308945278758.000000,2318736000.000000
12M 2013,,,1063037430101.000000,144669272392.000000,,,144669272392.000000,12959300666.000000,,10971573144.000000,210327575188.000000,65945656217.000000,1507910807708.000000,,,7683984704.000000,4487479793.000000,380908174309.000000,675706649491.000000,649710271438.000000,,202295117646.000000,1920791677381.000000,3428702485089.000000,,,1013226611944.000000,59726100000.000000,37077392075.000000,64545464835.000000,36536078403.000000,89291689602.000000,,385903962938.000000,340145924091.000000,726049887029.000000,,1013226611944.000000,379479975097.000000,14641257758.000000,7314260819.000000,,,242919127275.000000,36651658407.000000,279570785682.000000,77953670838.000000,379479975097.000000,1392706587041.000000,,1159368000000.000000,-361197102827.000000,721499401657.000000,4600000000.000000,716899401657.000000,721499401657.000000,496534018708.000000,19791580510.000000,2035995898048.000000,3428702485089.000000,2318736000.000000
12M 2014,,,1100341952590.000000,117325936147.000000,,,117325936147.000000,11043497124.000000,,10449686561.000000,188610649768.000000,47112062258.000000,1474883784448.000000,,,7952774492.000000,4118457771.000000,409699435866.000000,761344624264.000000,655354128113.000000,,262433459009.000000,2100902879515.000000,3575786663963.000000,,,619567084467.000000,60956000000.000000,24091407200.000000,84820765480.000000,28987106213.000000,80315065634.000000,,109130182184.000000,231266557756.000000,340396739940.000000,,619567084467.000000,648470390880.000000,14798132758.000000,9142437642.000000,,,496572705285.000000,43261628637.000000,539834333922.000000,84695486558.000000,648470390880.000000,1268037475347.000000,,1159368000000.000000,-361197102827.000000,944873523991.000000,5600000000.000000,939273523991.000000,944873523991.000000,544913186942.000000,19791580510.000000,2307749188616.000000,3575786663963.000000,2318736000.000000
12M 2015,,,1010737206000.000000,104399193000.000000,,,104399193000.000000,32529912000.000000,,11535547000.000000,298294415000.000000,59468928000.000000,1516965201000.000000,,,8211017000.000000,3296362000.000000,464993129000.000000,804382042000.000000,655769293000.000000,,217885427000.000000,2154537270000.000000,3671502471000.000000,,,538809140000.000000,67595500000.000000,36911640000.000000,73286468000.000000,31937688000.000000,60888557000.000000,,66340929000.000000,178977366000.000000,245318295000.000000,22870992000.000000,538809140000.000000,662305316000.000000,15645008000.000000,9988103000.000000,,,510870241000.000000,41338982000.000000,552209223000.000000,84462982000.000000,662305316000.000000,1201114456000.000000,,1159368000000.000000,-361197103000.000000,1085437382000.000000,6600000000.000000,1078837382000.000000,1085437382000.000000,566988155000.000000,19791581000.000000,2470388015000.000000,3671502471000.000000,2318736000.000000
12M 2016,,,804295293000.000000,93785062000.000000,,,93785062000.000000,28285158000.000000,,10527852000.000000,330403018000.000000,58642771000.000000,1325939154000.000000,,,12079969000.000000,3081499000.000000,523207216000.000000,912189968000.000000,729440047000.000000,,384300053000.000000,2564298752000.000000,3890237906000.000000,,,610154379000.000000,65836400000.000000,41372533000.000000,69431576000.000000,25984299000.000000,69291001000.000000,,49193490000.000000,268968725000.000000,318162215000.000000,20076355000.000000,610154379000.000000,629003122000.000000,13741133000.000000,11419746000.000000,,,461049625000.000000,49324415000.000000,510374040000.000000,93468203000.000000,629003122000.000000,1239157501000.000000,,1159368000000.000000,-361197103000.000000,1168738808000.000000,7600000000.000000,1161138808000.000000,1168738808000.000000,664379119000.000000,19791581000.000000,2651080405000.000000,3890237906000.000000,2318736000.000000
12M 2017,,,599916500000.000000,76743064000.000000,,,76743064000.000000,7064632000.000000,,10058075000.000000,339184138000.000000,47766342000.000000,1080732751000.000000,,,10682992000.000000,2910848000.000000,781412599000.000000,1198217162000.000000,749365972000.000000,,296766588000.000000,3039356161000.000000,4120088912000.000000,,,640235286000.000000,66385200000.000000,38752081000.000000,72540068000.000000,23400675000.000000,63932418000.000000,,65846113000.000000,283656862000.000000,349502975000.000000,25721869000.000000,640235286000.000000,694773173000.000000,9738152000.000000,11625647000.000000,,,514360691000.000000,50434465000.000000,564795156000.000000,108614218000.000000,694773173000.000000,1335008459000.000000,,1159368000000.000000,-361197103000.000000,1254117808000.000000,8600000000.000000,1245517808000.000000,1254117808000.000000,704333386000.000000,28458362000.000000,2785080453000.000000,4120088912000.000000,2318736000.000000
