Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.66,421.80,1.67,419.25,241 B,750 B,991 B,642 B,(59 B)
12M 2009,1.54,456.00,1.54,455.52,389 B,417 B,806 B,417 B,(105 B)
12M 2010,1.44,485.41,1.44,485.14,378 B,290 B,668 B,266 B,(13 B)
12M 2011,1.30,538.53,1.30,538.53,146 B,482 B,628 B,(126 B),368 B
12M 2012,1.24,605.46,1.24,605.46,121 B,552 B,673 B,(231 B),560 B
12M 2013,1.13,663.92,1.13,663.92,446 B,258 B,703 B,(360 B),495 B
12M 2014,0.99,760.26,0.99,760.26,170 B,511 B,681 B,(419 B),855 B
12M 2015,1.14,820.88,1.14,820.88,134 B,527 B,660 B,(350 B),978 B
12M 2016,2.99,856.80,2.99,856.80,115 B,475 B,475 B,(214 B),716 B
12M 2017,2.79,897.36,2.79,897.36,132 B,524 B,656 B,56 B,440 B
12M 2018,0.96,1011.63,0.96,1011.63,110 B,958 B,"1,068 B",324 B,698 B
12M 2019,0.99,1034.57,0.99,1034.57,169 B,"1,295 B","1,464 B",752 B,620 B
12M 2020,0.89,955.87,0.89,955.87,114 B,"1,508 B","1,622 B","1,063 B",537 B
12M 2021,0.87,871.94,0.87,871.94,160 B,"1,730 B","1,890 B","1,246 B",500 B
12M 2022,0.97,863.12,0.97,863.12,222 B,"2,099 B","2,320 B","1,229 B",880 B
12M 2023,1.56,832.51,1.56,832.51,306 B,"2,269 B","2,575 B","1,278 B",917 B
12M 2024,10.36,938.61,10.36,938.61,376 B,,"2,430 B",752 B,"1,094 B"
