Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,9.05,,26.29,,0.62,,0.34,-15.61,-15.61,0.9
12M 2009,36.48,14.77,40.76,10.49,10.0,9.28,24.72,23.81,0.66,0.68,0.36,0.37,-9.13,-9.13,0.85
12M 2010,40.89,15.1,29.47,26.52,8.93,8.34,24.17,24.22,0.76,0.78,0.41,0.41,-77.33,-77.33,0.98
12M 2011,55.57,17.52,31.3,41.79,6.57,5.97,20.83,13.48,0.83,0.84,0.4,0.4,2.92,2.92,1.55
12M 2012,56.71,13.29,33.34,36.66,6.44,6.84,27.47,29.06,1.26,1.26,0.39,0.37,2.15,2.15,1.67
12M 2013,46.45,10.36,33.77,23.04,7.86,7.72,35.25,36.81,1.93,1.91,0.38,0.37,2.56,2.56,1.49
12M 2014,35.82,8.27,23.62,20.47,10.19,11.06,44.12,49.91,1.86,1.74,0.38,0.38,1.56,1.56,2.38
12M 2015,35.61,11.41,31.66,15.36,10.25,10.42,31.99,31.18,1.45,1.44,0.31,0.31,1.16,1.16,2.82
12M 2016,33.53,12.34,43.79,2.08,10.88,10.46,29.58,31.42,1.26,1.22,0.29,0.28,1.51,1.51,2.17
12M 2017,27.73,10.9,42.44,-3.81,13.16,12.67,33.47,32.7,1.06,0.97,0.28,0.27,2.55,2.55,1.69
12M 2018,23.1,10.8,31.35,2.55,15.8,14.42,33.79,30.48,1.05,0.93,0.33,0.31,2.2,2.2,2.01
12M 2019,32.01,10.21,28.92,13.3,11.4,11.22,35.75,39.52,0.68,0.66,0.24,0.24,2.09,2.09,1.75
12M 2020,57.09,13.13,45.59,24.63,6.39,6.8,27.8,31.8,0.29,0.29,0.1,0.1,1.1,1.1,1.78
12M 2021,45.53,11.48,61.96,-4.95,8.02,7.35,31.8,35.78,0.27,0.28,0.1,0.1,1.11,1.11,1.67
12M 2022,20.77,6.12,44.96,-18.07,17.57,15.74,59.67,60.16,0.73,0.76,0.23,0.23,1.57,1.57,2.12
12M 2023,19.7,5.88,35.69,-10.11,18.52,18.1,62.03,62.24,1.0,1.01,0.29,0.28,1.94,1.94,2.01
12M 2024,13.81,4.98,27.44,-8.65,26.43,23.47,73.31,71.9,1.41,1.44,0.38,0.38,2.2,2.2,2.05
