Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Adjustment,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Penyesuaian Proforma,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,2704728409703.000000,-1982480481232.000000,722247928471.000000,-615211359844.000000,,-356493167663.000000,-258718192181.000000,-615211359844.000000,,-615211359844.000000,107036568627.000000,-10930712485.000000,-16873686055.000000,3606045570.000000,-6392537419.000000,,8729465419.000000,-10930712485.000000,96105856142.000000,-40712081273.000000,-42443959200.000000,1731877927.000000,-40712081273.000000,55393774869.000000,,55393774869.000000,,,,,,,55393774869.000000,55393774869.000000,,55393774869.000000,,,,
12M 2009,2854057690479.000000,-2065807554976.000000,788250135503.000000,-676316689846.000000,,-393843105410.000000,-282473584436.000000,-676316689846.000000,,-676316689846.000000,111933445657.000000,-12203625073.000000,-25486369011.000000,1645214236.000000,-623533022.000000,,12261062724.000000,-12203625073.000000,99729820584.000000,-37222944074.000000,-39028136040.000000,1805191966.000000,-37222944074.000000,62506876510.000000,,62506876510.000000,,,,,,,62506876510.000000,62506876510.000000,,62506876510.000000,,,,
12M 2010,3183829303909.000000,-2279309994224.000000,904519309685.000000,-758320867680.000000,,-437081153961.000000,-321239713719.000000,-758320867680.000000,,-758320867680.000000,146198442005.000000,32412796347.000000,-14336646263.000000,2254673193.000000,1422245498.000000,,43072523919.000000,32412796347.000000,178611238352.000000,-39894779486.000000,-43723367500.000000,3828588014.000000,-39894779486.000000,138716458866.000000,-414766.000000,138716044100.000000,,,,,,,138716044100.000000,138716458866.000000,-414766.000000,138716044100.000000,,,,
12M 2011,3481166441259.000000,-2443150487283.000000,1038015953976.000000,-816012105272.000000,,-487973080460.000000,-328039024812.000000,-816012105272.000000,,-816012105272.000000,222003848704.000000,10003210989.000000,-12059178398.000000,2356216695.000000,417625023.000000,,19288547669.000000,10003210989.000000,232007059693.000000,-60243883939.000000,-63839991219.000000,3596107280.000000,-60243883939.000000,171763175754.000000,,171763175754.000000,,,,,171763175754.000000,,171763175754.000000,171765487458.000000,-2311704.000000,171763175754.000000,171763175754.000000,171765487458.000000,-2311704.000000,171763175754.000000
12M 2012,3734241101309.000000,-2559074130367.000000,1175166970942.000000,-888464003288.000000,-912599414375.000000,,,-912599414375.000000,24135411087.000000,-888464003288.000000,286702967654.000000,-8418515599.000000,-6872403387.000000,,,,-1546112212.000000,-8418515599.000000,278284452055.000000,-72520454677.000000,,,-72520454677.000000,205763997378.000000,,205763997378.000000,,,,,205763997378.000000,,205763997378.000000,205133316635.000000,630680743.000000,205763997378.000000,205763997378.000000,205133316635.000000,630680743.000000,205763997378.000000
12M 2013,4348073988385.000000,-3055921946994.000000,1292152041391.000000,-998937168490.000000,-1042618886755.000000,,,-1042618886755.000000,43681718265.000000,-998937168490.000000,293214872901.000000,-9089440602.000000,-9639641584.000000,,811575630.000000,-261374648.000000,,-9089440602.000000,284125432299.000000,-68483102322.000000,,,-68483102322.000000,215642329977.000000,,215642329977.000000,,,,,215642329977.000000,,215642329977.000000,214549154260.000000,1093175717.000000,215642329977.000000,215642329977.000000,214549154260.000000,1093175717.000000,215642329977.000000
12M 2014,4521024379759.000000,-3135542319600.000000,1385482060159.000000,-1052239389692.000000,-1099831412528.000000,,,-1099831412528.000000,47592022836.000000,-1052239389692.000000,333242670467.000000,-17631610833.000000,-26869685416.000000,,9238074583.000000,,,-17631610833.000000,315611059634.000000,-79079988771.000000,,,-79079988771.000000,236531070863.000000,,236531070863.000000,,,,,236531070863.000000,,236531070864.000000,234625679206.000000,1905391658.000000,236531070864.000000,236531070864.000000,234625679206.000000,1905391658.000000,236531070864.000000
12M 2015,4860371483524.000000,-3323619297215.000000,1536752186309.000000,-1162524616422.000000,-1227054498635.000000,,,-1227054498635.000000,64529882213.000000,-1162524616422.000000,374227569887.000000,-36092508698.000000,-36142085430.000000,,101697663.000000,-52120931.000000,,-36092508698.000000,338135061189.000000,-85162555115.000000,,,-85162555115.000000,252972506074.000000,,252972506074.000000,-65029407272.000000,,-65029407272.000000,-65029407272.000000,187943098802.000000,,252972506074.000000,248849016194.000000,4123489880.000000,252972506074.000000,187943098802.000000,183819608922.000000,4123489880.000000,187943098802.000000
12M 2016,5811502656431.000000,-3947606932563.000000,1863895723868.000000,-1417154462378.000000,-1479784404405.000000,,,-1479784404405.000000,62629942027.000000,-1417154462378.000000,446741261490.000000,-63715336821.000000,-59798179173.000000,,-3917157648.000000,,,-63715336821.000000,383025924669.000000,-111427977007.000000,,,-111427977007.000000,271597947662.000000,,271597947662.000000,-24704804416.000000,,-24704804416.000000,-24704804416.000000,246893143246.000000,,271597947663.000000,267414092891.000000,4183854772.000000,271597947663.000000,246893143247.000000,242709288475.000000,4183854772.000000,246893143247.000000
12M 2017,6127479369403.000000,-3925599724290.000000,2201879645113.000000,-1666179979886.000000,-1791957725462.000000,,,-1791957725462.000000,125777745576.000000,-1666179979886.000000,535699665227.000000,-85989902805.000000,-85951608979.000000,,-38293826.000000,,,-85989902805.000000,449709762422.000000,-118001844961.000000,,,-118001844961.000000,331707917461.000000,,331707917461.000000,-7841224780.000000,,-7841224780.000000,-7841224780.000000,323866692681.000000,,331707917461.000000,326786249091.000000,4921668370.000000,331707917461.000000,323866692681.000000,318945024311.000000,4921668370.000000,323866692681.000000
