Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Goodwill,Aset Pajak Tangguhan,Piutang Pihak Berelasi,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pihak Berelasi,Beban Akrual,Utang Pajak,Piutang Retensi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1672879870.000000,,12220957375.000000,,12220957375.000000,34973110909.000000,,,34973110909.000000,18449261978.000000,2364784303.000000,69680994435.000000,,22487899181.000000,,,7943018760.000000,,52321961631.000000,82752879572.000000,152433874007.000000,,,231767463140.000000,108072653100.000000,13691348862.000000,,,13691348862.000000,16535528581.000000,,,16535528581.000000,,2632748042.000000,708597006.000000,,,89899679581.000000,35466000.000000,,89935145581.000000,191441968.000000,231767463140.000000,2300448416.000000,,,1540984598.000000,,,88470048.000000,,88470048.000000,670993770.000000,2300448416.000000,234067911556.000000,,293576350000.000000,5500000000.000000,144665507.000000,-380855053056.000000,-81634037549.000000,152433874007.000000,587152700.000000
12M 2009,,,999243000.000000,,11752248634.000000,,11752248634.000000,10104248042.000000,,,10104248042.000000,9775701415.000000,1318198701.000000,33949639792.000000,,10076675245.000000,,,30000000.000000,10499411442.000000,47377657851.000000,67983744538.000000,101933384330.000000,,,188441437472.000000,87040499744.000000,11768025766.000000,,,11768025766.000000,,,,,,4547804523.000000,165070003.000000,,,83293300830.000000,24968000.000000,,83318268830.000000,1601768606.000000,188441437472.000000,2191290114.000000,,,1379668001.000000,,,,,,811622113.000000,2191290114.000000,190632727586.000000,,293576350000.000000,5500000000.000000,28559912.000000,-387804253168.000000,-88699343256.000000,101933384330.000000,587152700.000000
12M 2010,,,796345253.000000,,78560311.000000,,78560311.000000,17826290.000000,,,17826290.000000,6110765785.000000,293692860.000000,7297190499.000000,,9111857738.000000,,,,9861048567.000000,47377657851.000000,66350564156.000000,73647754655.000000,,,159066565395.000000,149096563379.000000,6902893595.000000,,,6902893595.000000,,,,,,2942342919.000000,74765502.000000,,,,,,,50000000.000000,159066565395.000000,13380985216.000000,,11327232459.000000,1314918325.000000,,,,,,738834432.000000,13380985216.000000,172447550611.000000,,293576350000.000000,5500000000.000000,28559912.000000,-397904705868.000000,-98799795956.000000,73647754655.000000,587152700.000000
12M 2011,,,1203600550.000000,,,,,,,,,,42080839.000000,1245681389.000000,,2433536799.000000,,,,9228424193.000000,265737139.000000,11927698131.000000,13173379520.000000,,,2579929816.000000,,1496051066.000000,,,1496051066.000000,,,,,,788124315.000000,245754435.000000,,,,,,,50000000.000000,2579929816.000000,63619218214.000000,60363016084.000000,2258558044.000000,536380352.000000,,,,,,461263734.000000,63619218214.000000,66199148030.000000,,293576350000.000000,5500000000.000000,22989603.000000,-352125108113.000000,-53025768510.000000,13173379520.000000,587152700.000000
12M 2012,,,858078.000000,7014.000000,2715575.000000,2715575.000000,2715575.000000,108507.000000,86508.000000,21999.000000,108507.000000,97.000000,2582420.000000,6271691.000000,,22746136.000000,27522881.000000,238677.000000,,,5249.000000,50512943.000000,56784634.000000,,,57936034.000000,,,336626.000000,,336626.000000,,31083.000000,56122273.000000,56153356.000000,,294262.000000,1150785.000000,,,,,,,1005.000000,57936034.000000,147627.000000,,,,,,,,,147627.000000,147627.000000,58083661.000000,,32299115.000000,605107.000000,2507.000000,-34205756.000000,-1299027.000000,56784634.000000,587152700.000000
12M 2013,,,327744.000000,6578.000000,549141.000000,549141.000000,549141.000000,8376.000000,8376.000000,,8376.000000,20634.000000,756667.000000,1669140.000000,,24411648.000000,27919344.000000,351408.000000,,,583347.000000,53265747.000000,54934887.000000,,,61603214.000000,,,617261.000000,,617261.000000,,41665.000000,60910824.000000,60952489.000000,,8653.000000,24811.000000,,,,,,,,61603214.000000,208361.000000,,,11231.000000,,,,,,197130.000000,208361.000000,61811575.000000,,32299115.000000,605107.000000,2129.000000,-39783039.000000,-6876688.000000,54934887.000000,587152700.000000
12M 2014,,,1522917.000000,6110.000000,1024966.000000,1024966.000000,1024966.000000,1079825.000000,1079825.000000,,1079825.000000,93580.000000,534775.000000,4262173.000000,,21206938.000000,27919344.000000,81278.000000,,,192078.000000,49399638.000000,53661811.000000,,,63267204.000000,,,356751.000000,,356751.000000,,,62638590.000000,62638590.000000,,267208.000000,4655.000000,,,,,,,,63267204.000000,241709.000000,,,,,,,,,241709.000000,241709.000000,63508913.000000,,32299115.000000,605107.000000,1874.000000,-42753198.000000,-9847102.000000,53661811.000000,587152700.000000
12M 2015,,,361743.000000,6110.000000,1608735.000000,1608735.000000,1608735.000000,31.000000,31.000000,,31.000000,143545.000000,150691.000000,2270855.000000,,20081333.000000,,,,,446610.000000,20527943.000000,22798798.000000,,,61593976.000000,,,290017.000000,,290017.000000,,,60822755.000000,60822755.000000,,480347.000000,857.000000,,,,,,,,61593976.000000,215175.000000,,,,,,,,,215175.000000,215175.000000,61809151.000000,,32299115.000000,605107.000000,1790.000000,-71916365.000000,-39010353.000000,22798798.000000,587152700.000000
12M 2016,,,886814.000000,,3253963.000000,3253963.000000,3253963.000000,343.000000,343.000000,,343.000000,208278.000000,77663.000000,4427061.000000,,19832427.000000,,,,,331967.000000,20164394.000000,24591455.000000,,,61002085.000000,,,165528.000000,,165528.000000,,,59037282.000000,59037282.000000,,1693976.000000,105299.000000,,,,,,,,61002085.000000,266995.000000,,,,,,,,,266995.000000,266995.000000,61269080.000000,,32299115.000000,605107.000000,2060.000000,-69583907.000000,-36677625.000000,24591455.000000,587152700.000000
12M 2017,,,2107064.000000,,3574621.000000,3574621.000000,3574621.000000,305.000000,305.000000,,305.000000,229243.000000,87436.000000,5998669.000000,,18180415.000000,,,,,1243149.000000,19423564.000000,25422233.000000,,,59541767.000000,,,128195.000000,,128195.000000,,,57624891.000000,57624891.000000,,1009689.000000,101626.000000,,,,,,,677366.000000,59541767.000000,20683.000000,,,,,,,,,20683.000000,20683.000000,59562450.000000,,32299115.000000,605107.000000,2360.000000,-67046799.000000,-34140217.000000,25422233.000000,587152700.000000
