Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,0.3,0.22,-2.42,-1.86,-0.0,0.0,-2.4,1.3,-2.86
12M 2009,0.18,0.13,-1.92,-1.15,-0.0,0.0,-1.91,1.67,-2.15
12M 2010,0.05,0.01,-1.62,-0.75,-0.0,0.0,-1.62,2.18,-1.74
12M 2011,0.48,0.48,-1.18,-0.25,-0.0,0.0,-1.16,4.75,-1.25
12M 2012,0.11,0.11,-0.0,-43.63,-0.0,0.0,0.66,0.0,-44.63
12M 2013,0.03,0.03,-0.0,-7.99,-0.0,0.0,0.05,0.0,-8.99
12M 2014,0.07,0.07,-0.0,-5.45,-0.0,0.0,0.15,0.0,-6.45
12M 2015,0.04,0.03,-0.0,-0.58,-0.0,0.0,0.01,0.0,-1.58
12M 2016,0.07,0.07,-0.0,-0.67,-0.0,0.0,0.02,0.0,-1.67
12M 2017,0.1,0.1,-0.0,-0.74,-0.0,0.0,0.06,0.0,-1.74
12M 2018,0.11,0.1,-0.0,-0.75,-0.0,0.0,0.03,0.0,-1.75
12M 2019,0.06,0.06,-0.0,-0.62,-0.0,0.0,0.06,0.0,-1.62
12M 2020,0.09,0.08,-0.0,-0.61,-0.0,0.0,0.08,0.0,-1.61
12M 2021,0.08,0.07,-0.0,-0.52,-0.0,0.0,0.07,0.0,-1.52
12M 2022,0.06,0.06,-0.0,-0.44,-0.0,0.0,0.02,0.0,-1.44
12M 2023,0.05,0.04,-0.0,-0.38,-0.0,0.0,0.01,0.0,-1.38
12M 2024,0.08,0.07,-0.0,-0.39,-0.0,0.0,0.04,0.0,-1.39
