Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Kas Dari Sewa,"Pembayaran Kas Kepada Pemasok, Karyawan Dan Lainnya",Penerimaan Pendapatan Keuangan,Pembayaran Biaya Keuangan,"Penerimaan Kembali (Pembayaran) Pajak Penghasilan, Bersih",Operasi Lainnya,Sewa,Pengembalian Tagihan Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap Yang Tidak Digunakan,Hasil Penjualan Aset Tetap,Rugi Penjualan Aset Tetap,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Kas Dari Penarikan Investasi Jangka Pendek,Penempatan Pada Investasi Jangka Pendek,Pembayaran Untuk Akuisisi Entitas Anak,Goodwill Pada Pengambilalihan Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Jangka Panjang,Pembayaran Utang Bank Dan Pinjaman Jangka Panjang,Pembayaran Dividen,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Penerimaan Piutang Pihak Berelasi,Pembayaran Utang Sewa Pembiayaan,Pembayaran Liabilitas Sewa,Penambahan (Pengurangan) Hutang Dan Cerukan,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Penurunan Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,-40115296434.000000,312990301571.000000,,-275767724660.000000,15266450.000000,-17654410079.000000,-789973265.000000,-58908756451.000000,,,-40115296434.000000,7795176651.000000,,10730371183.000000,,-2935194532.000000,,,,,,7795176651.000000,30962703522.000000,,10927536630.000000,,,,20156696220.000000,-121529328.000000,,,30962703522.000000,,-1357416261.000000,,3030296131.000000,,1672879870.000000
12M 2009,-8783427822.000000,64448475164.000000,,-66145077515.000000,7610216.000000,-15366149983.000000,-644020397.000000,8915734693.000000,,,-8783427822.000000,14647082004.000000,,14712173116.000000,,-65091112.000000,,,,,,14647082004.000000,-6537291052.000000,,-14351341764.000000,,,,7913018760.000000,-98968048.000000,,,-6537291052.000000,,-673636870.000000,,1672879870.000000,,999243000.000000
12M 2010,9614574989.000000,49341666196.000000,,-42341241899.000000,11432739.000000,-6456290661.000000,585373222.000000,6014369642.000000,2459265750.000000,,9614574989.000000,87500000.000000,,87500000.000000,,,,,,,,87500000.000000,-9904972736.000000,,-21237237195.000000,,11327232459.000000,,30000000.000000,-24968000.000000,,,-9904972736.000000,,-202897747.000000,,999243000.000000,,796345253.000000
12M 2011,-18556099513.000000,25182135351.000000,2369488500.000000,-34647399118.000000,67565754.000000,-11527890000.000000,,,,,-18556099513.000000,97981129328.000000,88007033600.000000,9974095728.000000,,,,,,,,97981129328.000000,-79025909183.000000,95657602989.000000,-165614837757.000000,,,-9068674415.000000,,,,,-79025909183.000000,,399120632.000000,8134665.000000,796345253.000000,,1203600550.000000
12M 2012,6008763.000000,16923780.000000,449883.000000,-10427528.000000,27604.000000,-964976.000000,,,,,6008763.000000,-18438364.000000,,7181769.000000,,,,324310.000000,,-25944443.000000,,-18438364.000000,13412379.000000,,-18534440.000000,-2127631.000000,34074450.000000,,,,,,13412379.000000,,982778.000000,-257431.000000,132731.000000,,858078.000000
12M 2013,1922971.000000,4804898.000000,,-2883046.000000,6127.000000,-5008.000000,,,,,1922971.000000,-7193294.000000,,21012.000000,,-7140243.000000,-74499.000000,436.000000,,,,-7193294.000000,4788551.000000,,,,4788551.000000,,,,,,4788551.000000,,-481772.000000,858078.000000,-48562.000000,,327744.000000
12M 2014,-678996.000000,2115617.000000,,-2790652.000000,1122.000000,-5083.000000,,,,,-678996.000000,650124.000000,,2175410.000000,,-1393247.000000,-132507.000000,468.000000,,,,650124.000000,1221979.000000,,,,2831513.000000,-1609534.000000,,,,,1221979.000000,,1193107.000000,327744.000000,2066.000000,,1522917.000000
12M 2015,1377940.000000,2529834.000000,,-1103538.000000,1144.000000,-49500.000000,,,,,1377940.000000,-762161.000000,,,,-369672.000000,-392489.000000,,,,,-762161.000000,-1787415.000000,,,,344447.000000,-2131862.000000,,,,,-1787415.000000,,-1171636.000000,10462.000000,1522917.000000,,361743.000000
12M 2016,3400492.000000,6023045.000000,,-2560101.000000,17166.000000,-79618.000000,,,,,3400492.000000,-1111628.000000,,63811.000000,,-1063423.000000,-113214.000000,1198.000000,,,,-1111628.000000,-1785473.000000,,,,,-1785473.000000,,,,,-1785473.000000,,503391.000000,21680.000000,361743.000000,,886814.000000
12M 2017,3521291.000000,7602364.000000,,-4138239.000000,58321.000000,-1155.000000,,,,,3521291.000000,-871974.000000,,42562.000000,,-30343.000000,-884193.000000,,,,,-871974.000000,-1412392.000000,,,,,-1412392.000000,,,,,-1412392.000000,,1236925.000000,-16675.000000,886814.000000,,2107064.000000
