Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(40 B),(3 B),(43 B),-73.32
12M 2009,(9 B),(0 B),(9 B),-15.07
12M 2010,10 B,,10 B,16.37
12M 2011,(19 B),,(19 B),-31.60
12M 2012,58 B,,58 B,98.96
12M 2013,23 B,(88 B),(65 B),-109.94
12M 2014,(8 B),(19 B),(27 B),-46.72
12M 2015,19 B,(11 B),8 B,14.47
12M 2016,46 B,(16 B),30 B,50.89
12M 2017,48 B,(12 B),35 B,60.15
12M 2018,15 B,(16 B),(2 B),-2.60
12M 2019,55 B,(1 B),54 B,92.50
12M 2020,22 B,(0 B),22 B,36.90
12M 2021,14 B,(1 B),13 B,21.70
12M 2022,54 B,(2 B),52 B,88.61
12M 2023,47 B,(4 B),43 B,73.87
12M 2024,20 B,(2 B),18 B,30.77
