Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,6.52,,6.49,,32.71,,2.68,5.84,5.84,2.25
12M 2009,97.86,101.25,42.73,156.38,3.73,4.9,3.6,4.52,18.58,20.56,1.5,1.74,2.8,2.8,3.14
12M 2010,58.95,59.62,24.12,94.45,6.19,5.55,6.12,5.59,31.45,30.44,2.26,2.1,3.71,3.71,2.63
12M 2011,46.78,44.4,27.16,64.02,7.8,7.6,8.22,6.81,8.62,4.68,2.2,1.74,5.04,5.04,2.19
12M 2012,47.56,48.07,30.22,65.41,7.67,7.75,7.59,5.75,5.84,5.81,2.02,1.92,4.49,4.49,3.07
12M 2013,57.34,47.56,24.97,79.93,6.37,5.06,7.67,6.69,6.56,6.52,2.06,1.83,4.61,4.61,2.55
12M 2014,72.3,47.29,25.73,93.86,5.05,4.97,7.72,7.54,5.92,5.83,1.78,1.74,4.0,4.0,3.33
12M 2015,68.7,42.97,24.89,86.78,5.31,5.71,8.49,6.11,5.52,4.85,1.84,1.68,4.27,4.27,2.85
12M 2016,69.16,49.25,29.21,89.2,5.28,5.9,7.41,5.94,5.05,4.98,1.64,1.53,3.25,3.25,3.41
12M 2017,72.05,77.59,46.98,102.66,5.07,4.57,4.7,3.39,3.97,3.08,1.3,1.1,3.5,3.5,1.97
12M 2018,78.67,81.62,49.29,111.0,4.64,4.67,4.47,3.82,4.25,4.36,1.35,1.31,3.28,3.28,2.46
12M 2019,107.09,76.21,37.08,146.22,3.41,4.06,4.79,3.94,4.92,5.05,1.32,1.34,2.68,2.68,2.91
12M 2020,205.45,125.67,35.96,295.16,1.78,3.54,2.9,3.12,3.22,3.72,0.6,0.67,0.97,0.97,5.29
12M 2021,116.33,131.35,20.89,226.79,3.14,4.13,2.78,2.52,4.48,3.95,0.61,0.64,1.04,1.04,11.76
12M 2022,93.87,108.19,10.93,191.13,3.89,3.69,3.37,3.17,5.21,5.36,0.8,0.8,1.26,1.26,10.42
12M 2023,91.57,98.51,9.31,180.77,3.99,4.22,3.71,3.42,4.97,5.02,0.96,0.95,1.45,1.45,7.99
12M 2024,73.15,112.36,10.18,175.33,4.99,5.12,3.25,2.77,4.68,4.55,1.11,1.1,1.64,1.64,10.22
