Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Imbalan Pasca Kerja,Pembayaran Bunga Dan Beban Keuangan,Penerimaan (Pembayaran) Sewa,Pembayaran Pajak Penghasilan,Penerimaan Restitusi Pajak Penghasilan,Penerimaan Restitusi Pajak Pertambahan Nilai,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil (Penempatan) Aset Keuangan Lainnya,Pencairan (Penempatan) Investasi Jangka Pendek,Pencairan (Penempatan) Investasi Jangka Panjang,Penerimaan Bunga,Penerimaan Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Hasil Penjualan Aset Tidak Lancar Yang Dimiliki Untuk Dijual,Pemberian Pinjaman Pihak Berelasi,Akuisisi Entitas Anak,Rekening Bank Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Bank Dan Lembaga Keuangan Bukan Bank,Pembayaran Bunga,Pembayaran Dividen,Penerimaan Pengembalian Dividen Tunai,Penerimaan Liabilitas Sewa Kendaraan,Penerimaan Liabilitas Sewa Pembiayaan,Penerimaan Utang Pembiayaan,Pembayaran Utang Pembelian Aset Tetap,Pembayaran Liabilitas Sewa,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Utang Pembelian Kendaraan,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Rekening Bank Yang Dibatasi Penggunaannya,Kas Dan Setara Kas Akhir Periode
12M 2008,42290647018.000000,1612537743608.000000,-1581304755367.000000,-1068625107.000000,,,-16308473083.000000,2082640699.000000,26352116268.000000,42290647018.000000,-7115430312.000000,,1719669800.000000,,860900547.000000,,719452273.000000,-10415452932.000000,,,,,,-7115430312.000000,-18928007961.000000,,,,,-9936500000.000000,-7895824881.000000,,,,,,,,-1095683080.000000,,-18928007961.000000,,16247208745.000000,22043135110.000000,1155153732.000000,-4233904881.000000,35211592706.000000
12M 2009,46246114669.000000,966632853643.000000,-914313244047.000000,-1670951000.000000,,,-15341733011.000000,,10939189084.000000,46246114669.000000,-6649686111.000000,,-6244892176.000000,,2097001998.000000,,3990745164.000000,-4208341097.000000,-2284200000.000000,,,,,-6649686111.000000,-30001083643.000000,,,,,-24537750000.000000,-4216579761.000000,,,,,,,,-1099544148.000000,-147209734.000000,-30001083643.000000,,9595344915.000000,35211592706.000000,-4458930437.000000,3294052179.000000,43642059363.000000
12M 2010,77255286372.000000,1349300470111.000000,-1234724519630.000000,-2912085000.000000,,,-34408579109.000000,,,77255286372.000000,-43163555358.000000,,-35945835358.000000,,900421608.000000,,86379555.000000,-8117971664.000000,-86549499.000000,,,,,-43163555358.000000,-12621629816.000000,,,,,-9006000000.000000,-2921244163.000000,,,,,,,,-530940043.000000,-163445610.000000,-12621629816.000000,,21470101198.000000,43642059363.000000,-5331100258.000000,40949245.000000,59822009548.000000
12M 2011,79074866902.000000,2064615162133.000000,-1953987484114.000000,-6961023000.000000,,,-24591788117.000000,,,79074866902.000000,-18124504946.000000,-4821035624.000000,,,2837818343.000000,,422354772.000000,-15896950847.000000,-659136820.000000,,,,-7554770.000000,-18124504946.000000,-12664920067.000000,,,,,-8832750000.000000,-3474100480.000000,,,,,,,,-10606391.000000,-347463196.000000,-12664920067.000000,,48285441889.000000,59822009548.000000,-1077884715.000000,,107029566722.000000
12M 2012,9504674794.000000,2460117333552.000000,-2408561660957.000000,-2275469000.000000,-3988633425.000000,,-44996941299.000000,9210045923.000000,,9504674794.000000,12189362526.000000,30939369768.000000,,,1994205552.000000,,352901310.000000,-20459610912.000000,-1543961419.000000,,,,906458227.000000,12189362526.000000,-58468638784.000000,93036501656.000000,-94084516274.000000,,,-55443932321.000000,-894859803.000000,,,,,,,,,-1081832042.000000,-58468638784.000000,,-36774601464.000000,107029566722.000000,-1831241710.000000,,68423723548.000000
12M 2013,-27123241057.000000,2657956789592.000000,-2608361569904.000000,-2755670000.000000,-9105618348.000000,,-64857172397.000000,,,-27123241057.000000,-25117474434.000000,5193447876.000000,,,893990954.000000,,1354954551.000000,-26124486815.000000,-6435381000.000000,,,,,-25117474434.000000,53563912916.000000,381644378328.000000,-293630496832.000000,,,,,,,,,,,,-32057880856.000000,-2392087724.000000,53563912916.000000,,1323197425.000000,68423723549.000000,-9301388508.000000,,60445532466.000000
12M 2014,170079674604.000000,2602949137775.000000,-2381260621274.000000,-5481604000.000000,-11368468116.000000,,-44409283473.000000,,9650513692.000000,170079674604.000000,-98407718527.000000,-12708032164.000000,,,997702943.000000,,823863637.000000,-42951338866.000000,-44569914077.000000,,,,,-98407718527.000000,-97323608683.000000,469508002356.000000,-549013941216.000000,,,,,,,,,,,,-15999933700.000000,-1817736123.000000,-97323608683.000000,,-25651652606.000000,60445532466.000000,-8632973793.000000,,26160906067.000000
12M 2015,46127980815.000000,2805115272593.000000,-2697980785491.000000,-10606519000.000000,-28046587810.000000,,-45086890644.000000,22733491167.000000,,46127980815.000000,-129017006579.000000,-11582577846.000000,,,1568515504.000000,,1711922725.000000,-117882980789.000000,-2831886173.000000,,,,,-129017006579.000000,65056725933.000000,464857033298.000000,-421356262032.000000,51329540334.000000,-10761508786.000000,,,,,,,,,,-15991394700.000000,-3020682181.000000,65056725933.000000,,-17832299831.000000,26160906067.000000,12555168692.000000,,20883774928.000000
12M 2016,383175671680.000000,2965449816566.000000,-2528822160792.000000,-12348669000.000000,-16817006684.000000,,-60705492363.000000,15616229443.000000,20802954510.000000,383175671680.000000,-155914976206.000000,-107179651147.000000,,,6893104805.000000,,790609273.000000,-36511775745.000000,-19907263392.000000,,,,,-155914976206.000000,-93782922340.000000,92769687968.000000,-136270459234.000000,59937714809.000000,-80247400387.000000,,,,,,,,,,-28029828149.000000,-1942637347.000000,-93782922340.000000,,133477773134.000000,20883774928.000000,262821749.000000,,154624369811.000000
12M 2017,-65871447329.000000,3318656566804.000000,-3251710231650.000000,-5803821715.000000,-23008198127.000000,-4553280000.000000,-104974127449.000000,5521644808.000000,,-65871447329.000000,-56311152903.000000,142340861640.000000,,,3328847461.000000,,666318182.000000,-87756173099.000000,-1378576139.000000,,,-113512430948.000000,,-56311152903.000000,112731609296.000000,322839084181.000000,-156474662057.000000,,-21523017573.000000,,,,,,,6648939000.000000,,,-37907393851.000000,-851340404.000000,112731609296.000000,,-9450990936.000000,154624369811.000000,-865281112.000000,,144308097763.000000
