Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penghasilan Bunga,"Pembayaran Kepada Pemasok, Karyawan Dan Pihak Ketiga Lainnya",Pembayaran Untuk Beban Pabrikasi Dan Usaha,Pembayaran Pajak,Penerimaan Kembali Tagihan Ppn,Restitusi Pajak,Pembayaran Bunga,Pembayaran Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aktiva,Perolehan Aset Tetap,Penambahan Aset Dalam Penyelesaian,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Hasil Penjualan Aset Tetap,Penerimaan Hasil Penjualan Entitas Anak,Penerimaan Hasil Penjualan Aset Keuangan Lainnya,Pembelian Saham Entitas Anak,Akuisisi Kepentingan Non Pengendali,Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Hutang Bank Dan Cerukan,Pembayaran Hutang Bank Dan Cerukan,Pelunasan Pinjaman Jangka Panjang,Pembayaran Deviden,Kenaikan Hutang Bank,Hutang Lain-Lain,Piutang Lain-Lain,Deposito Berjangka,Pelunasan Hutang Sewa Guna Usaha,Penerimaan Setoran Modal Entitas Anak Dari Pemegang Saham Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-37093051465.000000,531398392553.000000,452182079.000000,-559034797239.000000,,-2414261491.000000,,,-7494567367.000000,,-37093051465.000000,-16842154546.000000,,-16842154546.000000,,,,,,,,,-16842154546.000000,59265590162.000000,90013529450.000000,-16839448707.000000,,,,1091509419.000000,-5000000000.000000,-10000000000.000000,,,,59265590162.000000,5330384151.000000,4307864127.000000,,9638248278.000000
12M 2009,8175310054.000000,389939452977.000000,203415511.000000,-376098426209.000000,,-616271502.000000,,,-5252860723.000000,,8175310054.000000,-7697846967.000000,-64239150.000000,-7633607817.000000,,,,,,,,,-7697846967.000000,-3216655345.000000,39450110805.000000,-33371592002.000000,,,,1681978450.000000,-4046832598.000000,-6930320000.000000,,,,-3216655345.000000,-2739192258.000000,9638248278.000000,,6899056020.000000
12M 2010,5654912326.000000,436830728987.000000,164607380.000000,-424862173584.000000,,,,,-6478250457.000000,,5654912326.000000,-8498912309.000000,,-5009012309.000000,-3489900000.000000,,,,,,,,-8498912309.000000,15003762746.000000,,-11695055137.000000,,,24543255174.000000,,-484117291.000000,2639680000.000000,,,,15003762746.000000,12159762763.000000,2159376021.000000,,14319138784.000000
12M 2011,47220266787.000000,883018898461.000000,180747483.000000,-824572353050.000000,,-5718417389.000000,,,-5688608718.000000,,47220266787.000000,-58642260066.000000,,-58642260066.000000,,,,,,,,,-58642260066.000000,9996162844.000000,,,,-1503837156.000000,11500000000.000000,,,,,,,9996162844.000000,-1425830435.000000,14319138784.000000,,12893308349.000000
12M 2012,-79515260569.000000,1040308545600.000000,142684165.000000,-1092099598293.000000,,-12183530706.000000,,,-15683361335.000000,,-79515260569.000000,-14638178481.000000,,-14638178481.000000,,,,,,,,,-14638178481.000000,86480335340.000000,577101131490.000000,-490620796150.000000,,,,,,,,,,86480335340.000000,-7673103710.000000,14993308349.000000,,7320204639.000000
12M 2013,-106551188953.000000,1047824488926.000000,128977696.000000,-1111580273104.000000,,-22703290361.000000,,,-20221092110.000000,,-106551188953.000000,-18878404913.000000,,-18878404913.000000,,,,,,,,,-18878404913.000000,136711403772.000000,206125222063.000000,-70013818291.000000,,,,,,,,600000000.000000,,136711403772.000000,11281809906.000000,7320204639.000000,,18602014545.000000
12M 2014,5994209466.000000,915829137003.000000,66472858.000000,-881014772514.000000,,-10155721499.000000,,,-18730906382.000000,,5994209466.000000,-8190349622.000000,130885840.000000,-8321235462.000000,,,,,,,,,-8190349622.000000,17813479304.000000,404232404090.000000,-386418924786.000000,,,,,,,,,,17813479304.000000,15617339148.000000,18602014545.000000,,34219353693.000000
12M 2015,24641687071.000000,967710339797.000000,74208512.000000,-913196543894.000000,,-14130794905.000000,,,-15815522439.000000,,24641687071.000000,-20249890556.000000,169630000.000000,-20419520556.000000,,,,,,,,,-20249890556.000000,-25035728349.000000,424726010128.000000,-449761738477.000000,,,,,,,,,,-25035728349.000000,-20643931834.000000,34219353693.000000,-6827436017.000000,6747985842.000000
12M 2016,33243538568.000000,1048020870683.000000,102736043.000000,-974976449533.000000,,3405735812.000000,,-30422720419.000000,-12886634018.000000,,33243538568.000000,33404358028.000000,509822395.000000,-5517117148.000000,,,,37283939434.000000,1127713347.000000,,,,33404358028.000000,-3731732898.000000,211700000000.000000,-212300000000.000000,,-3131732898.000000,,,,,,,,-3731732898.000000,62916163698.000000,155362556.000000,6747985842.000000,69819512096.000000
12M 2017,-5645375903.000000,1117649735113.000000,183134830.000000,-1090620454692.000000,,,,-27458663018.000000,-5399128136.000000,,-5645375903.000000,-3049973088.000000,,-2469973088.000000,,,,,,,-580000000.000000,,-3049973088.000000,65620052085.000000,238000000000.000000,-167300000000.000000,,-5079947915.000000,,,,,,,,65620052085.000000,56924703094.000000,63217274.000000,69819512096.000000,126807432464.000000
