Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Operasi Yang Dihentikan,Adjustment,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,539697147407.000000,-513936523193.000000,25760624214.000000,-15844048009.000000,-2827770414.000000,-13016277595.000000,,-15844048009.000000,9916576205.000000,-8503283407.000000,452182079.000000,666412448.000000,-9547035059.000000,-74842875.000000,-8503283407.000000,1413292798.000000,1378368463.000000,-1888380500.000000,3266748963.000000,1378368463.000000,2791661261.000000,1196099978.000000,,,3987761239.000000,,,,,3987761239.000000,2791661261.000000,1196099978.000000,3987761239.000000,,,,
12M 2009,301330733974.000000,-276179879256.000000,25150854718.000000,-16705569306.000000,-1869383639.000000,-14836185667.000000,,-16705569306.000000,8445285412.000000,-9782775498.000000,203415511.000000,-66290131.000000,-7506715339.000000,-2413185539.000000,-9782775498.000000,-1337490086.000000,3018345301.000000,-2329837440.000000,5348182741.000000,3018345301.000000,1680855215.000000,14274906.000000,,,1695130121.000000,,,,,1695130121.000000,1680855215.000000,14274906.000000,1695130121.000000,,,,
12M 2010,542618175974.000000,-511080741467.000000,31537434507.000000,-19461797170.000000,-3967136019.000000,-15494661151.000000,,-19461797170.000000,12075637337.000000,-6248284771.000000,164607380.000000,-345888198.000000,-6478250457.000000,411246504.000000,-6248284771.000000,5827352566.000000,-1941766300.000000,-2378859000.000000,437092700.000000,-1941766300.000000,3885586266.000000,36025589.000000,,,3921611855.000000,,,,,3921611855.000000,3885586266.000000,36025589.000000,3921611855.000000,,,,
12M 2011,864752600095.000000,-794327907095.000000,70424693000.000000,-25722603502.000000,-8100570821.000000,-17622032681.000000,,-25722603502.000000,44702089498.000000,-19249872695.000000,180747483.000000,-7022546470.000000,-12728620772.000000,320547064.000000,-19249872695.000000,25452216803.000000,-6449254176.000000,-6191827000.000000,-257427176.000000,-6449254176.000000,19002962627.000000,,,,19002962627.000000,,,,19002962627.000000,19002962627.000000,18984433471.000000,18529156.000000,19002962627.000000,19002962627.000000,18984433471.000000,18529156.000000,19002962627.000000
12M 2012,1020197078016.000000,-924249100518.000000,95947977498.000000,-29140660207.000000,-10955699960.000000,-18184960247.000000,,-29140660207.000000,66807317291.000000,-34801707579.000000,142684167.000000,-13852288345.000000,-20118183724.000000,-973919677.000000,-34801707579.000000,32005609712.000000,-8172531234.000000,,,-8172531234.000000,23833078478.000000,,,,23833078478.000000,,,,23833078478.000000,23833078478.000000,23801337270.000000,31741208.000000,23833078478.000000,23833078478.000000,23801337270.000000,31741208.000000,23833078478.000000
12M 2013,1032787438869.000000,-939954280952.000000,92833157917.000000,-29295293036.000000,-8324783955.000000,-20970509081.000000,,-29295293036.000000,63537864881.000000,-52866716052.000000,128977696.000000,-28808805251.000000,-20221092110.000000,-3965796387.000000,-52866716052.000000,10671148829.000000,-2993053470.000000,-2912313500.000000,-80739970.000000,-2993053470.000000,7678095359.000000,,,,7678095359.000000,,,,7678095359.000000,7678095359.000000,7686668251.000000,-8572892.000000,7678095359.000000,7678095359.000000,7686668251.000000,-8572892.000000,7678095359.000000
12M 2014,919537870594.000000,-841195579256.000000,78342291338.000000,-28860811735.000000,-7191346184.000000,-21669465551.000000,,-28860811735.000000,49481479603.000000,-22110671792.000000,66472858.000000,-104686437.000000,-20658598267.000000,-1413859946.000000,-22110671792.000000,27370807811.000000,-6871966432.000000,-7171992500.000000,300026068.000000,-6871966432.000000,20498841379.000000,,,,20498841379.000000,124871950.000000,,124871950.000000,20623713329.000000,20498841379.000000,20498841379.000000,,20498841379.000000,20623713329.000000,20686529919.000000,-62816590.000000,20623713329.000000
12M 2015,967710339797.000000,-870095238042.000000,97615101755.000000,-39826769102.000000,-15827071538.000000,-23999697564.000000,,-39826769102.000000,57788332653.000000,-36315689154.000000,74208512.000000,-6827436017.000000,-15815522439.000000,-13746939210.000000,-36315689154.000000,21472643499.000000,-8712277887.000000,-9833425016.000000,1121147129.000000,-8712277887.000000,12760365612.000000,,,,12760365612.000000,-972858749.000000,-972858749.000000,-972858749.000000,11787506863.000000,12760365612.000000,12782644926.000000,-22279314.000000,12760365612.000000,11787506863.000000,11809786177.000000,-22279314.000000,11787506863.000000
12M 2016,987409109474.000000,-884704931071.000000,102704178403.000000,-35083414363.000000,-13820459392.000000,-21262954971.000000,,-35083414363.000000,67620764040.000000,-33091920034.000000,102736043.000000,-1307563753.000000,-11104740194.000000,-20782352130.000000,-33091920034.000000,34528844006.000000,-14689067757.000000,-14506715500.000000,-182352257.000000,-14689067757.000000,19839776249.000000,,1405246667.000000,,21245022916.000000,-1131135496.000000,-1131135496.000000,-1131135496.000000,20113887420.000000,21245022916.000000,21206859360.000000,38163556.000000,21245022916.000000,20113887420.000000,20075723864.000000,38163556.000000,20113887420.000000
12M 2017,1215476677995.000000,-1109571811710.000000,105904866285.000000,-50032282364.000000,-19307500237.000000,-30724782127.000000,,-50032282364.000000,55872583921.000000,-11324319325.000000,183134830.000000,902121922.000000,-4531693797.000000,-7877882280.000000,-11324319325.000000,44548264596.000000,-553314951.000000,-12356964000.000000,11803649049.000000,-553314951.000000,43994949645.000000,,,,43994949645.000000,432958350561.000000,,432958350561.000000,476953300206.000000,43994949645.000000,44020506978.000000,-25557333.000000,43994949645.000000,476953300206.000000,476953300206.000000,,476953300206.000000
