Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,0.35,0.35,3.8,5.74,0.0,0.0,3.59,0.66,4.74
12M 2009,0.26,0.26,4.01,5.79,0.0,0.0,3.9,0.69,4.79
12M 2010,0.24,0.24,0.95,2.15,0.0,0.0,0.86,0.44,1.15
12M 2011,2.55,2.55,0.51,2.1,0.0,0.0,0.05,0.24,0.73
12M 2012,1.36,1.36,0.77,2.6,0.0,0.0,0.26,0.3,1.14
12M 2013,0.76,0.76,1.1,3.38,0.0,0.0,0.85,0.33,1.81
12M 2014,1.01,0.89,0.25,1.57,0.0,0.0,0.21,0.16,0.43
12M 2015,0.39,0.35,0.42,1.77,0.0,0.0,0.4,0.23,0.68
12M 2016,0.24,0.23,0.48,1.78,0.0,0.0,0.46,0.27,0.77
12M 2017,0.19,0.17,0.64,2.03,0.0,0.0,0.62,0.32,1.08
12M 2018,0.06,0.05,1.34,3.07,0.0,0.0,1.31,0.44,2.5
12M 2019,0.08,0.08,1.94,3.75,0.0,0.0,1.9,0.52,3.26
12M 2020,0.03,0.03,1.66,3.45,0.0,0.0,1.61,0.48,2.97
12M 2021,0.03,0.03,3.15,5.14,0.0,0.0,3.06,0.61,5.1
12M 2022,0.35,0.35,0.09,2.73,0.0,0.0,-1.06,0.03,3.6
12M 2023,0.22,0.22,0.16,3.63,0.0,0.0,-0.73,0.04,5.7
12M 2024,0.22,0.22,0.01,1.35,0.0,0.0,-0.15,0.01,0.89
