Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Piutang Pihak Berelasi,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Piutang Pihak Berelasi,Aset Tetap,Aset Tak Berwujud,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Utang Surat Promes,Utang Pihak Berelasi,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembelian Kendaraan,Utang Bank Jangka Panjang,Pinjaman Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Pembelian Kendaraan,Utang Bank Jangka Panjang,Utang Lain Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Senior Amortizing Loan,Obligasi Konversi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Others,Total Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Adjustment,Total Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,3343131031.000000,185303611063.000000,,,185303611063.000000,242112466.000000,,,242112466.000000,77222883278.000000,96856582582.000000,,15671437654.000000,378639758074.000000,,,,445681761935.000000,,,6429573791.000000,452111335726.000000,830751093800.000000,,,251465496011.000000,,60327359490.000000,,,60327359490.000000,17660337614.000000,14358683804.000000,,,,,,,,,8619115103.000000,,,8619115103.000000,150500000000.000000,251465496011.000000,457124076037.000000,,,,46282339451.000000,,,46282339451.000000,88769000000.000000,247000000000.000000,47063108167.000000,28009628419.000000,457124076037.000000,708589572048.000000,,2212500000000.000000,43750000000.000000,43750000000.000000,43750000000.000000,-2134088478248.000000,25000000.000000,-2134113478248.000000,,-2134088478248.000000,,122161521752.000000,830751093800.000000,8425000000.000000
12M 2009,,,12802738364.000000,339292167277.000000,,,339292167277.000000,529173335.000000,,,529173335.000000,129945231216.000000,,,29332481083.000000,511901791275.000000,,,,783274728741.000000,,,25339278046.000000,808614006787.000000,1320515798062.000000,,,393930158195.000000,,125577487143.000000,,,125577487143.000000,7649219045.000000,31395711861.000000,,,,,,,,,29557740146.000000,,,29557740146.000000,199750000000.000000,393930158195.000000,749639990860.000000,,,,186801169921.000000,,,186801169921.000000,88769000000.000000,247000000000.000000,121608389397.000000,105461431542.000000,749639990860.000000,1143570149055.000000,,2212500000000.000000,43750000000.000000,43750000000.000000,43750000000.000000,-2106760256489.000000,25000000.000000,-2106785256489.000000,,-2106760256489.000000,27455905496.000000,176945649007.000000,1320515798062.000000,8425000000.000000
12M 2010,,,3226771927.000000,304748315298.000000,,,304748315298.000000,251402401.000000,,,251402401.000000,141483526664.000000,,,50837886080.000000,500547902370.000000,,,,762797712273.000000,,,2776661380.000000,765574373653.000000,1266122276023.000000,,,328468135984.000000,163104503173.000000,112730788949.000000,,,112730788949.000000,1584423687.000000,25273403681.000000,,,,,,,,,566683161.000000,25208333333.000000,,25775016494.000000,,328468135984.000000,714710845366.000000,,,,460632034.000000,181958333343.000000,,182418965377.000000,62410604696.000000,247000000000.000000,112986589062.000000,109894686231.000000,714710845366.000000,1043178981350.000000,,2212500000000.000000,43750000000.000000,43750000000.000000,43750000000.000000,-2062094755068.000000,25000000.000000,-2062119755068.000000,,-2062094755068.000000,28788049741.000000,222943294673.000000,1266122276023.000000,8425000000.000000
12M 2011,,,70564530308.000000,268123433509.000000,,,268123433509.000000,9608623230.000000,,,9608623230.000000,162784032247.000000,,,59248778652.000000,570329397946.000000,,,,1299658768909.000000,,,179644773716.000000,1479303542625.000000,2049632940571.000000,,,882988100403.000000,784382000000.000000,78651511969.000000,,,78651511969.000000,3048486852.000000,16892492025.000000,,,,,,,,,13609557.000000,,,13609557.000000,,882988100403.000000,96660850881.000000,,,,,,,,,,17651103211.000000,79009747670.000000,96660850881.000000,979648951284.000000,,929250000000.000000,49967744421.000000,49967744421.000000,49967744421.000000,19403546978.000000,,19403546978.000000,,19403546978.000000,71362697889.000000,1069983989288.000000,2049632940572.000000,8425000000.000000
12M 2012,,,154613995193.000000,267022229106.000000,,,267022229106.000000,1113759113.000000,,,1113759113.000000,187927258526.000000,,,25616882665.000000,636294124603.000000,,,,1328355142467.000000,,,179165617365.000000,1507520759832.000000,2143814884435.000000,,,108570716767.000000,,68595601277.000000,,,68595601277.000000,6908102757.000000,33067012733.000000,,,,,,,,,,,,,,108570716767.000000,59920929025.000000,,,,,,,,,,10389649302.000000,49531279723.000000,59920929025.000000,168491645792.000000,,1612180500000.000000,201337054084.000000,201337054084.000000,201337054084.000000,88565687590.000000,,88565687590.000000,,88565687590.000000,73239996969.000000,1975323238643.000000,2143814884435.000000,14929100000.000000
12M 2013,,,289690622294.000000,227667888705.000000,219401891516.000000,8265997189.000000,227667888705.000000,3152030436.000000,,,3152030436.000000,210123666419.000000,,,10041739459.000000,740675947313.000000,,9289202881.000000,,1458987957660.000000,,,61951802664.000000,1530228963205.000000,2270904910518.000000,,,140475900030.000000,,67388804197.000000,,,67388804197.000000,27683907906.000000,45403187927.000000,,,,,,,,,,,,,,140475900030.000000,83328449578.000000,,,,,,,,,,24751365760.000000,58577083818.000000,83328449578.000000,223804349608.000000,,1612180500000.000000,201337054084.000000,,201337054084.000000,155089489019.000000,2131183191.000000,152958305828.000000,,155089489019.000000,78493517807.000000,2047100560910.000000,2270904910518.000000,14929100000.000000
12M 2014,,,220526665794.000000,294541918661.000000,288612180659.000000,5929738002.000000,294541918661.000000,1946469666.000000,,,1946469666.000000,253388318743.000000,,,23131164310.000000,793534537174.000000,,7009986851.000000,,1493293193212.000000,,,58704885828.000000,1559008065891.000000,2352542603065.000000,,,141424993965.000000,,74825553714.000000,,,74825553714.000000,11353333192.000000,34173234604.000000,,,20632344495.000000,,,20632344495.000000,,,,,,,440527960.000000,141424993965.000000,94320586032.000000,,,,,,,,,,27183533740.000000,67137052292.000000,94320586032.000000,235745579997.000000,,1612180500000.000000,201337054084.000000,,201337054084.000000,220142652024.000000,4391992379.000000,215750659645.000000,,220142652024.000000,83136816960.000000,2116797023068.000000,2352542603065.000000,14929100000.000000
12M 2015,,,54773279911.000000,387039276818.000000,380180810192.000000,6858466626.000000,387039276818.000000,842630692.000000,444359625.000000,398271067.000000,842630692.000000,203675235284.000000,,,35725467820.000000,682055890525.000000,,14551408503.000000,,1403341278203.000000,1152040299.000000,,23290078989.000000,1442334805994.000000,2124390696519.000000,,,204893681052.000000,,94540645605.000000,,,94540645605.000000,7284411532.000000,36441512729.000000,,,,51807220280.000000,13920405309.000000,65727625589.000000,,,,,,,899485597.000000,204893681052.000000,106012378900.000000,,,,,,,,,,9354354068.000000,96658024832.000000,106012378900.000000,310906059952.000000,,1612180500000.000000,201337054084.000000,,201337054084.000000,-64893514284.000000,7159174474.000000,-72052688758.000000,,-64893514284.000000,64860596767.000000,1813484636567.000000,2124390696519.000000,14929100000.000000
12M 2016,,,33961000000.000000,371461000000.000000,366022000000.000000,5439000000.000000,371461000000.000000,4471000000.000000,1425000000.000000,3046000000.000000,4471000000.000000,104655000000.000000,,,5113000000.000000,519661000000.000000,,,,1321545000000.000000,1056000000.000000,15409000000.000000,1999000000.000000,1340009000000.000000,1859670000000.000000,,,165848000000.000000,,83303000000.000000,,,83303000000.000000,11937000000.000000,43064000000.000000,,,,20524000000.000000,6121000000.000000,26645000000.000000,,,,,,,899000000.000000,165848000000.000000,173792000000.000000,,,,,,,,,,55056000000.000000,118736000000.000000,173792000000.000000,339640000000.000000,,1612181000000.000000,216746000000.000000,,216746000000.000000,-355546000000.000000,7159000000.000000,-362705000000.000000,,-355546000000.000000,46649000000.000000,1520030000000.000000,1859670000000.000000,14929100000.000000
12M 2017,,,9384169874.000000,399189154260.000000,396614531803.000000,2574622457.000000,399189154260.000000,5268018471.000000,649519468.000000,4618499003.000000,5268018471.000000,103727893040.000000,,,9887189728.000000,527456425373.000000,,,,1225691073605.000000,123834866.000000,13878510000.000000,453661853.000000,1240147080324.000000,1767603505697.000000,,,169750005433.000000,,92208750122.000000,,,92208750122.000000,4647636397.000000,37709095809.000000,,,,32245224446.000000,2040436822.000000,34285661268.000000,,,,,,,898861837.000000,169750005433.000000,171123203424.000000,,,,,,,,,,42645526424.000000,128477677000.000000,171123203424.000000,340873208857.000000,,1612180500000.000000,216746374084.000000,,216746374084.000000,-443768802927.000000,7159174474.000000,-450927977401.000000,,-443768802927.000000,41572225683.000000,1426730296840.000000,1767603505697.000000,14929100000.000000
