Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(11 B),(2 B),(13 B),-1.52
12M 2009,(39 B),(4 B),(44 B),-5.21
12M 2010,37 B,(25 B),12 B,1.46
12M 2011,39 B,(27 B),12 B,1.41
12M 2012,131 B,(98 B),33 B,2.20
12M 2013,202 B,(67 B),135 B,9.04
12M 2014,54 B,(119 B),(65 B),-4.36
12M 2015,(42 B),(91 B),(133 B),-8.91
12M 2016,25 B,(47 B),(21 B),-1.43
12M 2017,(18 B),(11 B),(29 B),-1.94
12M 2018,(20 B),(7 B),(26 B),-1.76
12M 2019,(45 B),(2 B),(47 B),-3.17
12M 2020,25 B,(0 B),25 B,1.68
12M 2021,7 B,(11 B),(4 B),-0.28
12M 2022,1 B,(33 B),(32 B),-2.11
12M 2023,63 B,(24 B),39 B,2.63
12M 2024,(10 B),(19 B),(29 B),-1.95
