Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Total Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Pajak,Pembayaran Bunga Dan Beban Keuangan,Penerimaan Bunga,Penerimaan Klaim Asuransi,Penerimaan Restitusi Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Penghasilan Bunga,Keuntungan Penjualan Aset Tetap,Penambahan (Pengurangan) Piutang Kepada Pihak Hubungan Istimewa,Pembayaran Utang Kepada Pihak Berelasi,Uang Muka Pembelian Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Jangka Pendek,Pembayaran Pinjaman Jangka Pendek,Penerimaan Pinjaman Jangka Panjang,Penerimaan (Pembayaran) Utang Kepada Pihak Berelasi,Penerimaan Piutang Dari Pihak Yang Mempunyai Hubungan Istimewa,Pembayaran Utang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-845412093.000000,92876748409.000000,-92097688486.000000,,,-92097688486.000000,-1883634581.000000,-52913263.000000,,,312075828.000000,-845412093.000000,-125006009.000000,19765992.000000,,,,,-144772001.000000,-125006009.000000,1822027299.000000,3690000000.000000,-1220000000.000000,,-766789229.000000,118816528.000000,,1822027299.000000,851609197.000000,750650819.000000,95185990.000000,1697446006.000000
12M 2009,989752746.000000,85665780426.000000,-83727622002.000000,,,-83727622002.000000,-1049044535.000000,-65096809.000000,,,165735666.000000,989752746.000000,-1502188330.000000,37227270.000000,288636364.000000,,,,-1828051964.000000,-1502188330.000000,2321971421.000000,2035877759.000000,-920000000.000000,1160000000.000000,46093662.000000,,,2321971421.000000,1809535837.000000,1697446006.000000,-371131747.000000,3135850096.000000
12M 2010,7293507200.000000,78279192128.000000,-89292940438.000000,,,-89292940438.000000,-531593756.000000,-403262846.000000,,17927481868.000000,1314630244.000000,7293507200.000000,-3161243193.000000,52992765.000000,,,,,-3214235958.000000,-3161243193.000000,-621465624.000000,6550243425.000000,-7068175463.000000,,-103533586.000000,,,-621465624.000000,3510798383.000000,3135850096.000000,-121908985.000000,6524739494.000000
12M 2011,-3385237611.000000,85755025357.000000,-88906667349.000000,,,-88906667349.000000,-1155113070.000000,-406303102.000000,,599369085.000000,728451468.000000,-3385237611.000000,-214843744.000000,99633167.000000,,,,,-314476911.000000,-214843744.000000,620777350.000000,7653188452.000000,-7059705361.000000,,27294259.000000,,,620777350.000000,-2979304005.000000,6524739494.000000,85098461.000000,3630533950.000000
12M 2012,248174672.000000,92574669707.000000,-91594908455.000000,,,-91594908455.000000,-230057208.000000,-501529372.000000,,,,248174672.000000,-2270974047.000000,69031624.000000,118500000.000000,,,,-2458505671.000000,-2270974047.000000,3068348723.000000,14794531647.000000,-11361951833.000000,,-364231091.000000,,,3068348723.000000,1045549348.000000,3630533950.000000,193949806.000000,4870033104.000000
12M 2013,2302710323.000000,103821796206.000000,-99142170797.000000,,,-99142170797.000000,-1781006558.000000,-595908528.000000,,,,2302710323.000000,-233334278.000000,109701017.000000,,,,,-343035295.000000,-233334278.000000,-2934150897.000000,19599801289.000000,-22533952186.000000,,,,,-2934150897.000000,-864774852.000000,4870033105.000000,627380330.000000,4632638583.000000
12M 2014,1212175271.000000,102401944037.000000,,-59685245557.000000,-38276184547.000000,-97961430104.000000,-2410107014.000000,-818231648.000000,,,,1212175271.000000,-423834680.000000,101408090.000000,,,,,-525242770.000000,-423834680.000000,-959564780.000000,24560146979.000000,-25519711759.000000,,,,,-959564780.000000,-171224189.000000,4632638583.000000,59180126.000000,4520594520.000000
12M 2015,-4125551899.000000,93664713050.000000,,-56803423946.000000,-37685532065.000000,-94488956011.000000,-2351920060.000000,-949388878.000000,,,,-4125551899.000000,-1044824889.000000,70024655.000000,,,,,-1114849544.000000,-1044824889.000000,2598737752.000000,23873448167.000000,-21274710415.000000,,,,,2598737752.000000,-2571639036.000000,4520594521.000000,315188035.000000,2264143520.000000
12M 2016,-145945218.000000,91341723510.000000,,-52392444350.000000,-38543924893.000000,-90936369243.000000,-797178295.000000,-946288728.000000,,,1192167538.000000,-145945218.000000,-538817382.000000,48654163.000000,,,,-261625000.000000,-325846545.000000,-538817382.000000,2097685491.000000,24811212538.000000,-22713527047.000000,,,,,2097685491.000000,1412922891.000000,2264143520.000000,-151001673.000000,3526064738.000000
12M 2017,6153235587.000000,114709830253.000000,,-63967991669.000000,-42456064537.000000,-106424056206.000000,-1241154198.000000,-891384262.000000,,,,6153235587.000000,-899946723.000000,71808862.000000,,,,-41080326.000000,-930675259.000000,-899946723.000000,-1296993788.000000,22284667023.000000,-23581660811.000000,,,,,-1296993788.000000,3956295076.000000,3526064738.000000,11662041.000000,7494021855.000000
