Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Pos Luar Biasa,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Pos Luar Biasa,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Pos Luar Biasa,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,93194684209.000000,-76423033967.000000,16771650242.000000,-10399512539.000000,-1570257575.000000,-8829254964.000000,-10399512539.000000,6372137703.000000,348382193.000000,293734906.000000,,19765992.000000,,34881295.000000,348382193.000000,6720519896.000000,-3663246646.000000,,-3663246646.000000,-3663246646.000000,3057273250.000000,,3057273250.000000,,,,3057273250.000000,3057273250.000000,3057273250.000000,,,3057273250.000000,3057273250.000000,3057273250.000000,,,3057273250.000000
12M 2009,83010877783.000000,-76210600166.000000,6800277617.000000,-10968687374.000000,-1448397130.000000,-9520290244.000000,-10968687374.000000,-4168409757.000000,232210965.000000,228943179.000000,288636364.000000,37227270.000000,,-322595848.000000,232210965.000000,-3936198792.000000,-1278370940.000000,,-1278370940.000000,-1278370940.000000,-5214569732.000000,,-5214569732.000000,,,,-5214569732.000000,-5214569732.000000,-5214569732.000000,,,-5214569732.000000,-5214569732.000000,-5214569732.000000,,,-5214569732.000000
12M 2010,80789650755.000000,-72351990024.000000,8437660731.000000,-10978086023.000000,-1506721814.000000,-9471364209.000000,-10978086023.000000,-2540425292.000000,6867349160.000000,-3247389.000000,,52992765.000000,,6817603784.000000,6867349160.000000,4326923868.000000,-1067224655.000000,-337073250.000000,-730151405.000000,-1067224655.000000,3259699213.000000,,3259699213.000000,,,,3259699213.000000,3259699213.000000,3259699213.000000,,,3259699213.000000,3259699213.000000,3259699213.000000,,,3259699213.000000
12M 2011,87517382578.000000,-75921288205.000000,11596094373.000000,-11557601122.000000,-1546668403.000000,-10010932719.000000,-11557601122.000000,38493251.000000,542745479.000000,230362161.000000,,99633167.000000,-406303102.000000,619053253.000000,542745479.000000,581238730.000000,-224499266.000000,-439721750.000000,215222484.000000,-224499266.000000,356739464.000000,,356739464.000000,,,,356739464.000000,356739464.000000,356739464.000000,,,356739464.000000,356739464.000000,356739464.000000,,,356739464.000000
12M 2012,94787254405.000000,-80258223773.000000,14529030632.000000,-11408719685.000000,-1825126319.000000,-9583593366.000000,-11408719685.000000,3120310947.000000,-40341542.000000,202800711.000000,118500000.000000,69031624.000000,-501529372.000000,70855495.000000,-40341542.000000,3079969405.000000,-820493911.000000,-908761250.000000,88267339.000000,-820493911.000000,2259475494.000000,,2259475494.000000,,,,2259475494.000000,2259475494.000000,2259475494.000000,,,2259475494.000000,2259475494.000000,2259475494.000000,,,2259475494.000000
12M 2013,99029696717.000000,-75189903085.000000,23839793632.000000,-12448890810.000000,-1870395605.000000,-10578495205.000000,-12448890810.000000,11390902822.000000,-1443369952.000000,-987752312.000000,,109701017.000000,-595908528.000000,30589871.000000,-1443369952.000000,9947532870.000000,-2528032152.000000,-1810371500.000000,-717660652.000000,-2528032152.000000,7419500718.000000,,7419500718.000000,,,,7419500718.000000,7419500718.000000,7419500718.000000,,,7419500718.000000,7419500718.000000,7419500718.000000,,,7419500718.000000
12M 2014,102971318497.000000,-82439147507.000000,20532170990.000000,-14045521703.000000,-1775773595.000000,-12269748108.000000,-14045521703.000000,6486649287.000000,-158519354.000000,554848452.000000,,101408090.000000,-818231648.000000,3455752.000000,-158519354.000000,6328129933.000000,-1624621692.000000,-931239500.000000,-693382192.000000,-1624621692.000000,4703508241.000000,,4703508241.000000,,,,4703508241.000000,4703508241.000000,4703508241.000000,,,4703508241.000000,4703508241.000000,4703508241.000000,,,4703508241.000000
12M 2015,91734724118.000000,-73336794428.000000,18397929690.000000,-15569883523.000000,-1621987666.000000,-13947895857.000000,-15569883523.000000,2828046167.000000,-117439363.000000,-317183114.000000,,70024655.000000,-949388878.000000,1079107974.000000,-117439363.000000,2710606804.000000,-15711490024.000000,-1051905250.000000,-14659584774.000000,-15711490024.000000,-13000883220.000000,,-13000883220.000000,38421243065.000000,38421243065.000000,38421243065.000000,25420359845.000000,-13000883220.000000,-13000883220.000000,,,-13000883220.000000,25420359845.000000,25420359845.000000,,,25420359845.000000
12M 2016,99382027031.000000,-81482795340.000000,17899231691.000000,-16404823712.000000,-1927424896.000000,-14477398816.000000,-16404823712.000000,1494407979.000000,-916737995.000000,-19108369.000000,,48654163.000000,-946288728.000000,4939.000000,-916737995.000000,577669984.000000,-214733321.000000,-798162000.000000,583428679.000000,-214733321.000000,362936663.000000,,362936663.000000,-4724789536.000000,-4724789536.000000,-4724789536.000000,-4361852873.000000,362936663.000000,362936663.000000,,,362936663.000000,-4361852873.000000,-4361852873.000000,,,-4361852873.000000
12M 2017,113414715049.000000,-84383772346.000000,29030942703.000000,-17575065864.000000,-2122413737.000000,-15452652127.000000,-17575065864.000000,11455876839.000000,-817758888.000000,1811871.000000,,71808862.000000,-891384262.000000,4641.000000,-817758888.000000,10638117951.000000,-2691201837.000000,-1347604250.000000,-1343597587.000000,-2691201837.000000,7946916114.000000,,7946916114.000000,-5458231593.000000,-5458231593.000000,-5458231593.000000,2488684521.000000,7946916114.000000,7946916114.000000,,,7946916114.000000,2488684521.000000,2488684521.000000,,,2488684521.000000
