Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Piutang Pihak Berelasi,Others,Total Aset Lancar,Aset Tidak Lancar,Properti Investasi,Investasi Jangka Panjang,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Aset Eksplorasi Dan Evaluasi,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Aset Dalam Pelaksanaan,Goodwill,Piutang Lain-Lain,Piutang Pihak Berelasi,Properti Pertambangan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,4499055003.000000,,,93796068212.000000,31622513630.000000,62173554582.000000,93796068212.000000,1279085960.000000,,,1279085960.000000,38053067694.000000,,23916569549.000000,161543846418.000000,,,917343750.000000,856276473.000000,22603575395.000000,,,27123121348.000000,,,,10457646171.000000,,1660412567.000000,63618375704.000000,225162222122.000000,,,68162716234.000000,5365500000.000000,,219521123.000000,28869929308.000000,29089450431.000000,6390308477.000000,9602950880.000000,9997570403.000000,,3836505396.000000,229372496.000000,906827241.000000,4972705133.000000,,2744230910.000000,68162716234.000000,33185026864.000000,,10715861687.000000,,383972264.000000,2441487315.000000,525142786.000000,3350602365.000000,19118562812.000000,33185026864.000000,101347743098.000000,,50000000000.000000,1150000000.000000,72664479024.000000,,,72664479024.000000,,,123814479024.000000,225162222122.000000,250000000.000000
12M 2009,,,8696656691.000000,,,83154097353.000000,33685458235.000000,49468639118.000000,83154097353.000000,18668860522.000000,,,18668860522.000000,45600512599.000000,,42541963788.000000,198662090953.000000,,,917343750.000000,1203529248.000000,23672694496.000000,,,28954237518.000000,,,,14964353297.000000,,4564203596.000000,74276361905.000000,272938452858.000000,,,96565284623.000000,9400000000.000000,,3486098.000000,39443922929.000000,39447409027.000000,3274757698.000000,7605480194.000000,15901646960.000000,,1995512443.000000,242545106.000000,613779540.000000,2851837089.000000,,18084153655.000000,96565284623.000000,25555580024.000000,,1532556903.000000,,141427158.000000,413232742.000000,144897799.000000,699557699.000000,23323465422.000000,25555580024.000000,122120864647.000000,,50000000000.000000,1150000000.000000,99667588211.000000,,,99667588211.000000,,,150817588211.000000,272938452858.000000,250000000.000000
12M 2010,,,89687299714.000000,,42395740158.000000,170688981664.000000,170301893628.000000,387088036.000000,170688981664.000000,6422940363.000000,,,6422940363.000000,53536044637.000000,12410115926.000000,54721967751.000000,429863090213.000000,,,,2184209586.000000,58895311196.000000,,31240557873.000000,,,,1278208926.000000,,,3783625425.000000,97381913006.000000,527245003219.000000,,,171778520625.000000,,,3486098.000000,90789336741.000000,90792822839.000000,3155265440.000000,38673974100.000000,31702004731.000000,,3845944582.000000,141427159.000000,1628198489.000000,5615570230.000000,271129630.000000,1567753655.000000,171778520625.000000,48622186146.000000,,,,,6213739910.000000,652164210.000000,6865904120.000000,41756282026.000000,48622186146.000000,220400706771.000000,,50000000000.000000,1150000000.000000,255694296448.000000,255694296448.000000,,255694296448.000000,,,306844296448.000000,527245003219.000000,1000000000.000000
12M 2011,,,433095853027.000000,,3750000000.000000,142265362484.000000,141853840467.000000,411522017.000000,142265362484.000000,471734000.000000,,,471734000.000000,68999843301.000000,100001000.000000,99787260818.000000,748470054630.000000,,,,3764344051.000000,84764762512.000000,,,30329047908.000000,,,,,,110564687219.000000,229422841690.000000,977892896320.000000,,,265049456703.000000,,,,100114001306.000000,100114001306.000000,8045803783.000000,73482015770.000000,35468709224.000000,,5433447989.000000,,2410478631.000000,7843926620.000000,,40095000000.000000,265049456703.000000,55695505291.000000,,,,,4153148734.000000,633156525.000000,4786305259.000000,50909200032.000000,55695505291.000000,320744961994.000000,,50000000000.000000,1150000000.000000,605897888967.000000,3000000000.000000,602897888967.000000,605897888967.000000,100045359.000000,,657147934326.000000,977892896320.000000,1000000000.000000
12M 2012,,,7654395.000000,,493882.000000,17261960.000000,17220201.000000,41759.000000,17261960.000000,1064004.000000,,,1064004.000000,10682084.000000,,11270351.000000,48426676.000000,,,,384573.000000,35580280.000000,80456.000000,8120951.000000,,,,,,2117760.000000,9090812.000000,55374832.000000,103801508.000000,,,24864784.000000,,,,13005453.000000,13005453.000000,2168690.000000,1409026.000000,3825761.000000,,448332.000000,,114353.000000,562685.000000,,3893169.000000,24864784.000000,5637883.000000,,,,,,12622.000000,12622.000000,5625261.000000,5637883.000000,30502667.000000,,24039183.000000,588536.000000,78719017.000000,426873.000000,78292144.000000,78719017.000000,1534413.000000,-31582308.000000,73298841.000000,103801508.000000,1000000000.000000
12M 2013,,,8577527.000000,,453428.000000,9525607.000000,9488212.000000,37395.000000,9525607.000000,875098.000000,,,875098.000000,9680244.000000,,19448268.000000,48560172.000000,,,,479277.000000,35721908.000000,47872.000000,6203359.000000,,,,,,6921470.000000,8153644.000000,57527530.000000,106087702.000000,,,27986852.000000,,,,14185904.000000,14185904.000000,1547885.000000,1193141.000000,3762634.000000,,329559.000000,,19344.000000,348903.000000,,6948385.000000,27986852.000000,4750144.000000,,,,,528210.000000,,528210.000000,4221934.000000,4750144.000000,32736996.000000,,24039183.000000,588536.000000,89062819.000000,521543.000000,88541276.000000,89062819.000000,1730347.000000,-42070179.000000,73350706.000000,106087702.000000,1000000000.000000
12M 2014,,,2649485.000000,,348678.000000,4334114.000000,4289765.000000,44349.000000,4334114.000000,1154414.000000,,,1154414.000000,8641594.000000,,22600035.000000,39728320.000000,,18045114.000000,,181715.000000,17997552.000000,31270.000000,4128509.000000,,,,,,12450616.000000,7005595.000000,59840371.000000,99568691.000000,,,23565893.000000,,,,10388308.000000,10388308.000000,2538613.000000,2439294.000000,1292213.000000,,526726.000000,,12665.000000,539391.000000,,6368074.000000,23565893.000000,3808396.000000,4106.000000,,,,459305.000000,5010.000000,464315.000000,3339975.000000,3808396.000000,27374289.000000,,24039183.000000,588536.000000,88985525.000000,605683.000000,88379842.000000,88985525.000000,1656577.000000,-43075419.000000,72194402.000000,99568691.000000,1000000000.000000
12M 2015,,,6716388.000000,,320845.000000,8116569.000000,8110652.000000,5917.000000,8116569.000000,909886.000000,,,909886.000000,6409421.000000,,16135582.000000,38608691.000000,,17886616.000000,,408228.000000,16242228.000000,6196.000000,3968668.000000,,445459.000000,3504176.000000,,,12072601.000000,5398712.000000,59932884.000000,98541575.000000,,,17395279.000000,,,,7480480.000000,7480480.000000,2143688.000000,1284030.000000,1908674.000000,,359210.000000,,29901.000000,389111.000000,,4189296.000000,17395279.000000,4385131.000000,1671.000000,1382461.000000,,,100095.000000,13317.000000,113412.000000,2887587.000000,4385131.000000,21780410.000000,,24039183.000000,578353.000000,94688269.000000,679988.000000,94008281.000000,94688269.000000,3821310.000000,-46365950.000000,76761165.000000,98541575.000000,1000000000.000000
12M 2016,,,13225604.000000,,2253760.000000,5258636.000000,5240983.000000,17653.000000,5258636.000000,940116.000000,,,940116.000000,8223960.000000,,9628511.000000,39530587.000000,,19493258.000000,,251774.000000,15157724.000000,,4086098.000000,,2735765.000000,1440848.000000,,,11785777.000000,4226919.000000,59178163.000000,98708750.000000,,,9758434.000000,,,,4361535.000000,4361535.000000,219443.000000,2601727.000000,695493.000000,,100095.000000,,23133.000000,123228.000000,,1757008.000000,9758434.000000,4540610.000000,386.000000,1370910.000000,,291301.000000,,6931.000000,298232.000000,2871082.000000,4540610.000000,14299044.000000,,24039183.000000,578353.000000,102977365.000000,755006.000000,102222359.000000,102977365.000000,2406804.000000,-45591999.000000,84409706.000000,98708750.000000,1000000000.000000
12M 2017,,,18011061.000000,,3190593.000000,5291058.000000,5283094.000000,7964.000000,5291058.000000,604989.000000,,,604989.000000,5472444.000000,,7640903.000000,40211048.000000,,19513264.000000,,515307.000000,15134440.000000,5608.000000,4286476.000000,,7289780.000000,1428937.000000,,,12340865.000000,4327873.000000,64842550.000000,105053598.000000,,,11357496.000000,,,,6284173.000000,6284173.000000,114041.000000,2829032.000000,992171.000000,,,92536.000000,49459.000000,141995.000000,,996084.000000,11357496.000000,5076203.000000,228.000000,1237788.000000,,1188185.000000,,,1188185.000000,2650002.000000,5076203.000000,16433699.000000,,24039183.000000,578353.000000,111106120.000000,828818.000000,110277302.000000,111106120.000000,2209318.000000,-49313075.000000,88619899.000000,105053598.000000,5000000000.000000
