Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,808 B,(305 B),503 B,49.48
12M 2009,"1,364 B",(278 B),"1,086 B",106.93
12M 2010,"1,254 B",(470 B),784 B,77.21
12M 2011,"1,473 B",(469 B),"1,004 B",98.90
12M 2012,"1,376 B",(783 B),593 B,11.68
12M 2013,927 B,(994 B),(67 B),-1.42
12M 2014,"2,316 B",(751 B),"1,565 B",33.40
12M 2015,"2,457 B",(904 B),"1,553 B",33.14
12M 2016,"2,160 B","(1,039 B)","1,121 B",23.91
12M 2017,"2,008 B","(1,164 B)",844 B,18.02
12M 2018,"2,771 B","(1,341 B)","1,430 B",30.51
12M 2019,"2,503 B","(1,733 B)",770 B,16.42
12M 2020,"4,222 B",(927 B),"3,295 B",70.28
12M 2021,"2,826 B",(504 B),"2,322 B",49.54
12M 2022,"1,272 B",(705 B),566 B,12.08
12M 2023,"2,907 B",(882 B),"2,026 B",43.22
12M 2024,"4,785 B",(908 B),"3,877 B",82.71
