Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2010,1.15,0.53,0.42,3.95,0.04,0.01,0.16,0.11,2.95
12M 2011,1.05,0.39,0.27,5.4,0.0,0.0,0.02,0.05,4.4
12M 2012,1.17,0.4,1.52,3.61,0.0,0.0,1.41,0.42,2.6
12M 2013,1.37,0.32,0.89,3.07,0.0,0.0,0.87,0.29,2.07
12M 2014,1.34,0.45,0.84,3.11,0.0,0.0,0.75,0.27,2.11
12M 2015,1.3,0.45,1.19,2.95,0.0,0.0,1.16,0.4,1.95
12M 2016,1.6,0.65,1.48,3.09,0.0,0.0,1.46,0.48,2.09
12M 2017,1.42,0.86,0.68,3.06,0.0,0.0,0.48,0.22,2.06
12M 2018,1.12,0.54,0.23,3.52,0.0,0.0,-0.01,0.07,0.0
12M 2019,1.08,0.41,1.4,3.88,0.0,0.0,1.32,0.36,2.87
12M 2020,0.95,0.34,2.68,5.23,0.0,0.0,2.6,0.51,4.22
12M 2021,0.97,0.5,0.41,3.3,0.0,0.0,0.27,0.12,2.3
12M 2022,0.95,0.55,0.7,5.02,0.0,0.0,-0.19,0.14,4.02
12M 2023,0.9,0.3,2.73,7.33,0.0,0.0,2.49,0.37,0.0
12M 2024,0.85,0.32,4.68,8.72,0.0,0.0,4.42,0.54,7.71
