Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Untuk Beban Usaha,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak,Penempatan Pada Kas Yang Dibatasi Penggunannya,Penerimaan (Pembayaran) Lainnya,Kenaikan (Penurunan) Liabilitas Lainnya,Pembayaran Pinjaman Jangka Panjang,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Untuk Aset Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pengeluaran Untuk Piutang Berelasi Non Usaha,Kenaikan Utang Non Usaha Pihak Berelasi,Penerimaan (Pembayaran) Dari Utang Jangka Pendek,Penerimaan Dari Utang Bank Jangka Panjang,Pembayaran Dari Utang Jangka Panjang,Kenaikan Utang Sewa Pembiayaan,Pembayaran Utang Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2013,-10380729276.000000,119605131724.000000,-75356638358.000000,-17524042060.000000,-5228917426.000000,,-1293484955.000000,-2050108595.000000,,-11499388957.000000,,-17033280649.000000,-10380729276.000000,-5198447515.000000,-4822920187.000000,-375527328.000000,-5198447515.000000,20152619462.000000,-4961419775.000000,,,25114039237.000000,,,,20152619462.000000,4573442671.000000,744016468.000000,,5317459139.000000
12M 2014,-425161945.000000,129837529275.000000,-99978130588.000000,-15378209045.000000,-6454176355.000000,7227293.000000,-1613560482.000000,-3460773346.000000,,7459835160.000000,,-10844903857.000000,-425161945.000000,-1723010305.000000,-1723010305.000000,,-1723010305.000000,-207834000.000000,,,,,,,-207834000.000000,-207834000.000000,-2356006250.000000,5317459137.000000,,2961452887.000000
12M 2015,14515760919.000000,186876265103.000000,-140189025124.000000,-18352744091.000000,-8228514632.000000,9549915.000000,-994889537.000000,-7168308035.000000,,4772284060.000000,,-2208856740.000000,14515760919.000000,-15608778346.000000,-15608778346.000000,,-15608778346.000000,-56682000.000000,,,,,,,-56682000.000000,-56682000.000000,-1149699427.000000,2961452887.000000,,1811753460.000000
12M 2016,25539705507.000000,193516088455.000000,-134365649326.000000,-17067754708.000000,-10171615323.000000,5268751.000000,-791290415.000000,-7085341927.000000,,1500000000.000000,,,25539705507.000000,-15409907380.000000,-15409907380.000000,,-15409907380.000000,-6440521028.000000,-8979113766.000000,,,3221827138.000000,,,-683234400.000000,-6440521028.000000,3689277099.000000,1811753460.000000,,5501030559.000000
12M 2017,190184827.000000,205273995116.000000,-143567340193.000000,-32046380103.000000,-11860239601.000000,34390086.000000,-2445220253.000000,-8854395662.000000,,-6344624563.000000,,,190184827.000000,-2378288900.000000,-2378288900.000000,,-2378288900.000000,4401583798.000000,,,,4356524298.000000,,,45059500.000000,4401583798.000000,2213479725.000000,5501030558.000000,,7714510283.000000
12M 2018,1026209700.000000,56058971974.000000,-28061441064.000000,-14416912590.000000,-14050303213.000000,42079015.000000,-2007559242.000000,-2575992586.000000,,6037367406.000000,,,1026209700.000000,-6661551569.000000,-6661551569.000000,,-6661551569.000000,1303151299.000000,,,,2820169099.000000,,,-1517017800.000000,1303151299.000000,-4332190570.000000,7714510283.000000,,3382319713.000000
12M 2019,16511756358.000000,193070688715.000000,-141302159703.000000,-19151090655.000000,-15467653788.000000,46910520.000000,-2272930321.000000,-595786928.000000,,2183778518.000000,,,16511756358.000000,-8643493121.000000,-8643493121.000000,,-8643493121.000000,-6224239043.000000,,,,-5734873043.000000,,,-489366000.000000,-6224239043.000000,1644024194.000000,3382319713.000000,,5026343907.000000
12M 2020,5617112638.000000,209508989579.000000,-143335836454.000000,-35928586919.000000,-15596321207.000000,75911539.000000,-2514541698.000000,-4558988407.000000,-2574557440.000000,541043645.000000,,,5617112638.000000,-6931699606.000000,-6931699606.000000,,-6931699606.000000,3755635092.000000,,,,3863230792.000000,,,-107595700.000000,3755635092.000000,2441048124.000000,5026343909.000000,,7467392033.000000
12M 2021,2692267935.000000,195451885016.000000,-144346453066.000000,-29768275819.000000,-16043695038.000000,45403184.000000,-2454268820.000000,-3946884962.000000,2574557440.000000,1180000000.000000,,,2692267935.000000,-5874775983.000000,-7183906818.000000,1309130835.000000,-5874775983.000000,-1501625314.000000,,,-9086523.000000,,-2666666664.000000,,1174127873.000000,-1501625314.000000,-4684133362.000000,7467392035.000000,,2783258673.000000
12M 2022,22340095182.000000,191595851424.000000,-121866914213.000000,-25042299785.000000,-15762352558.000000,46987218.000000,-3210860201.000000,-4094529857.000000,-2866703129.000000,3540916283.000000,,,22340095182.000000,-105699560961.000000,-106365531581.000000,665970620.000000,-105699560961.000000,90641978864.000000,26389318182.000000,,194632807.000000,,63674069080.000000,,383958795.000000,90641978864.000000,7282513085.000000,2783258675.000000,,10065771760.000000
12M 2023,25171223117.000000,189689761596.000000,-143214340541.000000,-13695944305.000000,-12887829862.000000,59917013.000000,-2147167897.000000,-2783458429.000000,-1188873403.000000,11339158945.000000,,,25171223117.000000,-90385005474.000000,-90385005474.000000,,-90385005474.000000,57684068065.000000,33060866757.000000,,4397453.000000,,26187747118.000000,,-1568943263.000000,57684068065.000000,-7529714292.000000,10065771760.000000,,2536057468.000000
12M 2024,18206128340.000000,241487382765.000000,-175041071226.000000,-6526999050.000000,-12744682934.000000,89415349.000000,-14855233669.000000,-5684943263.000000,-5878461669.000000,-2639277963.000000,,,18206128340.000000,-6195067099.000000,-6195067099.000000,,-6195067099.000000,-14081669866.000000,-28650000000.000000,,-3474780.000000,,21095737300.000000,936390793.000000,-7460323179.000000,-14081669866.000000,-2070608625.000000,2536057468.000000,,465448843.000000
