Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Dari Tagihan Pajak,Penerimaan Dari Pendapatan Bunga,Pembayaran Kepada Pemasok,Pembayaran Beban Usaha Dan Lainnya,Pembayaran Kepada Karyawan,"(Pembayaran)/Penerimaan Operasi Lainnya, Neto",Pembayaran Untuk Pajak,Pembayaran Untuk Beban Bunga Dan Beban Bank,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penarikan (Penempatan) Investasi Jangka Pendek,Penempatan (Penarikan) Kas Dan Deposito Berjangka Yang Dibatasi Penggunaannya,Penarikan Kas Dan Deposito Berjangka Yang Dibatas Penggunaannya,Penerimaan Dividen Kas,"Penerimaan Dari Pelepasan Perusahaan, Bersih","Penerimaan Dari Penjualan Investasi Jangka Panjang, Bersih",Penambahan Penyertaan Pada Saham,Penerimaan Atas Penjualan Saham Entitas Anak,Perolehan Aset Tetap,Penerimaan Dari Divestasi Entitas Anak,Akuisisi Entitas Anak,Pembayaran Atas Penambahan Investasi Pada Entitas Asosiasi Dan Ventura Bersama,Hasil Kompensasi Sewa Properti Investasi,Hasil Dari Penjualan Aset Tetap,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Hutang Bank,Penerimaan Pinjaman Bank,Penerimaan (Pembayaran) Pinjaman Jangka Pendek,Pembayaran Pinjaman Bank,Penerimaan Dari Penerbitan Obligasi Wajib Konversi,"Penerimaan Bank Jangka Pendek, Neto",Penerimaan Pinjaman Jangka Panjang,Penerimaan Deposit Untuk Divestasi Anak Perusahaan,Pembayaran Liabilitas Sewa,Pembayaran Atas Pinjaman Kredit Sindikasi,Pembayaran Deposit Untuk Divestasi Anak Perusahaan,"Penerimaan Dari Pihak Yang Mempunyai Hubungan Istimewa, Bersih",Pembayaran Pinjaman Jangka Panjang,Pembayaran Untuk Beban Bunga,Pembayaran Dividen Kas,Pembayaran Dividen Ke Entitas Non Pengendali,Pembayaran Untuk Program Kemitraan Dan Bina Lingkungan,Setoran Modal Dari Kepentingan Non Pengendali,"Hasil Dari Penawaran Umum Saham Perdana, Neto",Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Pengurangan Kas Dan Setara Kas Karena Kehilangan Pengendalian,Dampak Reklasifikasi Ke Aset Tidak Lancar Yang Dikuasai Untuk Dijual,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2007,275196000000.000000,14997367000000.000000,115867000000.000000,28867000000.000000,-12396574000000.000000,-643707000000.000000,-1086452000000.000000,,-505476000000.000000,-234696000000.000000,,275196000000.000000,-170718000000.000000,-27967000000.000000,,,,,2680000000.000000,,,-167558000000.000000,,,,,22127000000.000000,,-170718000000.000000,-316631000000.000000,-388674000000.000000,,,,,,,,,,,73511000000.000000,,,,,-1468000000.000000,,,,-316631000000.000000,,-212153000000.000000,851821000000.000000,-3068000000.000000,,,,636600000000.000000
12M 2008,607123000000.000000,22374497000000.000000,118555000000.000000,43608000000.000000,-17998454000000.000000,-1491388000000.000000,-1237655000000.000000,,-899330000000.000000,-302710000000.000000,,607123000000.000000,-203210000000.000000,36276000000.000000,,,2638000000.000000,,,,,-247417000000.000000,,,,,5293000000.000000,,-203210000000.000000,-7468000000.000000,67919000000.000000,,,,,,,,,,,,,,-95128000000.000000,,-1509000000.000000,21250000000.000000,,,-7468000000.000000,,396445000000.000000,636600000000.000000,67448000000.000000,,,,1100493000000.000000
12M 2009,883379000000.000000,16811147000000.000000,246089000000.000000,35862000000.000000,-12672227000000.000000,-1269302000000.000000,-1130051000000.000000,,-635863000000.000000,-502276000000.000000,,883379000000.000000,-18216000000.000000,-113495000000.000000,,,32628000000.000000,536062000000.000000,,,,-473600000000.000000,,,,,189000000.000000,,-18216000000.000000,-184001000000.000000,-51280000000.000000,,,,,,,,,,,,,,-137872000000.000000,,-13839000000.000000,18990000000.000000,,,-184001000000.000000,,681162000000.000000,1100493000000.000000,-21691000000.000000,,,,1759964000000.000000
12M 2010,848429000000.000000,15801149000000.000000,152329000000.000000,61942000000.000000,-11249618000000.000000,-1298371000000.000000,-1615466000000.000000,,-756326000000.000000,-247210000000.000000,,848429000000.000000,-1028399000000.000000,142550000000.000000,-122203000000.000000,,13270000000.000000,,,-5372000000.000000,,-1061880000000.000000,,,,,5236000000.000000,,-1028399000000.000000,2663432000000.000000,147083000000.000000,,,,,,,,,,,,,,-148402000000.000000,,-20367000000.000000,92104000000.000000,2593014000000.000000,,2663432000000.000000,,2483462000000.000000,1759964000000.000000,-49828000000.000000,,,,4193598000000.000000
12M 2011,245651000000.000000,18533380000000.000000,232048000000.000000,118363000000.000000,-13956776000000.000000,-2008335000000.000000,-1504542000000.000000,,-1008690000000.000000,-159797000000.000000,,245651000000.000000,-1641599000000.000000,-128352000000.000000,14645000000.000000,,11793000000.000000,,,-16651000000.000000,,-1529769000000.000000,,,,,6735000000.000000,,-1641599000000.000000,700916000000.000000,606421000000.000000,,,,,,630613000000.000000,,,,,,-218222000000.000000,-214078000000.000000,-94650000000.000000,,-53718000000.000000,44550000000.000000,,,700916000000.000000,,-695032000000.000000,4193598000000.000000,94949000000.000000,,,,3593515000000.000000
12M 2012,20448000.000000,2349059000.000000,6049000.000000,9381000.000000,-1915268000.000000,-49073000.000000,-120520000.000000,,-246893000.000000,-12287000.000000,,20448000.000000,-193141000.000000,10074000.000000,-13766000.000000,,944000.000000,,,-19895000.000000,,-170514000.000000,,,,,16000.000000,,-193141000.000000,56695000.000000,,,,,,100318000.000000,25258000.000000,,,,,,-14854000.000000,-25741000.000000,-25242000.000000,,-3044000.000000,,,,56695000.000000,,-115998000.000000,396285000.000000,-10020000.000000,,,,270267000.000000
12M 2013,138875000.000000,2320122000.000000,44653000.000000,6294000.000000,-1780829000.000000,-84006000.000000,-117109000.000000,,-239382000.000000,-10868000.000000,,138875000.000000,-201590000.000000,4143000.000000,-1375000.000000,,271000.000000,,,-30524000.000000,,-177676000.000000,,,,,3571000.000000,,-201590000.000000,-14841000.000000,,,,,,-6957000.000000,39041000.000000,,,,,,-7962000.000000,-37177000.000000,,,-1786000.000000,,,,-14841000.000000,,-77556000.000000,270267000.000000,-2479000.000000,,,,190232000.000000
12M 2014,-2298000.000000,1982439000.000000,25841000.000000,4886000.000000,-1598674000.000000,-72891000.000000,-120932000.000000,,-215830000.000000,-7137000.000000,,-2298000.000000,-226097000.000000,7810000.000000,-28525000.000000,,43000.000000,,,-28897000.000000,,-199068000.000000,,,,,22540000.000000,,-226097000.000000,280512000.000000,,,,,,236671000.000000,121775000.000000,,,,,,-24398000.000000,-53748000.000000,-8000.000000,,,220000.000000,,,280512000.000000,,52117000.000000,190232000.000000,-5660000.000000,,,,236689000.000000
12M 2015,-73922000.000000,1481455000.000000,20217000.000000,4657000.000000,-1225701000.000000,-74425000.000000,-125332000.000000,,-144007000.000000,-10786000.000000,,-73922000.000000,-228044000.000000,,-26197000.000000,,398000.000000,447000.000000,,-16960000.000000,,-191059000.000000,,,,,5327000.000000,,-228044000.000000,202084000.000000,,,,,,106741000.000000,222335000.000000,,,,,,-54702000.000000,-72290000.000000,,,,,,,202084000.000000,,-99882000.000000,236689000.000000,-4218000.000000,,,,132589000.000000
12M 2016,67215000.000000,1507488000.000000,21850000.000000,9059000.000000,-1164276000.000000,-111186000.000000,-158129000.000000,,-19805000.000000,-17786000.000000,,67215000.000000,-101460000.000000,-1005000.000000,36636000.000000,,218000.000000,718000.000000,,-13954000.000000,,-146946000.000000,,,,22208000.000000,665000.000000,,-101460000.000000,171770000.000000,,,,,,-249759000.000000,411676000.000000,,,,,,-31602000.000000,-95708000.000000,,,,,137163000.000000,,171770000.000000,,137525000.000000,132589000.000000,-5160000.000000,,,,264954000.000000
12M 2017,204160000.000000,1590570000.000000,24462000.000000,16488000.000000,-1121249000.000000,-119972000.000000,-151826000.000000,,-21767000.000000,-12546000.000000,,204160000.000000,-151995000.000000,-729000.000000,821000.000000,,426000.000000,,,-51000.000000,,-157374000.000000,,,,,4912000.000000,,-151995000.000000,-38772000.000000,,,,,,28998000.000000,47987000.000000,,,,,,-30613000.000000,-85144000.000000,,,,,,,-38772000.000000,,13393000.000000,264954000.000000,2523000.000000,,,,280870000.000000
12M 2018,-80151000.000000,1876498000.000000,17954000.000000,17197000.000000,-1636684000.000000,-134110000.000000,-178930000.000000,,-22379000.000000,-19697000.000000,,-80151000.000000,-274238000.000000,1734000.000000,1647000.000000,,976000.000000,,,-1295000.000000,,-277307000.000000,,,,,7000.000000,,-274238000.000000,242220000.000000,,,,,,232384000.000000,135417000.000000,,,,,,-38521000.000000,-87060000.000000,,,,,,,242220000.000000,,-112169000.000000,280870000.000000,4586000.000000,,,,173287000.000000
12M 2019,176125000.000000,1441097000.000000,22971000.000000,7141000.000000,-1065412000.000000,,-203834000.000000,5589000.000000,-14910000.000000,-16517000.000000,,176125000.000000,-237055000.000000,,-37709000.000000,,1099000.000000,,,,,-200119000.000000,,,-1329000.000000,,1003000.000000,,-237055000.000000,12027000.000000,,,,,,69718000.000000,74220000.000000,35969000.000000,,,,,-46509000.000000,-121371000.000000,,,,,,,12027000.000000,,-48903000.000000,173287000.000000,5865000.000000,,,,130249000.000000
