Period,Aset,Kas Dan Setara Kas,Deposito Pada Lembaga Kliring Dan Penjaminan,Portofolio Efek,Pihak Ketiga,Pihak Berelasi,Total Portofolio Efek,Piutang Pada Lembaga Kliring Dan Penjaminan,Piutang Nasabah,Pihak Ketiga,Pihak Berelasi,Total Piutang Nasabah,Piutang Pihak Berelasi,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Bagian Lancar Atas Liabilitas Jangka Panjang,Piutang Lain-Lain,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Beban Akrual,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Bank Jangka Pendek,Utang Bank,Utang Obligasi,Utang Pada Lembaga Kliring Dan Penjaminan,Utang Nasabah,Pihak Ketiga,Pihak Berelasi,Total Utang Nasabah,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Beban Akrual,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Konversi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,42291086341.000000,2616631789.000000,,122165299254.000000,31405948426.000000,153571247680.000000,5997212500.000000,,13414373658.000000,2658909640.000000,16073283298.000000,508273800.000000,,,,,3046061809.000000,,,3046061809.000000,,8401556566.000000,,,,,,,,145040024439.000000,377545378222.000000,,,,,119357958364.000000,17751047000.000000,60338957145.000000,59640812462.000000,698144683.000000,60338957145.000000,,,,,4310946604.000000,48211999302.000000,,,48211999302.000000,3792517422.000000,2209006595.000000,2209006595.000000,,2209006595.000000,,1205068334.000000,,,,,,3874941301.000000,261052442067.000000,,58400000000.000000,13756103658.000000,44336832497.000000,,,44336832497.000000,,,116492936155.000000,377545378222.000000,584000000.000000
12M 2009,,25637390447.000000,2846957939.000000,,133227157700.000000,21999114051.000000,155226271751.000000,67648793500.000000,,70180714704.000000,14355219728.000000,84535934432.000000,640040000.000000,,,,,3002607387.000000,,,3002607387.000000,,10178050736.000000,,,,,,,,128510378798.000000,478226424990.000000,,,,22000000000.000000,74868971095.000000,66301807000.000000,143120505036.000000,141425940290.000000,1694564746.000000,143120505036.000000,,,,,3910655573.000000,17883269367.000000,,,17883269367.000000,1886162848.000000,1564069815.000000,1564069815.000000,,1564069815.000000,,2338145336.000000,,,,,,16002026416.000000,349875612486.000000,,58400000000.000000,13756103658.000000,56194708846.000000,,,56194708846.000000,,,128350812504.000000,478226424990.000000,584000000.000000
12M 2010,,206341415968.000000,3010543625.000000,,103996719632.000000,66158109937.000000,170154829569.000000,85205447000.000000,,163239607907.000000,18004011563.000000,181243619470.000000,708740029.000000,,,,,3038161250.000000,,,3038161250.000000,,12077987106.000000,,,,,,,,150586073090.000000,812366817107.000000,,,,,,134394413000.000000,424795531174.000000,400405084625.000000,24390446549.000000,424795531174.000000,,,,,5102942009.000000,16078889059.000000,,,16078889059.000000,2284971632.000000,734852610.000000,734852610.000000,,734852610.000000,,7930095829.000000,,,,,,67068421732.000000,658390117045.000000,,60736000000.000000,11420103658.000000,81820596401.000000,,,81820596401.000000,,,153976700059.000000,812366817104.000000,607360000.000000
12M 2011,,74259951630.000000,3183528915.000000,,,,,73757183000.000000,,130104776987.000000,7626003058.000000,137730780045.000000,,,,,,1419290461.000000,,,1419290461.000000,,9981857677.000000,,2444870594.000000,,,,,,419781503466.000000,722558965788.000000,,,,,,32580021000.000000,361801082541.000000,334659729693.000000,27141352848.000000,361801082541.000000,,,,,781661945.000000,9716459602.000000,,,9716459602.000000,4743873929.000000,1559441526.000000,1559441526.000000,,1559441526.000000,,,,,,,,44118587777.000000,455301128320.000000,,75920000000.000000,101982402009.000000,89331707404.000000,450000000.000000,88881707404.000000,89331707404.000000,23728055.000000,,267257837468.000000,722558965788.000000,759200000.000000
12M 2012,,83709919862.000000,3328514530.000000,159235995733.000000,,,159235995733.000000,50069241000.000000,,149963947015.000000,68689964481.000000,218653911496.000000,,,,,,1368396583.000000,,,1368396583.000000,,12913647593.000000,,2814380156.000000,,,,,,34883436122.000000,566977443075.000000,,,,50000000000.000000,,57424389000.000000,125069986982.000000,124877968232.000000,192018750.000000,125069986982.000000,,,,,826702706.000000,4589916176.000000,,,4589916176.000000,4474731579.000000,1863117186.000000,1863117186.000000,,1863117186.000000,,,,,,,,21463642110.000000,265712485739.000000,,79234257250.000000,122530796958.000000,99474558527.000000,500000000.000000,98974558527.000000,99474558527.000000,25344601.000000,,301264957336.000000,566977443075.000000,3169370290.000000
12M 2013,,38485177269.000000,3613359654.000000,127541784725.000000,,,127541784725.000000,50665191500.000000,,138782858593.000000,73189307031.000000,211972165624.000000,,,,,,1937448641.000000,,,1937448641.000000,,15259360180.000000,250037876.000000,4044885203.000000,,,,,,34521614078.000000,488291024750.000000,,,,,,24095267500.000000,111974356517.000000,88985337606.000000,22989018911.000000,111974356517.000000,,,,,1122183255.000000,4801665073.000000,,,4801665073.000000,6699959672.000000,2022268648.000000,2022268648.000000,,2022268648.000000,,,,,,,,14851399552.000000,165567100217.000000,,79938052900.000000,126894329988.000000,115863241312.000000,550000000.000000,115313241312.000000,115863241312.000000,28300333.000000,,322723924533.000000,488291024750.000000,3197522116.000000
12M 2014,,63748838720.000000,3822232876.000000,,164371674974.000000,183730626000.000000,348102300974.000000,97795318200.000000,,141300511412.000000,9128837149.000000,150429348561.000000,,,,,,2003553215.000000,,,2003553215.000000,,16721413547.000000,260643937.000000,6087270304.000000,,,,,,92464373817.000000,781435294151.000000,,,,,,87487243900.000000,195103733458.000000,160072744609.000000,35030988849.000000,195103733458.000000,,,,,906291713.000000,865230972.000000,865230972.000000,,865230972.000000,2342068451.000000,3761110183.000000,3761110183.000000,,3761110183.000000,,,,,,,,23400410304.000000,313866088981.000000,,91042350500.000000,195740975108.000000,180751412150.000000,600000000.000000,180151412150.000000,180751412150.000000,34467412.000000,,467569205170.000000,781435294151.000000,3641694020.000000
12M 2015,,91355649289.000000,29049911163.000000,,75602083466.000000,238893539500.000000,314495622966.000000,19388369100.000000,,100267830288.000000,558599756.000000,100826430044.000000,,,,,,26267955414.000000,,,26267955414.000000,,13954239370.000000,219280301.000000,13148432853.000000,,,,,,76241802262.000000,684947692762.000000,,,,,,16033290400.000000,89015353467.000000,79764059150.000000,9251294317.000000,89015353467.000000,,,,,1086200183.000000,25985349619.000000,25985349619.000000,,25985349619.000000,4684772098.000000,1868981608.000000,1868981608.000000,,1868981608.000000,,,,,,,,28852385744.000000,167526333119.000000,,91042350500.000000,195740975108.000000,230596440194.000000,650000000.000000,229946440194.000000,230596440194.000000,41593841.000000,,517421359643.000000,684947692762.000000,3641694020.000000
12M 2016,,90251621065.000000,24245112435.000000,,5455264800.000000,363956543987.000000,369411808787.000000,10251112800.000000,,515370327986.000000,15874208719.000000,531244536705.000000,,,,,,,22431422590.000000,79936500000.000000,102367922590.000000,,13095023731.000000,349805870.000000,17124631975.000000,,,,,,104773783089.000000,1263115359047.000000,,,,,,76175788400.000000,175556332800.000000,170221093620.000000,5335239180.000000,175556332800.000000,,,,,2246521374.000000,64094854024.000000,64094754024.000000,100000.000000,64094854024.000000,6043536427.000000,2649367696.000000,2649367696.000000,,2649367696.000000,,,,,,,,255806446708.000000,582572847429.000000,,91042350500.000000,195878818708.000000,393564905307.000000,700000000.000000,392864905307.000000,393564905307.000000,56437103.000000,,680542511618.000000,1263115359047.000000,18208470100.000000
12M 2017,,201453803317.000000,,,5730346200.000000,508187115115.000000,513917461315.000000,,,,,,,,372275497903.000000,51934435153.000000,424209933056.000000,,24467519709.000000,86462022547.000000,110929542256.000000,235792017738.000000,20491973733.000000,570891480.000000,20365024290.000000,,,,,,476482501905.000000,2004213149090.000000,,,36446990334.000000,,,,,,,,307189153471.000000,292170276873.000000,15018876598.000000,307189153471.000000,2744559971.000000,212413957991.000000,195782213932.000000,16631744059.000000,212413957991.000000,7224360351.000000,4106498788.000000,2365996152.000000,1740502636.000000,4106498788.000000,,,,,,,,90980639409.000000,661106160315.000000,,91042350500.000000,212488958977.000000,678844883779.000000,750000000.000000,678094883779.000000,678844883779.000000,360730795519.000000,,1343106988775.000000,2004213149090.000000,18208470100.000000
