Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.58 B,7.28,39.97,2.71,,1.13%,3.65%,4.85%,
12M 2009,0.58 B,21.30,17.56,3.16,,2.60%,9.69%,3.60%,
12M 2010,0.61 B,45.27,12.86,2.88,,3.38%,17.86%,8.17%,
12M 2011,0.76 B,17.13,44.37,5.60,,1.80%,4.87%,3.32%,
12M 2012,3.17 B,3.20,85.94,7.14,,1.79%,3.37%,4.08%,1.23
12M 2013,3.20 B,5.13,72.12,8.38,,3.36%,5.08%,7.72%,1.59
12M 2014,3.64 B,18.27,26.55,9.14,,8.51%,14.23%,12.01%,10.49
12M 2015,3.64 B,15.43,137.39,42.27,,8.20%,10.86%,7.86%,18.61
12M 2016,18.21 B,9.06,51.66,30.72,,13.07%,24.25%,15.46%,28.81
12M 2017,18.21 B,15.99,33.15,6.15,,14.53%,29.64%,19.58%,17.39
12M 2018,18.21 B,27.65,23.69,1.65,765.15 B,14.37%,32.88%,27.47%,44.09
12M 2019,18.21 B,11.87,42.12,0.78,461.11 B,5.02%,13.43%,11.45%,22.05
12M 2020,18.21 B,-16.93,-4.96,0.14,(172.94 B),-9.25%,-29.32%,-5.42%,-9.19
12M 2021,18.21 B,-25.20,-3.81,0.14,(265.84 B),-14.63%,-78.81%,-9.80%,-14.93
12M 2022,18.21 B,-5.43,-9.21,0.07,6.00 B,-3.44%,-29.67%,-1.80%,-2.89
12M 2023,18.21 B,-3.06,-16.34,0.08,50.99 B,-1.92%,-31.39%,-0.94%,-1.37
12M 2024,18.21 B,-1.82,-3.30,0.02,56.69 B,-1.19%,-23.04%,-1.47%,-1.94
