Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Operasi Yang Dihentikan,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,124934866806.000000,-63439977292.000000,61494889514.000000,-13795379986.000000,-13090509153.000000,-704870833.000000,-13795379986.000000,47699509528.000000,-36075483171.000000,,,,,-36075483171.000000,11624026357.000000,-1084313140.000000,-1190218700.000000,105905560.000000,-1084313140.000000,10539713217.000000,-5926013922.000000,-3988741245.000000,624958050.000000,,,624958050.000000,10539713217.000000,-5926013922.000000,-3988741245.000000,624958050.000000,,,,
12M 2009,237031910867.000000,-160322473585.000000,76709437282.000000,-15696946025.000000,-14927996025.000000,-768950000.000000,-15696946025.000000,61012491257.000000,-53016238948.000000,,,,,-53016238948.000000,7996252309.000000,-4284663850.000000,-4318551440.000000,33887590.000000,-4284663850.000000,3711588459.000000,-4148915222.000000,-11428807111.000000,-11866133874.000000,,,-11866133874.000000,3711588459.000000,-4148915222.000000,-11428807111.000000,-11866133874.000000,,,,
12M 2010,307577110661.000000,-202546009965.000000,105031100696.000000,-13670926509.000000,-13670926509.000000,,-13670926509.000000,91360174187.000000,-75332006265.000000,,,,,-75332006265.000000,16028167922.000000,-8253873488.000000,-6824708750.000000,-1429164738.000000,-8253873488.000000,7774294434.000000,-7601444122.000000,,172850312.000000,,,172850312.000000,7774294434.000000,-7601444122.000000,,172850312.000000,,,,
12M 2011,359115637000.000000,-242434860000.000000,116680777000.000000,-11807978000.000000,-11807978000.000000,,-11807978000.000000,104872799000.000000,-85628070000.000000,,,,,-85628070000.000000,19244729000.000000,-12740537000.000000,-8109061000.000000,-4631476000.000000,-12740537000.000000,6504192000.000000,,,6504192000.000000,-33000000.000000,6471192000.000000,6504192000.000000,2945572000.000000,3558620000.000000,,6504192000.000000,6471192000.000000,2912572000.000000,3558620000.000000,6471192000.000000
12M 2012,336920981000.000000,-254937832000.000000,81983149000.000000,-12563328000.000000,-12563328000.000000,,-12563328000.000000,69419821000.000000,-45480023000.000000,510945000.000000,-44018680000.000000,,-1972288000.000000,-45480023000.000000,23939798000.000000,-8139833000.000000,-8366580000.000000,226747000.000000,-8139833000.000000,15799965000.000000,,,15799965000.000000,,15799965000.000000,15799965000.000000,10059076000.000000,5740889000.000000,,15799965000.000000,15799965000.000000,10059076000.000000,5740889000.000000,15799965000.000000
12M 2013,301179957000.000000,-248297224000.000000,52882733000.000000,-11789356000.000000,-11789356000.000000,,-11789356000.000000,41093377000.000000,-43802509000.000000,404860000.000000,-32422017000.000000,,-11785352000.000000,-43802509000.000000,-2709132000.000000,-1039046000.000000,-1208854000.000000,169808000.000000,-1039046000.000000,-3748178000.000000,,,-3748178000.000000,,-3748178000.000000,-3748178000.000000,-2644226000.000000,-1103952000.000000,,-3748178000.000000,-3748178000.000000,-2644226000.000000,-1103952000.000000,-3748178000.000000
12M 2014,167429045000.000000,-194179931000.000000,-26750886000.000000,-11759863000.000000,-11759863000.000000,,-11759863000.000000,-38510749000.000000,-33630065000.000000,121117000.000000,-23157433000.000000,,-10593749000.000000,-33630065000.000000,-72140814000.000000,150450000.000000,,150450000.000000,150450000.000000,-71990364000.000000,,,-71990364000.000000,,-71990364000.000000,-71990364000.000000,-43426550000.000000,-28563814000.000000,,-71990364000.000000,-71990364000.000000,-43426550000.000000,-28563814000.000000,-71990364000.000000
12M 2015,158437640.000000,-209010203.000000,-50572563.000000,-9746976.000000,-9746976.000000,,-9746976.000000,-60319539.000000,-22230917.000000,38900.000000,-19879073.000000,,-2390744.000000,-22230917.000000,-82550456.000000,152622.000000,,152622.000000,152622.000000,-82397834.000000,,,-82397834.000000,554276.000000,-81843558.000000,-82397834.000000,-49681206.000000,-32716628.000000,,-82397834.000000,-81843558.000000,-49126930.000000,-32716628.000000,-81843558.000000
12M 2016,174554336000.000000,-208156832000.000000,-33602496000.000000,-10729318000.000000,-10729318000.000000,,-10729318000.000000,-44331814000.000000,-12690948000.000000,24051000.000000,-12234072000.000000,,-480927000.000000,-12690948000.000000,-57022762000.000000,130751000.000000,,130751000.000000,130751000.000000,-56892011000.000000,,,-56892011000.000000,513211000.000000,-56378800000.000000,-56892011000.000000,-34346949000.000000,-22545062000.000000,,-56892011000.000000,-56378800000.000000,-33833738000.000000,-22545062000.000000,-56378800000.000000
12M 2017,121601830000.000000,-188301104000.000000,-66699274000.000000,-10705104000.000000,-10705104000.000000,,-10705104000.000000,-77404378000.000000,-14415169000.000000,26957000.000000,-9344912000.000000,,-5097214000.000000,-14415169000.000000,-91819547000.000000,121593000.000000,,121593000.000000,121593000.000000,-91697954000.000000,,,-91697954000.000000,4606000.000000,-91693348000.000000,-91697954000.000000,-55171139000.000000,-36526815000.000000,,-91697954000.000000,-91693348000.000000,-55166533000.000000,-36526815000.000000,-91693348000.000000
12M 2018,105536904000.000000,-155737845000.000000,-50200941000.000000,-10007338000.000000,-10007338000.000000,,-10007338000.000000,-60208279000.000000,-347248885000.000000,28956000.000000,-6800299000.000000,,-340477542000.000000,-347248885000.000000,-407457164000.000000,154175000.000000,,154175000.000000,154175000.000000,-407302989000.000000,,,-407302989000.000000,676181000.000000,-406626808000.000000,-407302989000.000000,-244567711000.000000,-162735278000.000000,,-407302989000.000000,-406626808000.000000,-243891530000.000000,-162735278000.000000,-406626808000.000000
12M 2019,73754186000.000000,-106066621000.000000,-32312435000.000000,-11284205000.000000,-11284205000.000000,,-11284205000.000000,-43596640000.000000,-43602327000.000000,48911000.000000,-6584520000.000000,,-37066718000.000000,-43602327000.000000,-87198967000.000000,139553000.000000,,139553000.000000,139553000.000000,-87059414000.000000,,,-87059414000.000000,45915000.000000,-87013499000.000000,-87059414000.000000,-84096029000.000000,-2963385000.000000,,-87059414000.000000,-87013499000.000000,-84050114000.000000,-2963385000.000000,-87013499000.000000
12M 2020,14172811000.000000,-53133720000.000000,-38960909000.000000,-9399849000.000000,-9399849000.000000,,-9399849000.000000,-48360758000.000000,-6547521000.000000,14988000.000000,-4565311000.000000,,-1997198000.000000,-6547521000.000000,-54908279000.000000,147445000.000000,,147445000.000000,147445000.000000,-54760834000.000000,,,-54760834000.000000,753373000.000000,-54007461000.000000,-54760834000.000000,-54760834000.000000,,,-54760834000.000000,-54007461000.000000,-54007461000.000000,,-54007461000.000000
12M 2021,,-26628284000.000000,-26628284000.000000,-4580424000.000000,-4580424000.000000,,-4580424000.000000,-31208708000.000000,-77217235000.000000,5434000.000000,-4446406000.000000,,-72776263000.000000,-77217235000.000000,-108425943000.000000,-444140000.000000,,-444140000.000000,-444140000.000000,-108870083000.000000,,,-108870083000.000000,398330000.000000,-108471753000.000000,-108870083000.000000,-108870083000.000000,,,-108870083000.000000,-108471753000.000000,-108471753000.000000,,-108471753000.000000
12M 2022,,,,-2918126150.000000,-2918126150.000000,,-2918126150.000000,-2918126150.000000,236032056832.000000,,-7124856.000000,,236039181688.000000,236032056832.000000,233113930682.000000,,,,,233113930682.000000,,,233113930682.000000,97775000.000000,233211705682.000000,233113930682.000000,233113930682.000000,,,233113930682.000000,233211705682.000000,233211705682.000000,,233211705682.000000
12M 2023,173840919543.000000,-170613746232.000000,3227173311.000000,-11699058691.000000,-11699058691.000000,,-11699058691.000000,-8471885380.000000,4334197748.000000,,-2785181495.000000,,7119379243.000000,4334197748.000000,-4137687632.000000,-17501997.000000,,-17501997.000000,-17501997.000000,-4155189629.000000,,,-4155189629.000000,25319314.000000,-4129870315.000000,-4155189628.000000,-1303577016.000000,-2851612612.000000,,-4155189628.000000,-4129870314.000000,-1280061578.000000,-2849808736.000000,-4129870314.000000
12M 2024,223452157674.000000,-213095997615.000000,10356160059.000000,-12983917461.000000,-12983917461.000000,,-12983917461.000000,-2627757402.000000,-23381506267.000000,,-5387962749.000000,,-17993543518.000000,-23381506267.000000,-26009263669.000000,262824923.000000,,262824923.000000,262824923.000000,-25746438746.000000,,,-25746438746.000000,65491326.000000,-25680947420.000000,-25746438746.000000,-13683761697.000000,-12062677049.000000,,-25746438746.000000,-25680947420.000000,-13618270371.000000,-12062677049.000000,-25680947420.000000
