Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Pihak Berelasi,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Tanah Untuk Dikembangkan,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Pihak Ketiga,Total Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Dari Pihak Berelasi,Utang Bank Jangka Pendek,Utang Pajak,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1055957883.000000,3316341900.000000,3316341900.000000,3316341900.000000,,,,,39967349558.000000,82014525600.000000,126354174941.000000,,48642875128.000000,,,,3128922500.000000,1923890255.000000,,1343313281.000000,55039001164.000000,181393176105.000000,,,21843768752.000000,,8779786042.000000,8779786042.000000,,414362500.000000,18973500.000000,433336000.000000,,6434952437.000000,,6434952437.000000,2212173767.000000,,3043577806.000000,,939942700.000000,21843768752.000000,191161946.000000,,,191161946.000000,191161946.000000,22034930698.000000,,140750000000.000000,22966471550.000000,-4358226143.000000,,,159358245407.000000,181393176105.000000,703750000.000000
12M 2009,,,1217582807.000000,3770416005.000000,3770416005.000000,3770416005.000000,,,,,89477115966.000000,57645241730.000000,152110356508.000000,,25904404093.000000,,,,1696158500.000000,1635643363.000000,,556697853.000000,29792903809.000000,181903260317.000000,,,23374225536.000000,,5600000000.000000,5600000000.000000,,7666764898.000000,18973500.000000,7685738398.000000,,5056133984.000000,,5056133984.000000,2211673767.000000,,858056123.000000,,1962623264.000000,23374225536.000000,236390002.000000,,,236390002.000000,236390002.000000,23610615538.000000,,140750000000.000000,22966471550.000000,-5423826771.000000,,,158292644779.000000,181903260317.000000,1407500000.000000
12M 2010,,,743522685.000000,1821487505.000000,1821487505.000000,1821487505.000000,,,,,81737944232.000000,57626671849.000000,141929626271.000000,,25904404093.000000,,,,999885500.000000,1506237136.000000,,358378956.000000,28768905685.000000,170698531956.000000,,,12648130489.000000,,30843210.000000,30843210.000000,,2979123626.000000,18973500.000000,2998097126.000000,,1022423360.000000,,1022423360.000000,2211673767.000000,,496441562.000000,,5888651464.000000,12648130489.000000,297136500.000000,,,297136500.000000,297136500.000000,12945266989.000000,,140750000000.000000,22966471550.000000,-5963206583.000000,,,157753264967.000000,170698531956.000000,1407500000.000000
12M 2011,,,806090787.000000,2127597000.000000,2127597000.000000,2127597000.000000,,19500000000.000000,19500000000.000000,19500000000.000000,80321861363.000000,38143026663.000000,140898575813.000000,,25904404093.000000,1122385500.000000,1122385500.000000,1122385500.000000,,1384696277.000000,,486355888.000000,28897841758.000000,169796417571.000000,,,12322934542.000000,,,,,3460531647.000000,18973500.000000,3479505147.000000,,292883528.000000,,292883528.000000,2211673767.000000,,475626586.000000,,5863245514.000000,12322934542.000000,1284889253.000000,892789512.000000,,392099741.000000,1284889253.000000,13607823795.000000,,140750000000.000000,22966471550.000000,-6109657800.000000,-1418219974.000000,,156188593776.000000,169796417571.000000,1407500000.000000
12M 2012,,,5004319268.000000,2041781196.000000,2041781196.000000,2041781196.000000,,19515208609.000000,19515208609.000000,19515208609.000000,98181207723.000000,16908898981.000000,141651415777.000000,,25904404093.000000,2719785500.000000,2719785500.000000,2719785500.000000,,1295562480.000000,,2227173883.000000,32146925956.000000,173798341733.000000,,,16458587235.000000,,,,,3748502360.000000,18973500.000000,3767475860.000000,,40749680.000000,2211673767.000000,2252423447.000000,,,220225314.000000,,10218462614.000000,16458587235.000000,1078712687.000000,801805671.000000,,276907016.000000,1078712687.000000,17537299922.000000,,140750000000.000000,22966471550.000000,-5000125225.000000,-2455304515.000000,,156261041810.000000,173798341732.000000,1407500000.000000
12M 2013,,,1269032193.000000,1959068404.000000,1959068404.000000,1959068404.000000,,695518984602.000000,695518984602.000000,695518984602.000000,107913219825.000000,800235785107.000000,1606896090131.000000,,25904404093.000000,9838802949.000000,9838802949.000000,9838802949.000000,,287875998.000000,,9587349319.000000,45618432359.000000,1652514522490.000000,,,26911508799.000000,,,,,6502844104.000000,,6502844104.000000,,2211073767.000000,,2211073767.000000,88024759.000000,18109566169.000000,,,,26911508799.000000,,,,,,26911508799.000000,,563000000000.000000,1076330322800.000000,-11121563148.000000,-2605745961.000000,,1625603013691.000000,1652514522490.000000,5630000000.000000
12M 2014,,,6095428008.000000,6075996270.000000,6075996270.000000,6075996270.000000,,694613851250.000000,694613851250.000000,694613851250.000000,127136915137.000000,800873556919.000000,1634795747584.000000,,25904404093.000000,64676697561.000000,64676697561.000000,64676697561.000000,,609663430.000000,,9920309982.000000,101111075066.000000,1735906822650.000000,,,115225525258.000000,,,,,3394051654.000000,,3394051654.000000,,2211073767.000000,39216179428.000000,41427253195.000000,,,24485777221.000000,1072446660.000000,44845996528.000000,115225525258.000000,1361214080.000000,,,1361214080.000000,1361214080.000000,116586739338.000000,,563000091400.000000,1077213037731.000000,-20603858733.000000,-289187086.000000,,1619320083312.000000,1735906822650.000000,5630000000.000000
12M 2015,,,1848055330.000000,3613013537.000000,3613013537.000000,3613013537.000000,,696136972850.000000,696136972850.000000,696136972850.000000,130693806727.000000,802189131786.000000,1634480980230.000000,,25904404093.000000,41646513278.000000,41646513278.000000,41646513278.000000,,592626673.000000,,9774288858.000000,77917832902.000000,1712398813132.000000,,,91545442860.000000,,,,,5512598838.000000,,5512598838.000000,,3211073767.000000,22186179428.000000,25397253195.000000,,,15169838179.000000,27280000000.000000,18185752648.000000,91545442860.000000,1846295643.000000,,,1846295643.000000,1846295643.000000,93391738503.000000,,563000091400.000000,1077213037731.000000,-24952448784.000000,3746394282.000000,,1619007074629.000000,1712398813132.000000,5630000000.000000
12M 2016,,,1757382509.000000,3613013537.000000,3613013537.000000,3613013537.000000,,557816328916.000000,557816328916.000000,557816328916.000000,256651425590.000000,649364526789.000000,1469202677341.000000,,25904404093.000000,167970712128.000000,167970712128.000000,167970712128.000000,,470077542.000000,,9829713364.000000,204174907127.000000,1673377584468.000000,,,48367585631.000000,,,,,6014208261.000000,,6014208261.000000,,3920163505.000000,1800000000.000000,5720163505.000000,,,21283041929.000000,,15350171936.000000,48367585631.000000,2610252950.000000,,,2610252950.000000,2610252950.000000,50977838581.000000,,563000091400.000000,1077213037731.000000,-20157113149.000000,2343729903.000000,,1622399745885.000000,1673377584466.000000,5630000000.000000
12M 2017,,,802700167.000000,8893013537.000000,8893013537.000000,8893013537.000000,,457129003114.000000,457129003114.000000,457129003114.000000,356170849390.000000,646665888825.000000,1469661455033.000000,,25904404093.000000,,,,154475045634.000000,385252101.000000,,9964717833.000000,190729419661.000000,1660390874694.000000,,,47317474244.000000,,,,6206907433.000000,,,6206907433.000000,,2580977971.000000,,2580977971.000000,,,23179416904.000000,,15350171936.000000,47317474244.000000,4216039326.000000,,,4216039326.000000,4216039326.000000,51533513570.000000,,563000091400.000000,1077363037731.000000,-31649422529.000000,143654521.000000,,1608857361123.000000,1660390874693.000000,5630000000.000000
