Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2012,0.32,0.31,1.71,2.93,0.0,0.0,1.66,0.58,1.93
12M 2013,0.57,0.55,1.05,2.11,0.0,0.0,0.98,0.5,1.11
12M 2014,0.62,0.6,0.96,2.01,0.0,0.0,0.91,0.48,1.01
12M 2015,1.33,1.31,1.05,2.11,0.0,0.0,0.88,0.5,1.11
12M 2016,1.39,1.34,1.03,2.08,0.0,0.0,0.98,0.49,1.08
12M 2017,0.89,0.86,1.09,2.14,0.0,0.0,0.99,0.51,1.14
12M 2018,0.69,0.65,2.07,3.17,0.0,0.0,1.9,0.65,2.17
12M 2019,1.39,1.33,2.48,3.73,0.0,0.0,2.22,0.66,2.73
12M 2020,3.24,3.1,2.43,3.74,0.0,0.0,2.16,0.65,2.74
12M 2021,3.32,3.22,2.52,3.89,0.0,0.0,2.22,0.65,2.89
12M 2022,2.98,2.88,2.88,4.6,0.0,0.0,2.54,0.63,3.59
12M 2023,2.36,2.2,3.35,5.44,0.0,0.0,2.89,0.62,4.44
12M 2024,1.08,1.05,0.0,2.91,0.0,0.0,-0.18,0.0,1.91
