Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,12.45,,4.11,,17.61,,2.44,5.0,5.0,2.75
12M 2009,43.6,85.14,16.76,111.98,8.37,8.88,4.29,4.65,7.48,7.2,1.85,1.8,5.05,5.05,2.12
12M 2010,38.62,70.62,22.63,86.61,9.45,10.18,5.17,5.11,6.78,6.86,2.13,2.16,5.15,5.15,2.44
12M 2011,39.72,63.41,27.68,75.45,9.19,8.54,5.76,6.11,9.54,9.76,2.36,2.34,4.85,4.85,2.35
12M 2012,45.72,61.86,29.8,77.78,7.98,9.22,5.9,5.43,10.15,9.3,1.97,1.79,2.9,2.9,4.07
12M 2013,37.43,57.39,19.57,75.25,9.75,11.07,6.36,5.79,10.89,11.01,1.9,1.83,2.91,2.91,4.2
12M 2014,35.47,54.14,12.77,76.84,10.29,10.37,6.74,7.31,9.43,8.35,1.77,1.74,2.82,2.82,5.57
12M 2015,47.02,59.46,13.27,93.21,7.76,8.52,6.14,6.58,6.09,6.21,1.28,1.26,2.24,2.24,8.09
12M 2016,46.51,85.39,27.31,104.59,7.85,8.55,4.27,3.98,3.52,3.05,1.06,1.04,2.51,2.51,2.77
12M 2017,30.09,72.47,19.92,82.64,12.13,9.7,5.04,6.66,3.81,3.57,1.39,1.38,3.27,3.27,4.28
12M 2018,28.79,54.3,11.54,71.55,12.68,9.96,6.72,6.93,4.39,4.45,1.49,1.47,3.23,3.23,5.29
12M 2019,43.06,61.89,17.8,87.15,8.48,8.42,5.9,5.63,3.38,3.45,1.16,1.2,3.05,3.05,3.72
12M 2020,52.54,102.23,32.14,122.63,6.95,9.55,3.57,3.76,2.47,2.5,0.86,0.9,2.2,2.2,3.44
12M 2021,37.73,91.49,24.83,104.39,9.67,8.64,3.99,3.76,3.5,3.57,1.17,1.16,2.53,2.53,4.5
12M 2022,35.79,73.16,15.65,93.3,10.2,10.22,4.99,5.45,3.8,3.9,1.24,1.27,2.69,2.69,6.29
12M 2023,46.75,85.33,21.01,111.07,7.81,7.41,4.28,4.89,2.65,2.71,0.88,0.91,1.95,1.95,5.23
12M 2024,49.23,74.99,22.7,101.52,7.41,8.87,4.87,4.9,2.29,2.35,0.75,0.77,1.68,1.68,4.78
