Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.28,3887.21,0.28,3887.21,21 B,,21 B,0 B,29 B
12M 2009,0.25,4367.71,0.25,4367.71,14 B,,14 B,(4 B),53 B
12M 2010,0.62,5032.30,0.62,5032.30,11 B,,11 B,(28 B),61 B
12M 2011,0.40,5564.98,0.40,5564.98,7 B,,7 B,(30 B),67 B
12M 2012,1.21,6346.15,1.21,6346.15,5 B,,5 B,(44 B),63 B
12M 2013,0.74,6748.73,0.74,6748.73,6 B,,6 B,(46 B),70 B
12M 2014,0.95,6554.35,0.95,6554.35,6 B,,6 B,(2 B),46 B
12M 2015,0.96,5578.31,0.98,5514.05,11 B,16 B,27 B,(29 B),(38 B)
12M 2016,1.72,3143.66,1.82,2969.59,7 B,149 B,156 B,65 B,(75 B)
12M 2017,0.60,2178.46,0.60,2178.46,0 B,0 B,0 B,(31 B),108 B
12M 2018,0.40,2501.39,0.40,2501.39,0 B,,0 B,(60 B),120 B
12M 2019,0.41,695.30,0.41,695.30,,,,(80 B),130 B
12M 2020,0.34,710.98,0.34,710.98,,,,(98 B),135 B
12M 2021,1.81,649.94,1.81,649.94,0 B,,0 B,(46 B),96 B
12M 2022,0.56,698.74,0.56,698.74,,,,(14 B),107 B
12M 2023,0.50,729.10,0.50,729.10,0 B,,0 B,(35 B),119 B
12M 2024,0.51,785.36,0.51,785.36,,,,(68 B),132 B
