Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,5.36,,0.85,,39.84,,0.36,2.02,2.02,1.3
12M 2009,71.01,470.98,274.43,267.56,5.14,5.1,0.77,1.62,55.6,58.76,0.36,0.43,1.09,1.09,2.27
12M 2010,84.3,274.15,61.59,296.86,4.33,3.9,1.33,1.36,50.06,35.24,0.41,0.4,0.98,0.98,2.52
12M 2011,88.88,271.08,59.54,300.42,4.11,4.2,1.35,1.46,31.03,30.33,0.41,0.41,0.94,0.94,2.94
12M 2012,88.21,226.8,50.28,264.73,4.14,4.47,1.61,1.6,17.1,14.59,0.42,0.4,1.09,1.09,2.9
12M 2013,79.61,266.76,75.96,270.41,4.58,4.54,1.37,1.32,13.69,13.51,0.42,0.41,1.1,1.1,2.48
12M 2014,89.3,356.76,63.48,382.58,4.09,4.42,1.02,0.91,12.56,1.03,0.37,0.28,1.54,1.54,2.16
12M 2015,88.82,306.81,40.55,355.08,4.11,4.75,1.19,1.37,2.08,1.44,0.31,0.27,-2.05,-2.05,0.79
12M 2016,50.61,163.27,64.42,149.46,7.21,7.65,2.24,2.35,1.38,1.21,0.35,0.32,-1.89,-1.89,0.71
12M 2017,78.68,191.08,89.97,179.79,4.64,4.31,1.91,1.88,1.45,1.45,0.28,0.28,0.95,0.95,5.21
12M 2018,91.29,224.33,70.86,244.76,4.0,4.59,1.63,1.59,17.94,18.63,0.33,0.33,0.79,0.79,7.92
12M 2019,97.25,209.1,52.84,253.51,3.75,4.38,1.75,2.05,17.77,18.86,0.28,0.28,0.68,0.68,13.04
12M 2020,91.4,125.92,39.87,177.45,3.99,3.9,2.9,3.37,21.9,22.79,0.31,0.31,0.76,0.76,9.05
12M 2021,87.22,99.57,36.25,150.54,4.18,4.27,3.67,3.58,19.86,19.18,0.37,0.39,1.26,1.26,7.26
12M 2022,81.78,125.99,37.1,170.67,4.46,3.7,2.9,2.3,23.52,24.7,0.53,0.51,1.62,1.62,5.19
12M 2023,109.11,228.53,50.74,286.9,3.35,3.97,1.6,1.54,20.27,20.68,0.41,0.41,1.15,1.15,8.61
12M 2024,85.55,172.76,36.7,221.61,4.27,3.87,2.11,2.61,21.48,20.58,0.43,0.42,1.16,1.16,6.75
