Period,Total Pendapatan,Total Beban Pokok Penjualan,Adjustment,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,59249037246.000000,-42536973786.000000,,16712063460.000000,-11260236777.000000,,-7351900909.000000,-3908335868.000000,,-11260236777.000000,5451826683.000000,2520771029.000000,-2568299231.000000,1639670582.000000,-5524328.000000,-3188622086.000000,4522982360.000000,2120563732.000000,2520771029.000000,7972597712.000000,-3209418062.000000,-3220882501.000000,11464439.000000,,-3209418062.000000,4763179650.000000,150000.000000,4763329650.000000,,,,,4763329650.000000,4763179650.000000,150000.000000,4763329650.000000,,,,
12M 2009,58088299182.000000,-37496035554.000000,,20592263628.000000,-13483365715.000000,,-9831606179.000000,-3651759536.000000,,-13483365715.000000,7108897913.000000,6080144386.000000,3037854884.000000,277626119.000000,,-815283902.000000,1105093140.000000,2474854145.000000,6080144386.000000,13189042299.000000,-2978290770.000000,-3192217000.000000,213926230.000000,,-2978290770.000000,10210751529.000000,,10210751529.000000,,,,,10210751529.000000,10210751529.000000,,10210751529.000000,,,,
12M 2010,59519384547.000000,-34610634342.000000,,24908750205.000000,-15511633545.000000,,-11675600850.000000,-3836032695.000000,,-15511633545.000000,9397116660.000000,9127464159.000000,1419785628.000000,4463362337.000000,146000000.000000,-547837185.000000,3003974918.000000,642178461.000000,9127464159.000000,18524580819.000000,-4402145515.000000,-4463188250.000000,61042735.000000,,-4402145515.000000,14122435304.000000,,14122435304.000000,,,,,14122435304.000000,14122435304.000000,,14122435304.000000,,,,
12M 2011,62958088306.000000,-35262458733.000000,,27695629573.000000,-21369010871.000000,,,,5162249976.000000,-21369010871.000000,11488868678.000000,4432767721.000000,,,,-287364013.000000,4720131734.000000,,4432767721.000000,15921636399.000000,-4602232589.000000,-5188931500.000000,586698911.000000,,-4602232589.000000,11319403810.000000,,11319403810.000000,,,,11319403810.000000,11319403810.000000,11319403810.000000,,11319403810.000000,11319403810.000000,11319403810.000000,,11319403810.000000
12M 2012,68736656643.000000,-41513569091.000000,,27223087552.000000,-15717107425.000000,-20880140098.000000,,,5163032673.000000,-15717107425.000000,11505980127.000000,8090018354.000000,,,,-954954427.000000,9044972781.000000,,8090018354.000000,19595998481.000000,-2996149769.000000,-4066619750.000000,1070469981.000000,,-2996149769.000000,16599848712.000000,,16599848712.000000,,,,16599848712.000000,16599848712.000000,16599848712.000000,,16599848712.000000,16599848712.000000,16599848712.000000,,16599848712.000000
12M 2013,77231127337.000000,-49769316612.000000,,27461810725.000000,-21164103738.000000,-20730215363.000000,,,-433888375.000000,-21164103738.000000,6297706987.000000,6598727483.000000,,,,-733361911.000000,7332089394.000000,,6598727483.000000,12896434470.000000,-4341438114.000000,-4604627000.000000,263524124.000000,-335238.000000,-4341438114.000000,8554996356.000000,,8554996356.000000,,,,8554996356.000000,8554996356.000000,8554996356.000000,,8554996356.000000,8554996356.000000,8554996356.000000,,8554996356.000000
12M 2014,70155464867.000000,-50818758741.000000,,19336706126.000000,-19831267780.000000,-20348851653.000000,,,517583873.000000,-19831267780.000000,-494561654.000000,-2044056055.000000,,,,-1378580080.000000,-665475975.000000,,-2044056055.000000,-2538617709.000000,-1592030756.000000,-1850294250.000000,258718767.000000,-455273.000000,-1592030756.000000,-4130648465.000000,,-4130648465.000000,,,,-4130648465.000000,-4130648465.000000,-4130648465.000000,,-4130648465.000000,-4130648465.000000,-4130648465.000000,,-4130648465.000000
12M 2015,77790171689.000000,-55239227613.000000,,22550944076.000000,-17459896797.000000,-59631544317.000000,,,42171647520.000000,-17459896797.000000,5091047279.000000,-23790467231.000000,,,,-10980692259.000000,-12809774972.000000,,-23790467231.000000,-18699419952.000000,525764644.000000,-7302403324.000000,7828167968.000000,,525764644.000000,-18173655308.000000,,-18173655308.000000,509178750.000000,509178750.000000,509178750.000000,-17664476558.000000,-18173655308.000000,-14125278477.000000,-4048376831.000000,-18173655308.000000,-17664476558.000000,-13616099727.000000,-4048376831.000000,-17664476558.000000
12M 2016,141746864032.000000,-90087524287.000000,,51659339745.000000,-123689776218.000000,-66121468186.000000,-55066771024.000000,,-2501537008.000000,-123689776218.000000,-72030436473.000000,-14161683796.000000,,5603872828.000000,,-35428608083.000000,15663051459.000000,,-14161683796.000000,-86192120269.000000,22154660456.000000,,,,22154660456.000000,-64037459813.000000,,-64037459813.000000,-858234000.000000,,-858234000.000000,-64895693813.000000,-64037459813.000000,-50878124621.000000,-13159335192.000000,-64037459813.000000,-64895693813.000000,-51736358621.000000,-13159335192.000000,-64895693813.000000
12M 2017,102949173758.000000,-77203138724.000000,,25746035034.000000,162329296521.000000,-19804727722.000000,,,182134024243.000000,162329296521.000000,188075331555.000000,7074272363.000000,,,,-8481352920.000000,15555625283.000000,,7074272363.000000,195149603918.000000,-3171900465.000000,-3005668675.000000,-166231790.000000,,-3171900465.000000,191977703453.000000,,191977703453.000000,-718933500.000000,,-718933500.000000,191258769953.000000,191977703453.000000,191977703453.000000,,191977703453.000000,191258769953.000000,191258769953.000000,,191258769953.000000
