Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,7.56,3.05,0.72,2.62,0.0,0.0,0.34,0.27,1.54
12M 2009,8.23,2.77,0.59,2.48,0.0,0.0,0.28,0.24,1.4
12M 2010,10.38,4.42,0.44,2.1,0.0,0.0,-0.04,0.21,1.03
12M 2011,13.26,5.64,0.43,2.07,0.0,0.0,0.18,0.21,1.0
12M 2012,5.6,2.58,0.59,2.33,0.0,0.0,0.28,0.25,1.26
12M 2013,4.96,2.09,0.64,2.45,0.0,0.0,0.49,0.26,1.34
12M 2014,5.23,2.34,0.67,2.42,0.0,0.0,0.45,0.28,1.29
12M 2015,6.91,2.7,0.78,2.52,0.0,0.0,0.67,0.31,1.37
12M 2016,5.45,2.05,0.76,2.46,0.0,0.0,0.58,0.31,1.27
12M 2017,5.14,1.79,0.63,2.49,0.0,0.0,0.52,0.25,1.18
12M 2018,4.53,1.24,0.84,2.66,0.0,0.0,0.74,0.32,1.3
12M 2019,5.41,1.41,0.49,1.91,0.0,0.0,0.33,0.26,0.72
12M 2020,3.13,0.61,0.99,2.66,0.0,0.0,0.83,0.37,1.45
12M 2021,3.27,0.83,1.15,2.78,0.0,0.0,0.89,0.42,1.58
12M 2022,3.13,0.62,1.42,3.25,0.0,0.0,1.25,0.44,2.01
12M 2023,3.0,0.58,1.36,3.24,0.0,0.0,1.19,0.42,1.96
12M 2024,3.11,0.63,0.36,1.8,0.0,0.0,0.18,0.2,0.76
