Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,3.27,,0.25,,2.04,,0.22,0.33,0.33,7.56
12M 2009,95.22,1485.83,87.74,1493.31,3.83,4.52,0.25,0.23,2.04,2.03,0.21,0.21,0.33,0.33,8.23
12M 2010,70.06,1477.03,64.96,1482.13,5.21,4.83,0.25,0.23,2.55,2.5,0.22,0.21,0.28,0.28,10.38
12M 2011,53.42,1190.59,55.1,1188.91,6.83,7.39,0.31,0.29,3.03,2.74,0.24,0.23,0.33,0.33,13.26
12M 2012,34.34,1005.45,54.25,985.54,10.63,9.62,0.36,0.35,3.26,2.78,0.29,0.26,0.39,0.39,5.6
12M 2013,37.4,1230.2,49.08,1218.52,9.76,8.1,0.3,0.27,2.65,2.5,0.24,0.21,0.35,0.35,4.96
12M 2014,26.98,887.96,23.12,891.82,13.53,12.56,0.41,0.37,3.87,3.73,0.34,0.32,0.48,0.48,5.23
12M 2015,50.02,1409.68,44.87,1414.83,7.3,6.53,0.26,0.24,2.93,3.04,0.22,0.22,0.3,0.31,6.91
12M 2016,57.57,1328.57,48.54,1337.6,6.34,5.68,0.27,0.26,3.67,3.72,0.24,0.23,0.34,0.34,5.45
12M 2017,68.38,1515.16,55.61,1527.93,5.34,5.04,0.24,0.23,3.23,2.99,0.21,0.2,0.3,0.3,5.14
12M 2018,69.3,1577.73,69.78,1577.25,5.27,5.16,0.23,0.25,2.65,2.35,0.23,0.24,0.42,0.42,4.53
12M 2019,68.24,1286.99,60.89,1294.34,5.35,5.38,0.28,0.28,2.26,2.23,0.23,0.22,0.4,0.4,5.41
12M 2020,62.34,1285.86,56.57,1291.63,5.86,6.97,0.28,0.27,1.67,1.3,0.22,0.21,0.52,0.52,3.13
12M 2021,39.76,862.06,36.45,865.37,9.18,7.31,0.42,0.45,1.62,1.45,0.31,0.28,0.74,0.74,3.27
12M 2022,41.97,1001.81,36.64,1007.14,8.7,8.22,0.36,0.36,1.3,1.3,0.29,0.29,0.74,0.74,3.13
12M 2023,39.82,913.63,32.37,921.08,9.17,8.46,0.4,0.39,1.45,1.45,0.34,0.34,0.85,0.85,3.0
12M 2024,39.42,1436.09,43.52,1431.99,9.26,21.18,0.25,0.24,1.46,2.92,0.22,0.21,0.48,0.48,3.11
