Period,Total Pendapatan,Laba Penjualan Efek,Jasa Kegiatan Manager Investasi,Others,Total Pendapatan,Total Beban Usaha,Beban Tenaga Kerja,Beban Usaha,Iklan,Beban Penyusutan,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Keuntungan Atas Perdagangan Efek,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1807129411.000000,,,1807129411.000000,1807129411.000000,-5474599786.000000,-2663210112.000000,,-109283000.000000,-53461698.000000,,-2648644976.000000,-5474599786.000000,-3667470375.000000,2405190499.000000,14086174473.000000,,530015828.000000,-2879743393.000000,-9328902269.000000,-2354140.000000,2405190499.000000,-1262279876.000000,-156888241.000000,,-156888241.000000,-156888241.000000,-1419168117.000000,,,,,-1419168117.000000,-1419168117.000000,,-1419168117.000000,,,,
12M 2009,85815202.000000,,,85815202.000000,85815202.000000,-4011603603.000000,-2999471998.000000,,-48782800.000000,-41335460.000000,,-922013345.000000,-4011603603.000000,-3925788401.000000,32999435710.000000,37468902871.000000,,311864683.000000,3005970026.000000,-7784661161.000000,-2640709.000000,32999435710.000000,29073647309.000000,,,,,29073647309.000000,,,,,29073647309.000000,29073647309.000000,,29073647309.000000,,,,
12M 2010,2311900247.000000,,7397260.000000,2304502987.000000,2311900247.000000,-5523203705.000000,-4549196518.000000,,-50850900.000000,-42191823.000000,,-880964464.000000,-5523203705.000000,-3211303458.000000,136188155508.000000,142381213343.000000,,567375661.000000,864329308.000000,-7613135189.000000,-11627615.000000,136188155508.000000,132976852050.000000,,,,,132976852050.000000,,,,,132976852050.000000,132976852050.000000,,132976852050.000000,,,,
12M 2011,-319455770.000000,,152738564.000000,-472194334.000000,-319455770.000000,9646436056.000000,,9646436056.000000,,,,,9646436056.000000,9326980286.000000,6290353318.000000,6330677838.000000,,1099625419.000000,605938746.000000,-3744934086.000000,1999045401.000000,6290353318.000000,15617333604.000000,,,,,15617333604.000000,846701097.000000,846701097.000000,846701097.000000,16464034701.000000,15617333604.000000,15617333604.000000,,15617333604.000000,16464034701.000000,16464034701.000000,,16464034701.000000
12M 2012,472250869.000000,,472250869.000000,,472250869.000000,-6703237649.000000,-5198154523.000000,,,-318341223.000000,,-1186741903.000000,-6703237649.000000,-6230986780.000000,126564145052.000000,120681177197.000000,4102461323.000000,1494569383.000000,260531271.000000,,25405878.000000,126564145052.000000,120333158272.000000,,,,,120333158272.000000,27793505321.000000,27793505321.000000,27793505321.000000,148126663593.000000,120333158272.000000,120333158272.000000,,120333158272.000000,148126663593.000000,148126663593.000000,,148126663593.000000
12M 2013,732879815.000000,,732879815.000000,,732879815.000000,-9720062227.000000,-8117695716.000000,,,-193096499.000000,,-1409270012.000000,-9720062227.000000,-8987182412.000000,177773898250.000000,171869225602.000000,3112364800.000000,1757506921.000000,986974041.000000,,47826886.000000,177773898250.000000,168786715838.000000,,,,,168786715838.000000,9380103780.000000,9380103780.000000,9380103780.000000,178166819618.000000,168786715838.000000,168786715838.000000,,168786715838.000000,178166819618.000000,178166819618.000000,,178166819618.000000
12M 2014,1480022328.000000,,876511382.000000,603510946.000000,1480022328.000000,-10731993049.000000,-9319436885.000000,,,-120358241.000000,,-1292197923.000000,-10731993049.000000,-9251970721.000000,216601085299.000000,207614342632.000000,6606202265.000000,2353261736.000000,1490615.000000,,25788051.000000,216601085299.000000,207349114578.000000,,,,,207349114578.000000,32041021484.000000,32041021484.000000,32041021484.000000,239390136062.000000,207349114578.000000,207349114578.000000,,207349114578.000000,239390136062.000000,239390136062.000000,,239390136062.000000
12M 2015,1902497246.000000,,1352951666.000000,549545580.000000,1902497246.000000,-11577028902.000000,-9762866429.000000,,,-77581534.000000,,-1736580939.000000,-11577028902.000000,-9674531656.000000,12869800827.000000,10255148398.000000,,2510206100.000000,108559329.000000,,-4113000.000000,12869800827.000000,3195269171.000000,,,,,3195269171.000000,-26213987738.000000,-26213987738.000000,-26213987738.000000,-23018718567.000000,3195269171.000000,3195269171.000000,,3195269171.000000,-23018718567.000000,-23018718567.000000,,-23018718567.000000
12M 2016,9741272576.000000,,2064030075.000000,7677242501.000000,9741272576.000000,-12549870398.000000,-10958673240.000000,,,-88190367.000000,,-1503006791.000000,-12549870398.000000,-2808597822.000000,40811508384.000000,39115051817.000000,,2308634751.000000,-20714673.000000,,-591463511.000000,40811508384.000000,38002910562.000000,,,,,38002910562.000000,8895368793.000000,8895368793.000000,8895368793.000000,46898279355.000000,38002910562.000000,38002910562.000000,,38002910562.000000,46898279355.000000,46898279355.000000,,46898279355.000000
12M 2017,10648899205.000000,,2285454213.000000,8363444992.000000,10648899205.000000,-20059460093.000000,-18430811708.000000,,,-86340533.000000,,-1542307852.000000,-20059460093.000000,-9410560888.000000,8700259463.000000,6453114852.000000,,2242604788.000000,7355760.000000,,-2815937.000000,8700259463.000000,-710301425.000000,,,,,-710301425.000000,-2783523910.000000,-2783523910.000000,-2783523910.000000,-3493825335.000000,-710301425.000000,-710301425.000000,,-710301425.000000,-3493825335.000000,-3493825335.000000,,-3493825335.000000
