Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,3846154000000.000000,-1985379000000.000000,1860775000000.000000,-546359000000.000000,-155428000000.000000,-390931000000.000000,,-546359000000.000000,1314416000000.000000,12300000000.000000,-43227000000.000000,,29960000000.000000,,21069000000.000000,4498000000.000000,12300000000.000000,1326716000000.000000,-399161000000.000000,-412573000000.000000,13412000000.000000,,-399161000000.000000,927555000000.000000,,,,,927555000000.000000,927555000000.000000,,927555000000.000000,,,,
12M 2009,3199687000000.000000,-1809194000000.000000,1390493000000.000000,-371842000000.000000,-34091000000.000000,-337751000000.000000,,-371842000000.000000,1018651000000.000000,-10512000000.000000,-53017000000.000000,,15439000000.000000,,18725000000.000000,8341000000.000000,-10512000000.000000,1008139000000.000000,-300652000000.000000,-289071000000.000000,-11581000000.000000,,-300652000000.000000,707487000000.000000,,,,,707487000000.000000,707487000000.000000,,707487000000.000000,,,,
12M 2010,3592658000000.000000,-1821244000000.000000,1771414000000.000000,-371894000000.000000,-26900000000.000000,-344994000000.000000,,-371894000000.000000,1399520000000.000000,-17738000000.000000,-26313000000.000000,,-17405000000.000000,,25107000000.000000,873000000.000000,-17738000000.000000,1381782000000.000000,-348453000000.000000,-357495000000.000000,9042000000.000000,,-348453000000.000000,1033329000000.000000,,,,,1033329000000.000000,1033329000000.000000,,1033329000000.000000,,,,
12M 2011,4686457000000.000000,-2324138000000.000000,2362319000000.000000,-356795000000.000000,-22873000000.000000,-346276000000.000000,12354000000.000000,-356795000000.000000,2005524000000.000000,84989000000.000000,-3873000000.000000,-1548000000.000000,,,90410000000.000000,,84989000000.000000,2090513000000.000000,-389000000000.000000,,,,-389000000000.000000,1701513000000.000000,,,,1701513000000.000000,1701513000000.000000,1701580000000.000000,-67000000.000000,1701513000000.000000,1701513000000.000000,1701580000000.000000,-67000000.000000,1701513000000.000000
12M 2012,4211578000000.000000,-2530503000000.000000,1681075000000.000000,-357102000000.000000,-59000000000.000000,-346273000000.000000,48171000000.000000,-357102000000.000000,1323973000000.000000,48110000000.000000,-3695000000.000000,-36673000000.000000,,,88478000000.000000,,48110000000.000000,1372083000000.000000,-256544000000.000000,,,,-256544000000.000000,1115539000000.000000,7036000000.000000,7036000000.000000,7036000000.000000,1122575000000.000000,1115539000000.000000,1116186000000.000000,-647000000.000000,1115539000000.000000,1122575000000.000000,1123222000000.000000,-647000000.000000,1122575000000.000000
12M 2013,4133679000000.000000,-2880220000000.000000,1253459000000.000000,-227810000000.000000,-84904000000.000000,-350321000000.000000,207415000000.000000,-227810000000.000000,1025649000000.000000,-28658000000.000000,-3036000000.000000,-72785000000.000000,,,47163000000.000000,,-28658000000.000000,996991000000.000000,-228366000000.000000,,,,-228366000000.000000,768625000000.000000,19378000000.000000,19378000000.000000,19378000000.000000,788003000000.000000,768625000000.000000,769493000000.000000,-868000000.000000,768625000000.000000,788003000000.000000,788871000000.000000,-868000000.000000,788003000000.000000
12M 2014,4726539000000.000000,-3090100000000.000000,1636439000000.000000,-395917000000.000000,-46331000000.000000,-398352000000.000000,48766000000.000000,-395917000000.000000,1240522000000.000000,-51591000000.000000,-3537000000.000000,-115979000000.000000,,,67925000000.000000,,-51591000000.000000,1188931000000.000000,-272236000000.000000,,,,-272236000000.000000,916695000000.000000,1871000000.000000,1871000000.000000,1871000000.000000,918566000000.000000,916695000000.000000,916704000000.000000,-9000000.000000,916695000000.000000,918566000000.000000,918575000000.000000,-9000000.000000,918566000000.000000
12M 2015,4189615000000.000000,-3073774000000.000000,1115841000000.000000,-279935000000.000000,-54381000000.000000,-297109000000.000000,71555000000.000000,-279935000000.000000,835906000000.000000,-8024000000.000000,-1944000000.000000,-60945000000.000000,,,54865000000.000000,,-8024000000.000000,827882000000.000000,-195096000000.000000,,,-9477000000.000000,-195096000000.000000,623309000000.000000,66395000000.000000,66395000000.000000,66395000000.000000,689704000000.000000,623309000000.000000,623312000000.000000,-3000000.000000,623309000000.000000,689704000000.000000,689707000000.000000,-3000000.000000,689704000000.000000
12M 2016,3847869000000.000000,-2737084000000.000000,1110785000000.000000,-300011000000.000000,-60868000000.000000,-260340000000.000000,21197000000.000000,-300011000000.000000,810774000000.000000,-32213000000.000000,-811000000.000000,-59696000000.000000,,,28294000000.000000,,-32213000000.000000,778561000000.000000,-185792000000.000000,,,,-185792000000.000000,592769000000.000000,-32445000000.000000,-32445000000.000000,-32445000000.000000,560324000000.000000,592769000000.000000,593829000000.000000,-1060000000.000000,592769000000.000000,560324000000.000000,561384000000.000000,-1060000000.000000,560324000000.000000
12M 2017,4738022000000.000000,-3395184000000.000000,1342838000000.000000,-384408000000.000000,-83584000000.000000,-272046000000.000000,-28778000000.000000,-384408000000.000000,958430000000.000000,47806000000.000000,-539000000.000000,-8878000000.000000,,,57223000000.000000,,47806000000.000000,1006236000000.000000,-242813000000.000000,,,,-242813000000.000000,763423000000.000000,-61464000000.000000,-61464000000.000000,-61464000000.000000,701959000000.000000,763423000000.000000,763481000000.000000,-58000000.000000,763423000000.000000,701959000000.000000,702017000000.000000,-58000000.000000,701959000000.000000
12M 2018,4019846000000.000000,-3336813000000.000000,683033000000.000000,-343298000000.000000,-79625000000.000000,-293455000000.000000,29782000000.000000,-343298000000.000000,339735000000.000000,77317000000.000000,-425000000.000000,6638000000.000000,,,71104000000.000000,,77317000000.000000,417052000000.000000,-87626000000.000000,,,,-87626000000.000000,329426000000.000000,79150000000.000000,79150000000.000000,79150000000.000000,408576000000.000000,329426000000.000000,331364000000.000000,-1938000000.000000,329426000000.000000,408576000000.000000,410514000000.000000,-1938000000.000000,408576000000.000000
