Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.36 B,679.74,4.30,1.04,,18.81%,29.01%,64.46%,30.41
12M 2009,1.36 B,518.47,16.11,3.56,,14.58%,18.55%,24.71%,19.21
12M 2010,1.36 B,757.25,16.97,4.88,,18.58%,22.69%,30.74%,53.19
12M 2011,6.82 B,249.39,9.02,3.28,,25.05%,29.14%,35.81%,517.82
12M 2012,6.82 B,163.59,14.06,3.73,,14.78%,17.77%,20.34%,358.31
12M 2013,6.82 B,112.78,17.11,3.19,,9.65%,11.63%,14.73%,337.83
12M 2014,6.82 B,134.36,14.07,2.73,,10.59%,12.70%,16.46%,350.73
12M 2015,6.82 B,91.36,14.45,2.15,,7.04%,8.50%,10.33%,429.99
12M 2016,6.82 B,87.04,19.99,3.09,,6.28%,7.77%,9.56%,999.72
12M 2017,6.82 B,111.90,12.69,2.04,,7.84%,9.41%,10.65%,1778.16
12M 2018,6.82 B,48.57,25.74,2.12,740.12 B,3.30%,3.98%,3.61%,799.38
12M 2019,6.82 B,37.21,39.91,2.74,702.92 B,2.48%,2.99%,3.12%,503.44
12M 2020,6.82 B,102.01,13.48,2.65,"1,580.96 B",6.37%,7.50%,8.13%,1395.08
12M 2021,6.82 B,145.28,8.16,1.79,"1,574.30 B",8.36%,9.75%,11.09%,2701.35
12M 2022,6.82 B,151.91,6.68,1.51,"1,577.08 B",8.35%,9.48%,10.55%,1783.81
12M 2023,6.82 B,111.68,7.97,1.45,"1,152.34 B",6.09%,6.71%,6.42%,1341.74
12M 2024,6.82 B,216.56,4.50,1.46,"1,939.11 B",10.67%,11.76%,12.35%,2374.96
