Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Keuntungan Atas Penjualan Entitas Anak,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Adjustment,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,4458094000000.000000,-3523168000000.000000,934926000000.000000,-413762000000.000000,,-218537000000.000000,-195225000000.000000,,-413762000000.000000,521164000000.000000,-272571000000.000000,2476000000.000000,,-175470000000.000000,32735000000.000000,11822000000.000000,-136570000000.000000,-7564000000.000000,-272571000000.000000,248593000000.000000,-45914000000.000000,-53671000000.000000,7757000000.000000,,-45914000000.000000,,202679000000.000000,-56833000000.000000,145846000000.000000,,,145846000000.000000,202679000000.000000,-56833000000.000000,145846000000.000000,,,,
12M 2009,3746865000000.000000,-3180406000000.000000,566459000000.000000,-429467000000.000000,,-189519000000.000000,-239948000000.000000,,-429467000000.000000,136992000000.000000,-2618000000.000000,2582000000.000000,,77737000000.000000,14056000000.000000,10044000000.000000,-131949000000.000000,24912000000.000000,-2618000000.000000,134374000000.000000,-35456000000.000000,-22055000000.000000,-13401000000.000000,,-35456000000.000000,,98918000000.000000,-12993000000.000000,85925000000.000000,,,85925000000.000000,98918000000.000000,-12993000000.000000,85925000000.000000,,,,
12M 2010,3901733000000.000000,-3278930000000.000000,622803000000.000000,-454734000000.000000,,-189560000000.000000,-265174000000.000000,,-454734000000.000000,168069000000.000000,-22302000000.000000,16485000000.000000,,32999000000.000000,26638000000.000000,12877000000.000000,-122231000000.000000,10930000000.000000,-22302000000.000000,145767000000.000000,-36561000000.000000,-29309000000.000000,-7252000000.000000,,-36561000000.000000,,109206000000.000000,-22224000000.000000,86982000000.000000,,,86982000000.000000,109206000000.000000,-22224000000.000000,86982000000.000000,,,,
12M 2011,5529075000000.000000,-4852585000000.000000,676490000000.000000,-491638000000.000000,,-188813000000.000000,-302825000000.000000,,-491638000000.000000,184852000000.000000,-64667000000.000000,2869000000.000000,4031000000.000000,3811000000.000000,30391000000.000000,18964000000.000000,-131793000000.000000,7060000000.000000,-64667000000.000000,120185000000.000000,-29354000000.000000,-30771000000.000000,1417000000.000000,,-29354000000.000000,,90831000000.000000,,90831000000.000000,14389000000.000000,105220000000.000000,90831000000.000000,76221000000.000000,14610000000.000000,90831000000.000000,105220000000.000000,90610000000.000000,14610000000.000000,105220000000.000000
12M 2012,6213600000000.000000,-5393882000000.000000,819718000000.000000,-551095000000.000000,-559902000000.000000,,,8807000000.000000,-551095000000.000000,268623000000.000000,-126338000000.000000,,,,1615000000.000000,14217000000.000000,-142170000000.000000,,-126338000000.000000,142285000000.000000,-33327000000.000000,-39528000000.000000,6201000000.000000,,-33327000000.000000,,108958000000.000000,,108958000000.000000,38911000000.000000,147869000000.000000,108958000000.000000,81463000000.000000,27495000000.000000,108958000000.000000,147869000000.000000,120374000000.000000,27495000000.000000,147869000000.000000
12M 2013,5734847000000.000000,-4799852000000.000000,934995000000.000000,-656598000000.000000,-620083000000.000000,,,-36515000000.000000,-656598000000.000000,278397000000.000000,-104740000000.000000,,,,11026000000.000000,6702000000.000000,-122468000000.000000,,-104740000000.000000,173657000000.000000,-46166000000.000000,-44780000000.000000,-1386000000.000000,,-46166000000.000000,,127491000000.000000,,127491000000.000000,181952000000.000000,309443000000.000000,127491000000.000000,85415000000.000000,42076000000.000000,127491000000.000000,309443000000.000000,267367000000.000000,42076000000.000000,309443000000.000000
12M 2014,5888153000000.000000,-4868977000000.000000,1019176000000.000000,-601579000000.000000,-686405000000.000000,,,84826000000.000000,-601579000000.000000,417597000000.000000,-142752000000.000000,,,,-19237000000.000000,3006000000.000000,-126521000000.000000,,-142752000000.000000,274845000000.000000,-73656000000.000000,-68389000000.000000,-5267000000.000000,,-73656000000.000000,,201189000000.000000,,201189000000.000000,28154000000.000000,229343000000.000000,201189000000.000000,162909000000.000000,38280000000.000000,201189000000.000000,229343000000.000000,191063000000.000000,38280000000.000000,229343000000.000000
12M 2015,6465959000000.000000,-5381492000000.000000,1084467000000.000000,-758897000000.000000,-748779000000.000000,,,-10118000000.000000,-758897000000.000000,325570000000.000000,-248573000000.000000,,,,-66798000000.000000,4621000000.000000,-186396000000.000000,,-248573000000.000000,76997000000.000000,-42965000000.000000,-47821000000.000000,4856000000.000000,,-42965000000.000000,,34032000000.000000,,34032000000.000000,123288000000.000000,157320000000.000000,34032000000.000000,4068000000.000000,29964000000.000000,34032000000.000000,157320000000.000000,128100000000.000000,29220000000.000000,157320000000.000000
12M 2016,6438172000000.000000,-5285604000000.000000,1152568000000.000000,-810900000000.000000,-787885000000.000000,,,-23015000000.000000,-810900000000.000000,341668000000.000000,-197077000000.000000,,,,-47126000000.000000,4620000000.000000,-154571000000.000000,,-197077000000.000000,144591000000.000000,-29254000000.000000,-65019000000.000000,39113000000.000000,-3348000000.000000,-29254000000.000000,,115337000000.000000,,115337000000.000000,-41128000000.000000,74209000000.000000,115337000000.000000,60098000000.000000,55239000000.000000,115337000000.000000,74209000000.000000,18081000000.000000,56128000000.000000,74209000000.000000
12M 2017,6596941000000.000000,-5390304000000.000000,1206637000000.000000,-840286000000.000000,-859806000000.000000,,,19520000000.000000,-840286000000.000000,366351000000.000000,-111535000000.000000,,,,38448000000.000000,3306000000.000000,-153289000000.000000,,-111535000000.000000,254816000000.000000,-71195000000.000000,-74137000000.000000,5970000000.000000,-3028000000.000000,-71195000000.000000,,183621000000.000000,,183621000000.000000,58184000000.000000,241805000000.000000,183621000000.000000,149898000000.000000,33723000000.000000,183621000000.000000,241805000000.000000,209926000000.000000,31879000000.000000,241805000000.000000
12M 2018,7076493000000.000000,-5787390000000.000000,1289103000000.000000,-851296000000.000000,-838800000000.000000,,,-12496000000.000000,-851296000000.000000,437807000000.000000,-129647000000.000000,,,,63954000000.000000,9147000000.000000,-202748000000.000000,,-129647000000.000000,308160000000.000000,-75019000000.000000,-85213000000.000000,12904000000.000000,-2710000000.000000,-75019000000.000000,,233141000000.000000,,233141000000.000000,83178000000.000000,316319000000.000000,233141000000.000000,200336000000.000000,32805000000.000000,233141000000.000000,316319000000.000000,280582000000.000000,35737000000.000000,316319000000.000000
12M 2019,6534734000000.000000,-5253452000000.000000,1281282000000.000000,-834319000000.000000,-873976000000.000000,,,39657000000.000000,-834319000000.000000,446963000000.000000,-142690000000.000000,,,,65893000000.000000,16553000000.000000,-225136000000.000000,,-142690000000.000000,304273000000.000000,-78526000000.000000,-89188000000.000000,12788000000.000000,-2126000000.000000,-78526000000.000000,,225747000000.000000,,225747000000.000000,-63317000000.000000,162430000000.000000,225747000000.000000,180563000000.000000,45184000000.000000,225747000000.000000,162430000000.000000,117865000000.000000,44565000000.000000,162430000000.000000
12M 2020,5592338000000.000000,-4417520000000.000000,1174818000000.000000,-843774000000.000000,-775644000000.000000,,,-68130000000.000000,-843774000000.000000,331044000000.000000,-133299000000.000000,,,,31263000000.000000,4321000000.000000,-168883000000.000000,,-133299000000.000000,197745000000.000000,-79549000000.000000,-68287000000.000000,-9849000000.000000,-1413000000.000000,-79549000000.000000,,118196000000.000000,,118196000000.000000,43650000000.000000,161846000000.000000,118196000000.000000,75218000000.000000,42978000000.000000,118196000000.000000,161846000000.000000,120363000000.000000,41483000000.000000,161846000000.000000
