Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Proforma Laba Bersih Dari Transaksi Restrukturisasi Entitas Sepengendali,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,37322668295.000000,-29933319837.000000,7389348458.000000,-3135071284.000000,4254277174.000000,381383561.000000,87376692.000000,,-53180709.000000,66150095.000000,281037483.000000,381383561.000000,4635660735.000000,-1812987901.000000,,,-1812987901.000000,2822672834.000000,982347312.000000,3805020146.000000,,3805020146.000000,3805020146.000000,3155396295.000000,649623851.000000,,3805020146.000000,3805020146.000000,3155396295.000000,649623851.000000,,3805020146.000000
12M 2012,38679073554.000000,-29234728212.000000,9444345342.000000,-4081238047.000000,5363107295.000000,-1378346017.000000,124724710.000000,-1375163836.000000,-52603442.000000,,-75303449.000000,-1378346017.000000,3984761278.000000,-2558014683.000000,,,-2558014683.000000,1426746595.000000,558385896.000000,1985132491.000000,,1985132491.000000,1985132491.000000,1591846303.000000,393286188.000000,,1985132491.000000,1985132491.000000,1591846303.000000,393286188.000000,,1985132491.000000
12M 2013,50741429520.000000,-38915821919.000000,11825607601.000000,-8800340049.000000,3025267552.000000,-5834983025.000000,3265394549.000000,-2563769856.000000,3554208.000000,-5863368.000000,-6534298558.000000,-5834983025.000000,-2809715473.000000,2969742321.000000,,,2969742321.000000,160026848.000000,,160026848.000000,-12104051.000000,147922797.000000,160026848.000000,261172413.000000,-101145565.000000,,160026848.000000,147922797.000000,249068362.000000,-101145565.000000,,147922797.000000
12M 2014,114994890089.000000,-86338736522.000000,28656153567.000000,-10400156327.000000,18255997240.000000,-56210613482.000000,26238710.000000,-25620919903.000000,,,-30615932289.000000,-56210613482.000000,-37954616242.000000,8818409195.000000,,,8818409195.000000,-29136207047.000000,,-29136207047.000000,,-29136207047.000000,-29136207048.000000,-29044285740.000000,-91921308.000000,,-29136207048.000000,-29136207048.000000,-29044285740.000000,-91921308.000000,,-29136207048.000000
12M 2015,106047220791.000000,-103680495849.000000,2366724942.000000,-7106231928.000000,-4739506986.000000,-90899863329.000000,15437139.000000,-26459456509.000000,,,-64455843959.000000,-90899863329.000000,-95639370315.000000,-1591849071.000000,,,-1591849071.000000,-97231219386.000000,,-97231219386.000000,-214370140.000000,-97445589526.000000,-97231219386.000000,-97231219386.000000,,,-97231219386.000000,-97445589525.000000,-76290152039.000000,-21155437486.000000,,-97445589525.000000
12M 2016,30535570795.000000,-50675612109.000000,-20140041314.000000,-5470901679.000000,-25610942993.000000,-58014012365.000000,,,,,-58014012365.000000,-58014012365.000000,-83624955358.000000,39667640472.000000,,,39667640472.000000,-43957314886.000000,,-43957314886.000000,9248882.000000,-43948066004.000000,-43957314886.000000,-42046937026.000000,-1910377860.000000,,-43957314886.000000,-43948066004.000000,-43948066004.000000,,,-43948066004.000000
12M 2017,69380928587.000000,-81322089103.000000,-11941160516.000000,-5578532239.000000,-17519692755.000000,-150438020417.000000,,,,,-150438020417.000000,-150438020417.000000,-167957713172.000000,-2841154297.000000,,,-2841154297.000000,-170798867469.000000,,-170798867469.000000,-73186016.000000,-170872053485.000000,-170798867469.000000,-163675999436.000000,-7122868033.000000,,-170798867469.000000,-170872053485.000000,-163675999436.000000,-7122868033.000000,-73186016.000000,-170872053485.000000
12M 2018,175631681999.000000,-174254990152.000000,1376691847.000000,-35776567073.000000,-34399875226.000000,-27159472275.000000,80096284.000000,-33684152841.000000,,,6444584282.000000,-27159472275.000000,-61559347501.000000,-1463054987.000000,,,-1463054987.000000,-63022402488.000000,18944345511.000000,-44078056977.000000,-225836495.000000,-44303893472.000000,-44078056978.000000,-42080752561.000000,-1997304417.000000,,-44078056978.000000,-44303893472.000000,-42314751846.000000,-1989141626.000000,,-44303893472.000000
12M 2019,168136606695.000000,-182349654092.000000,-14213047397.000000,-123726745348.000000,-137939792745.000000,-38123487397.000000,59848082.000000,-47726048300.000000,,,9542712821.000000,-38123487397.000000,-176063280142.000000,40405181611.000000,,,40405181611.000000,-135658098531.000000,,-135658098531.000000,-1417772314.000000,-137075870845.000000,-135658098531.000000,-132630356713.000000,-3027741818.000000,,-135658098531.000000,-137075870845.000000,-134026783855.000000,-3049086990.000000,,-137075870845.000000
12M 2020,164359744495.000000,-192631920020.000000,-28272175525.000000,-134916030297.000000,-163188205822.000000,-43044270705.000000,8476166.000000,-44563406441.000000,,,1510659570.000000,-43044270705.000000,-206232476527.000000,-6981627287.000000,,-6981627287.000000,-6981627287.000000,-213214103814.000000,,-213214103814.000000,1225726354.000000,-211988377460.000000,-213214103814.000000,-210961894647.000000,-2252209167.000000,,-213214103814.000000,-211988377460.000000,-209731135431.000000,-2257242029.000000,,-211988377460.000000
