Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Keuntungan (Rugi) Atas Transaksi Derivatif,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,3468035874000.000000,3468035874000.000000,3468035874000.000000,-1626630202000.000000,1841405672000.000000,-1538057073000.000000,-1286874724000.000000,-251182349000.000000,-1538057073000.000000,303348599000.000000,-390727406000.000000,-72804897000.000000,-331050649000.000000,-9125926000.000000,49668000.000000,9115896000.000000,44324801000.000000,-31236299000.000000,-390727406000.000000,-87378807000.000000,17587978000.000000,-28587592000.000000,46175570000.000000,,17587978000.000000,-69790829000.000000,-145000.000000,-69790974000.000000,,,-69790974000.000000,-69790829000.000000,-145000.000000,-69790974000.000000,,,,
12M 2009,4112215038000.000000,4112215038000.000000,4112215038000.000000,-2054321150000.000000,2057893888000.000000,-1750178177000.000000,-1505650413000.000000,-244527764000.000000,-1750178177000.000000,307715711000.000000,-25877152000.000000,-114219792000.000000,165230498000.000000,-11844223000.000000,3159979000.000000,5456197000.000000,-29811859000.000000,-43847952000.000000,-25877152000.000000,281838559000.000000,-117846719000.000000,-56403436000.000000,-61443283000.000000,,-117846719000.000000,163991840000.000000,-5580000.000000,163986260000.000000,,,163986260000.000000,163991840000.000000,-5580000.000000,163986260000.000000,,,,
12M 2010,4712499692000.000000,4712499692000.000000,4712499692000.000000,-2336089921000.000000,2376409771000.000000,-1927317142000.000000,-1663826610000.000000,-263490532000.000000,-1927317142000.000000,449092629000.000000,-173302321000.000000,-123883433000.000000,606979000.000000,-57311891000.000000,4189869000.000000,6027271000.000000,7473180000.000000,-10404296000.000000,-173302321000.000000,275790308000.000000,-74718945000.000000,-98731659000.000000,24012714000.000000,,-74718945000.000000,201071363000.000000,108000.000000,201071471000.000000,,,201071471000.000000,201071363000.000000,108000.000000,201071471000.000000,,,,
12M 2011,5889808895000.000000,5889808895000.000000,5889808895000.000000,-2847205937000.000000,3042602958000.000000,-2420337933000.000000,-2066769039000.000000,-353568894000.000000,-2420337933000.000000,622265025000.000000,-137693178000.000000,-123418316000.000000,-6287321000.000000,-16221729000.000000,7347524000.000000,8288175000.000000,5431277000.000000,-12832788000.000000,-137693178000.000000,484571847000.000000,-124146855000.000000,-123976731000.000000,-170124000.000000,,-124146855000.000000,360424992000.000000,,360424992000.000000,-2234234000.000000,358190758000.000000,360424992000.000000,360425097000.000000,-105000.000000,360424992000.000000,358190758000.000000,358190863000.000000,-105000.000000,358190758000.000000
12M 2012,7585085252000.000000,7585085252000.000000,7585085252000.000000,-3726164893000.000000,3858920359000.000000,-3097629931000.000000,-2635848604000.000000,-461781327000.000000,-3097629931000.000000,761290428000.000000,-163652627000.000000,-165069599000.000000,-25607709000.000000,-9557759000.000000,11287924000.000000,8785482000.000000,1706191000.000000,14802843000.000000,-163652627000.000000,597637801000.000000,-164886821000.000000,-150026220000.000000,-14860601000.000000,,-164886821000.000000,432750980000.000000,,432750980000.000000,3890680000.000000,436641660000.000000,432750980000.000000,432750629000.000000,351000.000000,432750980000.000000,436641660000.000000,436641309000.000000,351000.000000,436641660000.000000
12M 2013,9734239591000.000000,9734239591000.000000,9734239591000.000000,-4885537014000.000000,4848702577000.000000,-4097684606000.000000,-3482135880000.000000,-615548726000.000000,-4097684606000.000000,751017971000.000000,-265911288000.000000,-239982033000.000000,-59930967000.000000,-6531820000.000000,12937709000.000000,6636676000.000000,,20959147000.000000,-265911288000.000000,485106683000.000000,-157313966000.000000,-138018859000.000000,-19295107000.000000,,-157313966000.000000,327792717000.000000,,327792717000.000000,-1203981000.000000,326588736000.000000,327792717000.000000,327792285000.000000,432000.000000,327792717000.000000,326588736000.000000,326588304000.000000,432000.000000,326588736000.000000
12M 2014,11822106513000.000000,11822106513000.000000,11822106513000.000000,-6352461274000.000000,5469645239000.000000,-4944865372000.000000,-4153662434000.000000,-791202938000.000000,-4944865372000.000000,524779867000.000000,-332991846000.000000,-381856736000.000000,15356987000.000000,-30737530000.000000,6664837000.000000,5753999000.000000,,51826597000.000000,-332991846000.000000,191788021000.000000,-118525459000.000000,-124080548000.000000,5555089000.000000,,-118525459000.000000,73262562000.000000,,73262562000.000000,5112372000.000000,78374934000.000000,73262562000.000000,74082456000.000000,-819894000.000000,73262562000.000000,78374934000.000000,79194828000.000000,-819894000.000000,78374934000.000000
12M 2015,12832798443000.000000,12832798443000.000000,12832798443000.000000,-7050083645000.000000,5782714798000.000000,-5260111999000.000000,-4422164959000.000000,-837947040000.000000,-5260111999000.000000,522602799000.000000,-354025301000.000000,-399287490000.000000,-32441016000.000000,-31335637000.000000,-25944648000.000000,11287784000.000000,,123695706000.000000,-354025301000.000000,168577498000.000000,-138482428000.000000,-162209031000.000000,44214975000.000000,-20488372000.000000,-138482428000.000000,30095070000.000000,,30095070000.000000,38411453000.000000,68506523000.000000,30095070000.000000,37333923000.000000,-7238853000.000000,30095070000.000000,68506523000.000000,75745376000.000000,-7238853000.000000,68506523000.000000
12M 2016,14149615423000.000000,14149615423000.000000,14149615423000.000000,-7276597329000.000000,6873018094000.000000,-5985096047000.000000,-5032973082000.000000,-952122965000.000000,-5985096047000.000000,887922047000.000000,-432279846000.000000,-420713778000.000000,34239300000.000000,-42652385000.000000,-31036370000.000000,9537443000.000000,,18345944000.000000,-432279846000.000000,423411627000.000000,-214935991000.000000,-272170474000.000000,79155781000.000000,-21921298000.000000,-214935991000.000000,208475636000.000000,,208475636000.000000,20124070000.000000,228599706000.000000,208475635000.000000,208475799000.000000,-164000.000000,208475635000.000000,228599705000.000000,228599869000.000000,-164000.000000,228599705000.000000
12M 2017,16305732664000.000000,16305732664000.000000,16305732664000.000000,-8449611432000.000000,7856121232000.000000,-6735621118000.000000,-5673907302000.000000,-1061713816000.000000,-6735621118000.000000,1120500114000.000000,-499754754000.000000,-403602836000.000000,12415077000.000000,-78804766000.000000,-5572194000.000000,33184499000.000000,,-57374534000.000000,-499754754000.000000,620745360000.000000,-270664095000.000000,-247369797000.000000,,-23294298000.000000,-270664095000.000000,350081265000.000000,,350081265000.000000,-28803194000.000000,321278071000.000000,350081265000.000000,334651307000.000000,15429958000.000000,350081265000.000000,321278071000.000000,306786329000.000000,14491742000.000000,321278071000.000000
12M 2018,18921123000000.000000,18921123000000.000000,18921123000000.000000,-9869417000000.000000,9051706000000.000000,-7546193000000.000000,-6437518000000.000000,-1108675000000.000000,-7546193000000.000000,1505513000000.000000,-292700000000.000000,-536113000000.000000,35651000000.000000,215648000000.000000,-1380000000.000000,30446000000.000000,,-36952000000.000000,-292700000000.000000,1212813000000.000000,-398897000000.000000,-359501000000.000000,,-39396000000.000000,-398897000000.000000,813916000000.000000,,813916000000.000000,69855000000.000000,883771000000.000000,813916000000.000000,735829000000.000000,78087000000.000000,813916000000.000000,883771000000.000000,804975000000.000000,78796000000.000000,883771000000.000000
