Period,Aset,Aset Lancar,Kas Dan Setara Kas,Pihak Berelasi,Pihak Ketiga,Total Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Goodwill,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Properti Investasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Pihak Berelasi,Pihak Ketiga,Total Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Jangka Panjang Dari Pihak Berelasi,Utang Dari Pihak Ketiga,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,78743000000.000000,,,78743000000.000000,,97671000000.000000,,97671000000.000000,97671000000.000000,3288000000.000000,3288000000.000000,,3288000000.000000,356482000000.000000,79424000000.000000,615608000000.000000,,1622044000000.000000,,,,,,,,,,,141372000000.000000,1763416000000.000000,2379024000000.000000,,,688819000000.000000,344025000000.000000,,,344025000000.000000,,170398000000.000000,7040000000.000000,177438000000.000000,12499000000.000000,,,12499000000.000000,2109000000.000000,,2109000000.000000,17513000000.000000,,83699000000.000000,19895000000.000000,,,103594000000.000000,31641000000.000000,688819000000.000000,405408000000.000000,,350196000000.000000,22727000000.000000,372923000000.000000,9418000000.000000,,23067000000.000000,405408000000.000000,1094227000000.000000,,856643000000.000000,191129000000.000000,237025000000.000000,300000000.000000,236725000000.000000,237025000000.000000,,,1284797000000.000000,2379024000000.000000,6118875250.000000
12M 2009,,,13895000000.000000,,,13895000000.000000,,119680000000.000000,,119680000000.000000,119680000000.000000,1954000000.000000,1954000000.000000,,1954000000.000000,433484000000.000000,166294000000.000000,735307000000.000000,,1692561000000.000000,,,,,,,,,,,108177000000.000000,1800738000000.000000,2536045000000.000000,,,855759000000.000000,303318000000.000000,,,303318000000.000000,,245809000000.000000,,245809000000.000000,24147000000.000000,,,24147000000.000000,27560000000.000000,,27560000000.000000,37259000000.000000,,154633000000.000000,10432000000.000000,,,165065000000.000000,52601000000.000000,855759000000.000000,220629000000.000000,,171366000000.000000,8990000000.000000,180356000000.000000,12145000000.000000,,28128000000.000000,220629000000.000000,1076388000000.000000,,856643000000.000000,191129000000.000000,411885000000.000000,400000000.000000,411485000000.000000,411885000000.000000,,,1459657000000.000000,2536045000000.000000,6118875250.000000
12M 2010,,,45038000000.000000,,,45038000000.000000,975000000.000000,106729000000.000000,2132000000.000000,104597000000.000000,106729000000.000000,2708000000.000000,2708000000.000000,,2708000000.000000,393453000000.000000,116535000000.000000,665438000000.000000,,2134310000000.000000,,,,,,,,,,,238664000000.000000,2372974000000.000000,3038412000000.000000,,,992648000000.000000,435740000000.000000,,,435740000000.000000,,308867000000.000000,,308867000000.000000,,43018000000.000000,,43018000000.000000,16532000000.000000,,16532000000.000000,17053000000.000000,,98110000000.000000,5328000000.000000,,,103438000000.000000,68000000000.000000,992648000000.000000,416629000000.000000,,367247000000.000000,,367247000000.000000,13701000000.000000,,35681000000.000000,416629000000.000000,1409277000000.000000,,857075000000.000000,191469000000.000000,580616000000.000000,500000000.000000,580116000000.000000,580616000000.000000,,-25000000.000000,1629135000000.000000,3038412000000.000000,6121964630.000000
12M 2011,,,44798000000.000000,,,44798000000.000000,,258772000000.000000,1111000000.000000,257661000000.000000,258772000000.000000,17613000000.000000,8063000000.000000,9550000000.000000,17613000000.000000,786336000000.000000,154326000000.000000,1261845000000.000000,,3239392000000.000000,,,,,,,,1713000000.000000,,,233399000000.000000,3474504000000.000000,4736349000000.000000,,,2619116000000.000000,853992000000.000000,,,853992000000.000000,,378978000000.000000,,378978000000.000000,,79036000000.000000,1726000000.000000,80762000000.000000,2795000000.000000,,2795000000.000000,30265000000.000000,,1181310000000.000000,,,,1181310000000.000000,91014000000.000000,2619116000000.000000,350206000000.000000,,290104000000.000000,,290104000000.000000,13724000000.000000,,46378000000.000000,350206000000.000000,2969322000000.000000,,857075000000.000000,191469000000.000000,717601000000.000000,600000000.000000,717001000000.000000,717601000000.000000,882000000.000000,,1767027000000.000000,4736349000000.000000,6121964630.000000
12M 2012,,,46436100.000000,,,46436100.000000,,22751855.000000,323180.000000,22428675.000000,22751855.000000,2633232.000000,2633232.000000,,2633232.000000,95322276.000000,3785358.000000,170928821.000000,,426791328.000000,,,,,,544174.000000,3250431.000000,2782144.000000,,,20188997.000000,453557074.000000,624485895.000000,,,122678538.000000,30292056.000000,,,30292056.000000,,57492887.000000,,57492887.000000,,4393301.000000,,4393301.000000,281150.000000,,281150.000000,1968260.000000,,24191477.000000,,,,24191477.000000,4059407.000000,122678538.000000,129824375.000000,,121681073.000000,,121681073.000000,945974.000000,,7197328.000000,129824375.000000,252502913.000000,,137342902.000000,140116051.000000,93860679.000000,73965.000000,93786714.000000,93860679.000000,335181.000000,328169.000000,371982982.000000,624485895.000000,9182946945.000000
12M 2013,,,34731444.000000,,,34731444.000000,,34819603.000000,151122.000000,34668481.000000,34819603.000000,3972536.000000,2392962.000000,1579574.000000,3972536.000000,85768464.000000,4272848.000000,163564895.000000,,431314562.000000,,,,,,431714.000000,408682.000000,,,7466754.000000,25879225.000000,465500937.000000,629065832.000000,,,104398461.000000,42792056.000000,,,42792056.000000,,36133041.000000,,36133041.000000,,1806449.000000,,1806449.000000,166241.000000,,166241.000000,2966150.000000,,13369507.000000,,,,13369507.000000,7165017.000000,104398461.000000,149388075.000000,,141042399.000000,,141042399.000000,,,8345676.000000,149388075.000000,253786536.000000,,137342902.000000,140116051.000000,97533114.000000,88965.000000,97444149.000000,97533114.000000,1499397.000000,-1212168.000000,375279296.000000,629065832.000000,9182946945.000000
12M 2014,,,43075787.000000,,,43075787.000000,510300.000000,28204641.000000,18036.000000,28186605.000000,28204641.000000,5786650.000000,2465244.000000,3321406.000000,5786650.000000,87363862.000000,2619742.000000,167560982.000000,,418977844.000000,1120488.000000,,,,,423004.000000,1711576.000000,,,6935144.000000,28474664.000000,457642720.000000,625203702.000000,,,95870981.000000,39292056.000000,,,39292056.000000,,22856687.000000,,22856687.000000,,1358509.000000,,1358509.000000,225671.000000,,225671.000000,3119586.000000,,24153585.000000,,,,24153585.000000,4864887.000000,95870981.000000,154457999.000000,,143474554.000000,,143474554.000000,1229943.000000,,9753502.000000,154457999.000000,250328980.000000,,137342902.000000,140116051.000000,97293966.000000,103965.000000,97190001.000000,97293966.000000,1413846.000000,-1292043.000000,374874722.000000,625203702.000000,9182946945.000000
12M 2015,,,38354906.000000,2188369.000000,36166537.000000,38354906.000000,11342816.000000,30099805.000000,,30099805.000000,30099805.000000,5757076.000000,2513953.000000,3243123.000000,5757076.000000,71018699.000000,2508531.000000,159081833.000000,,398191847.000000,330005.000000,876549.000000,876549.000000,,876549.000000,,,,,7057374.000000,32891629.000000,439347404.000000,598429237.000000,,,123784397.000000,41967914.000000,,,41967914.000000,,42837122.000000,,42837122.000000,,1611366.000000,,1611366.000000,356106.000000,,356106.000000,4118400.000000,,27524313.000000,,,,27524313.000000,5369176.000000,123784397.000000,129193306.000000,,117631874.000000,,117631874.000000,1096720.000000,,10464712.000000,129193306.000000,252977703.000000,,137342902.000000,140116051.000000,68483716.000000,118965.000000,68364751.000000,68483716.000000,920425.000000,-1411560.000000,345451534.000000,598429237.000000,9182946945.000000
12M 2016,,,14011150.000000,372135.000000,13639015.000000,14011150.000000,26703375.000000,36040977.000000,,36040977.000000,36040977.000000,7371399.000000,4805110.000000,2566289.000000,7371399.000000,66183570.000000,1443887.000000,151754358.000000,,407713491.000000,,,,,,,,,,8740022.000000,41537339.000000,457990852.000000,609745210.000000,,,144039966.000000,55292056.000000,,,55292056.000000,,46281430.000000,,46281430.000000,,3579496.000000,8375.000000,3587871.000000,477859.000000,,477859.000000,4204269.000000,,31860717.000000,,,,31860717.000000,2335764.000000,144039966.000000,126736982.000000,,114603649.000000,,114603649.000000,1162641.000000,,10970692.000000,126736982.000000,270776948.000000,,137342902.000000,140116051.000000,61766678.000000,118965.000000,61647713.000000,61766678.000000,925570.000000,-1182939.000000,338968262.000000,609745210.000000,9182946945.000000
12M 2017,,,12110769.000000,30346.000000,12080423.000000,12110769.000000,10073889.000000,53811183.000000,,53811183.000000,53811183.000000,6321428.000000,3104299.000000,3217129.000000,6321428.000000,83454066.000000,6644566.000000,172415901.000000,,439790654.000000,,,,,,,,,,8522840.000000,36879442.000000,485192936.000000,657608837.000000,,,181521327.000000,,4793970.000000,49705393.000000,54499363.000000,,77648128.000000,,77648128.000000,,7300357.000000,8305.000000,7308662.000000,4339484.000000,,4339484.000000,3687754.000000,,32715159.000000,,,,32715159.000000,1322777.000000,181521327.000000,139093452.000000,,116448790.000000,,116448790.000000,1155207.000000,8014172.000000,13475283.000000,139093452.000000,320614779.000000,,137342902.000000,140116051.000000,53049848.000000,118965.000000,52930883.000000,53049848.000000,7601523.000000,-1116266.000000,336994058.000000,657608837.000000,9182946945.000000
